start,end,text
0.41,3.91,check pic tonight pick
3.92,5.9,check pic tonight pick bowl
5.91,10.25,bowl night honest cause got
10.26,13.78,night honest cause got little pat plant
13.79,16.9,little pat plant raspberries sticking
16.91,22.07,raspberries sticking extras raspberry
22.08,24.76,extras raspberry bush couple
24.77,28.33,bush couple black comic book ask mum makes
28.34,31.64,black comic book ask mum makes jam
31.65,34.67,jam strawberries they'll
34.68,37.49,strawberries they'll patch get
37.5,46.01,patch get night night
46.02,56.45,night night week tasty
56.46,58.8,literally water
58.81,67.35,literally water little dry
67.36,68.46000000000001,little dry gotta strawberry plant
68.47,72.09,gotta strawberry plant get
72.1,74.31,get grow strawberries
74.32,75.96000000000002,grow strawberries garden chop ground
75.97,85.38,garden chop ground water
