start,end,text
0.19,6.08,monica's art hall monica
3.38,8.76,making christmas angels
6.08,11.55,christmas angels
8.76,13.95,following materials
11.55,16.91,cream colored paper stripe
13.95,16.91,head glue
17.28,23.16,roll white paper stripes
20.43,25.98,arms glue
23.16,28.48,roll long white
25.98,30.89,paper stripe dress
28.48,30.89,glue
34.1,39.32,form shape dress
36.98,42.28,glue inside using glue
39.32,42.28,toothpick
53.08,58.88,white small round
56.75,61.63,shape arm glue
58.88,61.63,inside
65.07,70.6,form cream colored round
68.08,73.51,shape hemisphere glue
70.6,75.82,inside roll
73.51,78.58,cream color paper stripe
75.82,81.37,hands bring
78.58,83.56,form centimeter diameter
81.37,87.88,glue fold
83.56,91.27,draw circle
87.88,96.3,transparent paper circle 50
91.27,96.3,millimeter diameter cut
97.79,104.91,folded half
101.55,107.68,cut fault line
104.91,112.39,wings
107.68,112.39,clue head body
112.54,116.56,roll hair
117.85,122.45,clue arms door
123.13,127.81,hair head
131.51,137.45,apply spots glue
134.62,140.82999999999996,outside lines wings
137.45,140.82999999999996,wings
149.28,155.14,sprinkle golden colored
152.02,157.72,glitter apply spots
155.14,161.04,glue tress angel
157.72,165.72,sprinkle tamworth glitter
161.04,165.72,glue hands angel
166.34,171.92000000000004,eyes nose
169.06,175.26,mouth face
171.92000000000004,178.7,clue wings peg
175.26,180.26,angel repeat steps purple
178.7,184.34,angel
180.26,187.63,christmas angels wish
184.34,187.63,good time bye
