start,end,text
7.09,10.0,home amp problem
10.01,14.36,home amp problem worry got covered
14.37,16.34,worry got covered quickly
16.35,20.17,quickly effectively kill ants 1 natural
20.18,21.5,effectively kill ants 1 natural insecticides
21.51,24.01,insecticides regular everyday
24.02,26.15,regular everyday household items into
26.16,28.72,household items into effective killing insecticides
28.73,31.13,effective killing insecticides believe dish soap water
31.14,34.94,believe dish soap water lethal combination ants fill
34.95,36.92,lethal combination ants fill spray bottle parts water
36.93,41.53,spray bottle parts water dish soap mix
41.54,44.24,spray soapy solution ants
44.25,46.31,spray soapy solution ants suffocate under 60 seconds
46.32,49.16,suffocate under 60 seconds wipe soapy dead ants away
49.17,51.65,wipe soapy dead ants away wet cloth sponge
51.66,53.38,wet cloth sponge spray bottle under sink
53.39,56.45,spray bottle under sink time white vinegar water works
56.46,59.15,time white vinegar water works kill ants make 50 vinegar
59.16,61.31,kill ants make 50 vinegar 50 water mixture spray
61.32,63.88,50 water mixture spray bottle white vinegar water
63.89,66.23,bottle white vinegar water mixture works ant
66.24,66.85,mixture works ant deterrent
66.86,68.51,deterrent spray window sills
68.52,70.07,spray window sills doorways places
70.08,73.03,doorways places ants coming inside smell
73.03999999999998,75.49,ants coming inside smell vinegar bothers use
75.5,78.53,vinegar bothers use lemon juice mixture using 25 lemon
78.53999999999998,82.58,lemon juice mixture using 25 lemon juice 75 water diatomaceous
82.59,84.74,juice 75 water diatomaceous boric acid fantastic ant
84.75,87.92,boric acid fantastic ant killers wearing gloves sprinkle
87.93,89.99,killers wearing gloves sprinkle ants tend exterminate
90.0,91.67,ants tend exterminate quickly powder gets wet
91.68,93.64,quickly powder gets wet ineffective use
93.65,97.84,ineffective use dry place 2 make ant traps
97.85,100.88,dry place 2 make ant traps effective homemade ant trap
100.89,102.98,effective homemade ant trap boric acid sugar
102.99,104.56,boric acid sugar inexpensive make
104.57,107.78,inexpensive make mention lethal dance
107.79,110.06,mention lethal dance index cards pieces
110.07,112.42,index cards pieces cardboard corn syrup
112.43,114.44,cardboard corn syrup type sticky sugar substance
114.45,117.8,type sticky sugar substance attract ants boric acid powder
117.81,120.47,attract ants boric acid powder mix tablespoons corn
120.48,123.53,mix tablespoons corn tablespoons boric acid
123.54,125.66,tablespoons boric acid small bowl mix
125.67,129.1,small bowl mix thick spread mixture
129.11,130.97,thick spread mixture index card piece
130.98,137.78,index card piece cardboard set traps places
137.79,140.63,cardboard set traps places seen ants wait days
140.64,142.67000000000004,seen ants wait days traps collect ants
142.68,145.04,traps collect ants throw make needed
145.05,147.92000000000004,throw make needed 3 kill ant nests
147.93,149.84,3 kill ant nests possible ants coming
149.85,152.93,possible ants coming taken nest boiling
152.94,154.46,taken nest boiling water works incredibly
154.47,158.54,water works incredibly decimating ant nests follow ant roll
158.55,160.7,decimating ant nests follow ant roll nest pour big pot
160.71,162.82999999999996,nest pour big pot boiling water into nest entrance
162.84,165.26,boiling water into nest entrance course outside nests
165.27,168.07999999999996,course outside nests nest inside make big pot
168.09,169.94,nest inside make big pot soapy water discussed earlier
169.95,173.36,soapy water discussed earlier pour nest entrance
173.37,176.44,pour nest entrance 4 pterence
176.45,178.61,4 pterence common household
178.62,181.78,common household substances ants go near
181.79,184.67,substances ants go near cayenne pepper works best make line
184.68,186.92,cayenne pepper works best make line entire house ants
186.93,189.59,entire house ants able get lemon juice
189.6,191.63,able get lemon juice highly effective keeping ants
191.64,194.03,highly effective keeping ants away lemon juice
194.04,197.0,away lemon juice edges house ants stand
197.01,199.16,edges house ants stand strong citrus smell stay far
199.17,200.5,strong citrus smell stay far away possible
200.51,203.18,away possible seal cracks ants get
203.19,205.49,seal cracks ants get house cracks little
205.5,207.41,house cracks little holes consider taking
207.42,209.15,holes consider taking couple hours fill cracks
209.16,212.03,couple hours fill cracks holes cox sealant
212.04,215.0,holes cox sealant watching questions
215.01,216.5,watching questions professional
216.51,218.54,professional exterminator care insect
218.55,225.05,exterminator care insect problem 877 706 1020
225.06,227.33,problem 877 706 1020 connect rated
