start,end,text
0.0,3.62,tutorial showing
1.8,6.6,remove bags under
3.62,20.49,eyes images
6.6,22.28,matter minutes hi
20.49,24.0,danny diamond
22.28,26.93,work facebook page
24.0,28.71,danny diamond photography alright
26.93,30.33,here's headshot took project
28.71,33.69,common
30.33,35.91,ways seen people retouch bags
33.69,38.28,under eyes explain
35.91,41.7,worked order
38.28,43.89,retouch bags
41.7,45.87,making lighter
43.89,48.51,replace tones
45.87,51.39,similar area way seen people
48.51,53.57,using patch tool
51.39,55.92,patch tool replacing
53.57,57.75,tones texture
55.92,60.03,lose
57.75,62.57,smudge current texture
60.03,65.1,example
62.57,67.92,turn
65.1,71.15,couple times
67.92,74.78999999999998,replaced pores area
71.15,77.67,clone tool exact
74.78999999999998,79.95,thing basically smudged
77.67,81.96000000000002,old texture use clone
79.95,85.22,tool wasn't doing 100 opacity
81.96000000000002,89.13,make lighter lost
85.22,90.92,texture dodge burn
89.13,93.54,reason work
90.92,95.1,replacing tones
93.54,97.53,making lighter
95.1,99.65,tones general area
97.53,101.04,lot times happen
99.65,102.45,dodge
101.04,104.63,start turning gray
102.45,107.07,completely lose tones
104.63,109.5,tell way
107.07,111.5,works basically
109.5,114.06,doing sampling
111.5,116.36,tones replace
114.06,119.88,tones choose way
116.36,122.54,creating new curves layer make
119.88,126.11,come curves choose
122.54,128.34,curve symbol mask
126.11,131.16,go eyedropper
128.34,132.97,double click sample
131.16,134.77,area
132.97,141.79,feel comfortable i'd
134.77,144.01,click go tones
141.79,147.07,replace
144.01,150.88,dark bags go
147.07,153.22,mask invert mask select
150.88,156.76,brush add
153.22,160.84,percent opacity go ahead
156.76,163.66,start painting
160.84,168.1,doing replacing tones
163.66,169.99,tones sampled
168.1,173.17000000000004,damaging textures
169.99,175.41,way pretty way
181.39,187.18,time perfect
190.39,194.81,worry doing
193.07,196.73,bring opacity
194.81,199.64,bring opacity
196.73,203.99,adjustment layer bring
199.64,209.0,turn
203.99,211.61,kept
209.0,214.94,textures drop
211.61,217.43,lighter bring opacity little
214.94,219.38,make natural
217.43,223.07,suggest
219.38,224.69,creating new curves layer
223.07,229.34,tones
224.69,234.98,sides go ahead double click
229.34,238.16,eyedropper sample tone
234.98,241.2,go ahead click
238.16,245.18,dark bag
241.2,248.12,click mask invert mask select
245.18,253.79,brush go ahead paint
248.12,256.72,taking time
253.79,259.01,wanted
256.72,261.65,mind
259.01,264.66,able parts
261.65,268.19,skin example
264.66,271.52,model makeup face
268.19,273.5,tones match arms
271.52,275.24,shoulders able sample
273.5,277.25,face go ahead paint
275.24,278.99,into shoulders
277.25,280.4,method pretty useful lot
278.99,282.64,ways
280.4,282.64,bags
290.3,299.8400000000001,bring
291.71,301.25,opacity make natural
299.8400000000001,315.29,go ahead
301.25,317.45,group
315.29,318.83,helped
317.45,320.51,tutorials future
318.83,323.98,make follow facebook
320.51,323.98,page bye
