start,end,text
2.74,5.08,kevin trying
5.09,9.58,kevin trying new cliff energy granolas
9.59,11.8,new cliff energy granolas sent sarah california
11.81,13.66,sent sarah california sarah thinking
13.67,16.83,sarah thinking white chocolate macadamia nut
16.84,21.49,white chocolate macadamia nut blueberry crisp cinnamon almond
21.5,22.87,blueberry crisp cinnamon almond white
22.88,24.91,white chocolate macadamia nut 8 grams
24.92,27.43,chocolate macadamia nut 8 grams plant based protein 26 grams
27.44,30.18,plant based protein 26 grams grains non gmo organic rolled
30.19,37.27,grains non gmo organic rolled oats says gives
37.28,40.5,oats says gives calories spring bowl snack
40.51,42.0,calories spring bowl snack measurements
42.01,45.18,measurements way replace ma
45.19,47.91,way replace ma 2 3 cup half cups wow
47.92,49.56,2 3 cup half cups wow what's difference bowl
49.57,53.02,what's difference bowl night mean bowl bowl get
53.03,57.21,night mean bowl bowl get 60 grams 260 calories
57.22,59.19,60 grams 260 calories eat snack guess
59.2,61.32,eat snack guess sack
61.33,66.34,sack maggie 30 30 grams tire
66.35,68.08,maggie 30 30 grams tire bourbon hour basically
68.09,80.19,bourbon hour basically canada
80.2,83.35,canada think they'll make
83.36,87.55,think they'll make able surgery
87.56,90.58,able surgery strong person
90.59,92.77,strong person buys
92.78,96.37,buys careful go
96.38,98.89,careful go tear
98.9,107.56,tear
107.57,109.34,coddle
109.35,115.01,coddle white white
115.02,117.32,white white chocolate spoiler
117.33,122.71,chocolate spoiler applause
122.72,130.27,granola
130.28,138.05,granola slippers
138.06,145.47,slippers guess
145.48,156.72,yogurt big winner zero y
158.63,161.12,good little brain aftertaste
161.13,163.82,good little brain aftertaste good
163.82999999999996,166.18,good cure macadamia nuts
166.19,171.25,cure macadamia nuts taste macadamia
171.26,173.9,taste macadamia tastes vanilla little
173.91,176.28,tastes vanilla little vanilla gotta
176.29,179.42000000000004,vanilla gotta
179.43,181.94,textures get
181.95,185.21,textures get yogurt mmm oatmeal honey go
185.22,186.83,yogurt mmm oatmeal honey go wondering didn't
186.84,190.31,wondering didn't ice cream course
190.32,191.39,ice cream course eating ice cream trying eat
191.4,191.75,eating ice cream trying eat healthy
191.76,195.68,healthy textures
195.69,199.06,textures think combining granola
199.07,201.02,think combining granola ice cream excellent
201.03,202.78,ice cream excellent
202.79,206.47,blueberry crisp food
206.48,209.81,blueberry crisp food lot way calories
209.82,213.94,lot way calories time base base m134 half
213.95,216.05,time base base m134 half
216.06,220.69,colors
220.7,223.28,colors crisp
223.29,225.32,crisp saying
225.33,226.37,saying wall
226.38,228.68,wall mm hmm wood
228.69,230.3,mm hmm wood almond almond slivers
230.31,232.97,almond almond slivers little bitty pieces
232.98,244.24,little bitty pieces blueberry lot
244.25,251.39,blueberry lot good
251.4,253.64,good likes little chewiness
253.65,255.68,likes little chewiness blueberry adds gorilla
255.69,258.8,blueberry adds gorilla crunchy almond
258.81,262.06,crunchy almond crunchy nut nice
262.07,264.4,crunchy nut nice essure chewy blueberry
264.41,266.18,essure chewy blueberry flavor blueberry
266.19,267.4,flavor blueberry strong mean comes
267.41,269.18,strong mean comes flavor release strong
269.19,274.18,flavor release strong afreeca tell blueberry
274.19,277.7,afreeca tell blueberry cinnamon cinnamon home
277.71,309.43,cinnamon cinnamon home almond
309.44,311.02,crunchy
311.03,315.32,crunchy mm hmm get cinnamon
315.33,316.49,mm hmm get cinnamon drives tongue
316.5,318.11,drives tongue little drogyn
318.12,320.77,little drogyn food tastes cinnamon pecans
320.78,322.27,food tastes cinnamon pecans christmas
322.28,325.31,christmas jacket cl older mixing pecans
325.32,328.52,jacket cl older mixing pecans definitely
328.53,331.04,definitely says white cities pecans
331.05,335.24,says white cities pecans they've used almonds gives
