start,end,text
1.15,3.5,end day
3.51,4.99,end day best parts
5.0,8.08,best parts camping trip campfire
8.09,10.07,camping trip campfire course source warmth way
10.08,11.54,course source warmth way cook stuff
11.55,13.85,cook stuff entertainment basics things
13.86,15.68,entertainment basics things course wood
15.69,17.96,course wood fuel start initially
17.97,19.84,fuel start initially smaller pieces wood
19.85,22.13,smaller pieces wood kindling means starting
22.14,24.67,kindling means starting course matches
24.68,26.02,course matches things handy
26.03,28.27,things handy paraffin wax neat way
28.28,29.57,paraffin wax neat way start makes little
29.58,33.01,start makes little easier get started
33.02,35.81,easier get started ban transporting firewood
35.82,38.18,ban transporting firewood parts north
38.19,39.95,parts north america allowed
39.96,41.42,america allowed transport firewood lot
41.43,43.52,transport firewood lot jurisdiction best buy
43.53,46.43,jurisdiction best buy firewood campsite
46.44,49.45,firewood campsite campground sell firewood
49.46,51.2,campground sell firewood start putting kindling
51.21,55.27,start putting kindling killing nice
55.28,57.25,killing nice dry tend catch pretty quick
57.26,60.29,dry tend catch pretty quick here's neat trick called creating
60.3,64.67,here's neat trick called creating chimney starts burn
64.68,66.95,chimney starts burn lift stick
66.96,69.35,lift stick log allows oxygen get
69.36,71.42,log allows oxygen get
71.43,73.82,got
73.83,76.91,got firing anytime
76.92,78.26,firing anytime doing campfire make
78.27,80.69,doing campfire make got firing
80.7,82.21000000000002,got firing they've got rocks
82.22,83.81,they've got rocks circle
83.82,85.96000000000002,circle contained place build
85.97,88.73,contained place build campgrounds
88.74,90.67,campgrounds bans
90.68,93.23,bans best check camps
93.24,94.76,best check camps campsite office make
94.77,97.03,campsite office make ban effect safety
97.04,99.08,ban effect safety things consider
99.09,100.67,things consider building
100.68,102.44,building flammables nearby
102.45,104.56,flammables nearby trees wires course
104.57,106.85,trees wires course awnings rv
106.86,109.24,awnings rv near
109.25,111.31,near fires starting catch
111.32,113.28,fires starting catch drop piece wood
113.29,115.28,drop piece wood leave
115.29,117.95,leave unattended course end
117.96,119.33,unattended course end night make
119.34,120.98,night make water
120.99,125.12,water good shovel
125.13,127.16,good shovel camping trip big
127.17,128.57,camping trip big pit spread
128.58,130.74,pit spread dirt make contained
130.75,134.13,dirt make contained douse water
134.14,135.54,douse water pretty
135.55,136.89,pretty steam smoke
136.9,144.25,steam smoke
