start,end,text
1.12,5.4,question
3.27,9.17,leading brakes vacuum pump
5.4,10.53,person bleeding break
9.17,12.01,person bleeding lot
12.01,16.28,vacuum pump
15.33,21.21,real
16.28,24.06,got vacuum pump dogs
21.21,29.16,got vacuum pump
24.06,31.05,engage hose cut hose
29.16,34.32,fitting go bleeder
31.05,36.12,types fittings
34.32,40.14,pointed fitting goes
36.12,42.23,inside
40.14,44.43,fit
42.23,45.75,tight use
44.43,51.6,pumped flew
45.75,53.78,eska league
51.6,55.92,64 cadillac
53.78,60.09,serve purpose
55.92,63.09,replace brake rotors calipers
60.09,64.04,pads everything's new
63.09,68.64,plenty air
64.04,72.71000000000002,disconnect caliper
68.64,76.78999999999998,way bleed brakes
72.71000000000002,80.96000000000002,insert fitting cuff ready
76.78999999999998,80.96000000000002,pop
80.99,84.01,wood
85.28,97.29,go 20
94.0,100.75,wrench open
97.29,103.67,bleeder uses tent uses
100.75,108.39,millimeter open
103.67,111.72,goes fluid running
108.39,114.93,running run into
111.72,116.35,cup got inch
114.93,123.18,coming
116.35,124.75,continue popping puck
123.18,128.17,get inches cup
124.75,138.54,tighten
128.17,140.31,come pumping
140.31,144.04,gauge soap fitting
141.97,147.43,open lot get
144.04,149.13,air threads got
147.43,152.59,teflon tape
149.13,155.6,air away air solution
152.59,155.6,coming
158.21,165.47,poppin
163.05,167.64,fluid
165.47,169.86,get crank
167.64,174.0,pop brakes couple thumbs
169.86,175.23,lit into cup
174.0,180.2,make get air
175.23,180.2,line
182.81,187.31,go little small
185.37,189.45,fitting takes long
187.31,194.48,use larger fitting pulls
189.45,196.4,quicker coming pop
194.48,200.87,click cool
196.4,200.87,pulling good string
204.36,207.74,tighten fitting
211.81,220.24,time pulled slow
217.9,225.06,test fittings small
220.24,227.77,fitting tends leak
225.06,231.06,person
227.77,231.06,polk bright layton
