start,end,text
0.0,2.14,michigan's coastal dunes highly
2.15,4.01,michigan's coastal dunes highly prized tues families
4.02,6.49,prized tues families produced metal car parts coastal
6.5,8.9,produced metal car parts coastal dunes divided into parts
8.91,11.03,dunes divided into parts problem dwarf lake iris
11.04,14.29,problem dwarf lake iris exclusively shores
14.3,17.42,exclusively shores lake michigan rock
17.43,19.6,lake michigan rock listed threatened species
19.61,22.34,listed threatened species mothers day mission beautiful
22.35,24.5,mothers day mission beautiful flower usually grows beneath cedar
24.51,26.57,flower usually grows beneath cedar tree thick patch near
26.58,31.13,tree thick patch near factor exist plans go
31.14,33.44,factor exist plans go go people
33.45,35.66,go people care ecosystem
35.67,37.79,care ecosystem extinct animals die
37.8,39.38,extinct animals die think people start caring
39.39,43.37,think people start caring coastal stop picking
