start,end,text
0.03,2.27,hits fan
2.28,3.59,hits fan end world
3.6,5.45,end world wrecking crew
5.46,11.61,wrecking crew hiding
34.23,44.31,come
44.32,72.13,victim come
72.14,80.35,victim come chambers passage
80.36,81.78999999999998,chambers passage living chamber
81.8,107.95,living chamber place blasted
107.96,111.07,place blasted solid rock dynamite drill
111.08,116.35,solid rock dynamite drill mark mining assorted
116.36,352.74,mark mining assorted minerals
352.75,373.78,send old blanket
373.79,377.12,melted plastic cement
377.13,384.68,melted plastic cement goes far
384.69,452.02,goes far way pretty
480.08,548.17,spider
577.03,610.87,good thing helmet here's
610.88,614.14,good thing helmet here's underground water supply shortage
614.15,617.38,underground water supply shortage fresh water bucket
