start,end,text
0.03,4.14,greetings gastronauts keef cooks
1.82,5.97,keef
4.14,16.65,make tenderest chicken
5.97,18.75,yes course sous vide
16.65,21.63,start big shout
18.75,23.91,loyal viewers ladd
21.63,26.67,gamer hd yay
23.91,28.34,gamer hd watching
26.67,30.06,videos quite long time
28.34,33.21,frequently makes positive
30.06,36.27,helpful nice comments
33.21,38.67,lot chicken
36.27,41.94,problem using conventional
38.67,43.95,cooking methods nearly dry
41.94,47.37,stringy hard get
43.95,48.8,perfectly juicy chicken breasts
47.37,51.3,helped government health
48.8,53.12,authorities saying
51.3,56.69,cooked certain temperature
53.12,58.8,temperature guarantees
56.69,61.05,kills bugs dries
58.8,63.62,chicken sous vide
61.05,66.18,kill bugs cooking lower
63.62,68.01,temperature longer time
66.18,71.61,exactly effect
68.01,72.78,perfectly safe ahh amazing
71.61,75.86,make
72.78,79.32,nice little sorrel sauce go
75.86,82.89,start
79.32,87.15,pre heat water bath 66
82.89,89.31,degrees celsius recipes
87.15,91.97,low 60
89.31,96.42,turn pinker
91.97,97.68,66 target got
96.42,101.13,couple chicken breasts
97.68,105.63,skin salt pepper
101.13,108.14,season liberally
105.63,110.34,recipes aromatics
108.14,113.82,sorrel
110.34,117.21,leaf think
113.82,120.0,particular strong
117.21,121.97,overpowering
120.0,125.18,pop
121.97,128.36,ziplock bag cool pouch
125.18,130.83,used method
128.36,137.04,cheapskate method works perfectly
130.83,145.68,doing
137.04,147.81,pop water bath
145.68,151.82999999999996,thing innova precision cooker
147.81,153.81,tm beeps beeps
151.82999999999996,155.81,ready point
153.81,160.85,degree temperature set
155.81,165.3,home works
160.85,168.99,chicken make
165.3,171.81,airs getting pushed
168.99,173.7,closed leave
171.81,176.4,leave
173.7,179.01,hour half recipes
176.4,182.43,hour got things
179.01,184.32,hour half fine
182.43,188.37,chicken nearly ready
184.32,190.08,robert ready
188.37,193.29,stay ready hours
190.08,194.76,sous vide machine problem got
193.29,198.47,ingredients sauce got
194.76,201.63,chicken stock homemade
198.47,205.89,wibbly wobbly double cream heavy
201.63,209.88,cream big knob butter flour
205.89,210.45,couple sorrel leaves
209.88,212.91,garden
210.45,215.61,struggle fact
212.91,218.22,struggle sorrel sale
215.61,221.64,supermarket shop unless highly
218.22,224.51,specialized grow
221.64,227.85,garden hardy
224.51,231.45,grow tasty
227.85,233.54,strong citrusy flavor goes
231.45,236.22,fish chicken
233.54,239.45,start making sauce
236.22,241.73,chop sorrel into teeny weeny
239.45,245.25,bits easiest way
241.73,248.04,roll cigar
245.25,250.34,cut cut
248.04,250.34,way
251.8,258.29,flaut tiny bits sorrel
256.19,260.84,make sauce
258.29,264.52,basic classic white sauce
260.84,267.26,melt butter medium heat
264.52,271.4,stir flour make
267.26,275.53,roux nicely mixed
271.4,275.53,mixed weep stock
277.54,291.05,pop sorrel
289.64,294.62,stir cook
291.05,303.02,minutes
294.62,312.85,add cream stir
303.02,318.68,taste wha
312.85,320.63,mmm sounds lovely finish
318.68,324.53,chicken
320.63,327.98,dinner here's chicken looking
324.53,331.93,totally happening sous vide
327.98,335.68,stuff usually sound little
331.93,335.68,bank
338.0,344.64,juicers
340.74,349.23,source
344.64,353.49,sear quite quickly
349.23,355.89,hot oil
353.49,358.32,get pretty smoky get
355.89,362.33,extractor windows doors open
358.32,362.33,smoke alarms turned
363.03,371.63,oil hot slam
366.21,378.49,chicken turning
371.63,379.47,surfaces
379.47,388.02,looking pretty good serve
382.53,391.38,wonderful switch
388.02,395.74,source go
391.38,411.52,ears dinner
395.74,415.33,good mmm juiciest tenderest chicken
411.52,417.15,fantastic
415.33,418.95,enjoyed share
417.15,421.08,friends social media subscribe
418.95,423.49,channel follow facebook
421.08,425.25,twitter pinterest forget
423.49,427.56,amazing website details
425.25,430.62,recipes
427.56,430.62,watching come soon
