start,end,text
0.0,2.54,asslamu alaikum asha body nashua
2.55,5.12,asslamu alaikum asha body nashua hollow attend open new coach
5.13,7.7,hollow attend open new coach america capable happen
7.71,10.22,america capable happen active desi dos recipe attackable
10.23,12.65,active desi dos recipe attackable apple anticipating ocean water
12.66,15.7,apple anticipating ocean water data general curriculum kintoki sugiyama
15.71,17.48,data general curriculum kintoki sugiyama logical karna mississippi title
17.49,20.21,logical karna mississippi title record panini ask basic
20.22,23.3,record panini ask basic dosa critical reception mean
23.31,25.42,dosa critical reception mean basic recipe polishing
25.43,28.22,basic recipe polishing karen judy docent cpt code
28.23,31.18,karen judy docent cpt code taha masala dosa balan egg
31.19,33.31,taha masala dosa balan egg dosa balance bhakti madoka
33.32,35.27,dosa balance bhakti madoka jake o donnell doses sleeping
35.28,38.29,jake o donnell doses sleeping ethnic department pro malaysian
38.3,39.83,ethnic department pro malaysian daughter city college kiki
39.84,42.72,daughter city college kiki porridge hebei child loves eska
42.73,45.61,porridge hebei child loves eska american embargo teacher gave karate
45.62,48.44,american embargo teacher gave karate toby watch algebra cool hobby
48.45,51.43,toby watch algebra cool hobby bah ha capacitive dude holy chalupa
51.44,52.81,bah ha capacitive dude holy chalupa marcos balón
52.82,56.45,marcos balón alpha plus marche colored gal shellac
56.46,59.63,alpha plus marche colored gal shellac big 1 4 cup metal
59.64,62.11,big 1 4 cup metal hostage ahmad metropolitan
62.12,64.34,hostage ahmad metropolitan burger cooked hebei toby delay
64.35,66.62,burger cooked hebei toby delay mission directors liberation shady
66.63,69.67,mission directors liberation shady annoying dose meta guevara high
69.68,71.92,annoying dose meta guevara high poor man combat wakata beige
71.93,73.82,poor man combat wakata beige karan boss attitude apne
73.83,75.71000000000002,karan boss attitude apne machine material surrender halitosis
75.72,78.71000000000002,machine material surrender halitosis theta huija bay till vegetable jamaat
78.72,81.64,theta huija bay till vegetable jamaat yvonne shadow module available
81.65,83.71000000000002,yvonne shadow module available listen enable hip hop anticipatory
83.72,86.78,listen enable hip hop anticipatory cotija dosa banana joe protege
86.78999999999998,88.94,cotija dosa banana joe protege takata habayit hollow dosa gratitude
88.95,92.39,takata habayit hollow dosa gratitude ricotta proton child gal cable matey
92.4,95.45,ricotta proton child gal cable matey pave panty thr pack hunter pg
95.46,98.06,pave panty thr pack hunter pg dr hebei hebei pimping channel
98.07,100.16,dr hebei hebei pimping channel canto bush religion hebei
100.17,102.23,canto bush religion hebei leaked into hollow fabric blend
102.24,104.6,leaked into hollow fabric blend tony college arena dosa 1
104.61,106.39,tony college arena dosa 1 appalling una queja ben dosa
106.4,108.92,appalling una queja ben dosa christine halona dosa crispy quality
108.93,111.17,christine halona dosa crispy quality applicable parlament idaho
111.18,112.1,applicable parlament idaho al
112.11,114.71,al doll poem jodi dollar
114.72,117.13,doll poem jodi dollar payment baisha village taw halitosis
117.14,119.42,payment baisha village taw halitosis norman jabez wanna focused
119.43,122.81,norman jabez wanna focused h delta kanagawa column chola dal dosa
122.82,125.24,h delta kanagawa column chola dal dosa molted kovash director flavor ebong
125.25,127.49,molted kovash director flavor ebong station shop tabletop jetta
127.5,130.46,station shop tabletop jetta cola dal dosa cocooned electric ala tt
130.47,131.27,cola dal dosa cocooned electric ala tt shahaji okole
131.28,133.52,shahaji okole angulo kokkonen blender
133.53,137.18,angulo kokkonen blender maldini attack apollomon party dj glenda
137.19,139.73,maldini attack apollomon party dj glenda jagan mooc arcadia hallo plant
139.74,142.69,jagan mooc arcadia hallo plant colony donovan da cunha lean blend e
