start,end,text
2.72,6.07,dan mcdonald
6.08,10.12,dan mcdonald share ultimate raw cracker
10.13,13.85,share ultimate raw cracker recipe best raw crackers
13.86,18.1,recipe best raw crackers entire universe couple
18.11,21.59,entire universe couple adjustments recipe
21.6,23.77,adjustments recipe living foods book wanted bring
23.78,26.45,living foods book wanted bring attention
26.46,30.01,attention tell adjustments
30.02,33.17,tell adjustments constantly evolving recipes
33.18,37.75,constantly evolving recipes adjustments
37.76,40.63,adjustments took cracker
40.64,44.36,took cracker completely new level
44.37,47.18,completely new level pizza crusts crackers
47.19,49.72,pizza crusts crackers dehydrated raw foods
49.73,52.1,dehydrated raw foods dude
52.11,53.66,dude spends day
53.67,55.79,spends day dehydrating crackers
55.8,61.79,dehydrating crackers stuff raw food company
61.8,65.45,stuff raw food company best
65.46,68.51,best share
68.52,70.73,share living foods recipe book click
70.74,72.59,living foods recipe book click link pick
72.6,75.64,link pick sale check
75.65,79.7,sale check boom
79.71000000000002,85.39,boom awesome cups soaked almonds boom
85.4,89.12,awesome cups soaked almonds boom cups soaked sprouted sunflower
89.13,92.96,cups soaked sprouted sunflower seeds almonds sprouted
92.97,95.78,seeds almonds sprouted 24 hours nuts seeds
95.79,97.76,24 hours nuts seeds highly activated enzyme
97.77,99.08,highly activated enzyme inhibitors phytates
99.09,103.51,inhibitors phytates washed away cups
103.52,110.66,washed away cups carrots shredded chopped cups
110.67,113.69,carrots shredded chopped cups celery nicely
113.7,118.19,celery nicely cup cilantro ooh getting
118.2,119.84,cup cilantro ooh getting overloaded baby
119.85,122.14,overloaded baby minute get
122.15,124.63,minute get thing wheeled bear
124.64,128.66,thing wheeled bear ultimate
128.67,132.27,ultimate secret ingredient
132.28,135.6,secret ingredient fam raw life protein powder
135.61,137.57999999999998,fam raw life protein powder single greatest thing
137.59,139.8,single greatest thing love stuff amazing
139.81,144.72,love stuff amazing variety recipes raw protein
144.73,147.27,variety recipes raw protein added raw crackers takes
147.28,150.24,added raw crackers takes level crispness texture
150.25,153.63,level crispness texture experienced
153.64,157.35,experienced life secret magic
157.36,161.67000000000004,life secret magic ingredient best raw crackers
161.68,165.09,ingredient best raw crackers entire universe
165.1,168.06,entire universe lot studies spend millions
168.07,170.97,lot studies spend millions dollars finding substances
170.98,174.9,dollars finding substances chemicals additives conditioners
174.91,177.27,chemicals additives conditioners add food get addicted
177.28,179.13,add food get addicted imagine create
179.14,181.22,imagine create amazing textures
181.23,182.91,amazing textures minute got tray
182.92,186.12,minute got tray dehydrator imagine
186.13,189.27,dehydrator imagine create amazing crisp textures
189.28,192.24,create amazing crisp textures healthy foods fruits
192.25,196.47,healthy foods fruits vegetables nuts herbs
196.48,198.6,vegetables nuts herbs amazing exactly
198.61,200.25,amazing exactly raw protein
200.26,203.34,raw protein gives texture snaps
203.35,206.31,gives texture snaps crisp store bought processed clog
206.32,208.02,crisp store bought processed clog coal genetically modified
208.03,210.65,coal genetically modified cracker
210.66,216.53,cracker absolutely amazing invest help
216.54,220.92,absolutely amazing invest help go check
220.93,230.27,go check add add tablespoon
230.28,232.43,salt
232.44,236.18,salt add quarter cup
236.19,242.72,add quarter cup flax seeds add
242.73,246.02,flax seeds add book says use
246.03,249.53,book says use use use
249.54,251.96,use use use garlic
251.97,254.03,use garlic max
254.04,257.08,max recipe using
257.09,264.77,recipe using teaspoons
264.78,268.85,teaspoons think recipe says teaspoon
268.86,270.56,think recipe says teaspoon add love
270.57,272.6,add love paprika food gives nice
272.61,279.41,paprika food gives nice smoky flavor go
279.42,281.66,smoky flavor go cumin seed wanted
281.67,283.67,cumin seed wanted minute share
283.68,285.86,minute share special
285.87,287.75,special make herbs home
287.76,289.82,make herbs home variety herbs
289.83,292.61,variety herbs use high speed blender
292.62,294.98,use high speed blender use vitamix small pitcher
294.99,297.56,use vitamix small pitcher herbs make
297.57,299.48,herbs make vitamix high speed blender
299.49,302.27,vitamix high speed blender bone dry get lot sticking
302.28,304.01,bone dry get lot sticking lose lot herbs
304.02,305.75,lose lot herbs especially making
305.76,308.42,especially making small
308.43,311.96,small past
311.97,314.48,past make choice
314.49,321.44,make choice recipe
321.45,324.44,recipe add cumin seed
324.45,327.98,add cumin seed powder add
327.99,329.48,powder add happens
329.49,331.79,happens get little amazing bits
331.8,334.79,get little amazing bits cumin cracker
334.8,336.56,cumin cracker wanted share
336.57,339.38,wanted share blend make herbs
339.39,341.15,blend make herbs add
341.16,343.67,add
343.68,345.74,get lid
345.75,347.87,get lid guess
347.88,350.65,guess anyways got cumin seed
350.66,354.47,anyways got cumin seed add couple tablespoons
354.48,356.72,add couple tablespoons mean
356.73,358.85,mean tablespoon add
358.86,364.13,tablespoon add teaspoon cumin seeds
364.14,366.18,teaspoon cumin seeds crackers
366.19,369.63,crackers explosive flavor adding
369.64,372.33,explosive flavor adding powder nice balanced
372.34,374.36,powder nice balanced flavor entire cracker
374.37,377.61,flavor entire cracker cumin magical ingredient
377.62,380.49,cumin magical ingredient particular recipe
380.5,383.82,particular recipe make cumin
383.83,394.42,make cumin quick quick
394.43,397.24,seeds mustard seed
397.25,399.49,seeds mustard seed example grind factory
399.5,402.49,example grind factory starts oxidizing away seeds
402.5,406.24,starts oxidizing away seeds nuts protective mechanisms
406.25,411.61,nuts protective mechanisms inside hold oils
411.62,413.83,inside hold oils oils rancid
413.84,416.74,oils rancid make herbs home
416.75,419.6,make herbs home couple tablespoons cumin
419.61,421.75,couple tablespoons cumin powder having
421.76,424.23,powder having good time playing shop
424.24,428.47,good time playing shop ready rock roll
428.48,431.14,ready rock roll add final ingredient
431.15,433.39,add final ingredient important get
433.4,436.93,important get lemon lime juice
436.94,445.81,lemon lime juice quarter cup lemon juice
445.82,448.33,quarter cup lemon juice ends half
448.34,453.29,ends half large lemon small lemon
453.3,454.6,large lemon small lemon go
454.61,456.49,go minutes bear
456.5,460.81,minutes bear little dance jig
464.45,466.45,minutes
466.46,468.58,minutes
468.59,471.35,hurt food
471.36,474.13,hurt food processor
474.14,481.63,processor hurt food
481.64,482.86,hurt food processors
482.87,485.83,processors plugged unplug
485.84,488.38,plugged unplug good thing working
488.39,491.32,good thing working real time folks
