start,end,text
1.06,6.57,hello denise robinson set designer television film
6.57,14.69,behalf expert village continue decorating african
14.69,24.77,influenced pillow took raffia cut divide
24.77,35.76,add pieces corner fold
35.76,45.15,half trying train flat control
45.15,60.34,set aside cut piece twine long
60.34,76.53,double piece raffia started tie knot
76.53,88.07,tie double knot little decorative
88.07,102.51,got twine burlap rough
102.51,118.18,twine raffia corner pillow gather tie
118.18,132.5,knot make slide tie tight
132.5,147.66,tie couple knots make secure tying tying
147.66,160.55,start corner
