start,end,text
0.0,1.81,guess
1.81,3.81,doing
4.92,7.77,crazy cold
8.67,13.61,united states parts world asking super long
13.62,15.42,time
15.42,17.42,doing making
18.03,25.82,hot chocolate dogs mind chocolate recipe using favorite
26.38,27.82,carob
27.82,30.44,carob powder chocolate
31.24,33.24,carob hot chocolate
34.05,37.94,alternative dogs chocolate recipe laugh
39.73,45.45,new channel forget hit subscribe button notified new
45.55,46.18,videos
46.18,52.04,trey videos links description
52.36,57.62,cards bunch treat videos
59.03,60.46,simple
60.46,65.04,recipe little treat videos cook stove
65.35,70.16,get making good stretch treats
70.72,73.78999999999998,chevys lay blend floor
75.53999999999998,80.18,said today's stove
80.18,82.82,making hot chocolate remind
82.83,87.62,dogs super super hot stick finger way
87.63,91.25,hot make test
91.43,94.79,2 cups
95.53,98.3,unsweetened coconut milk make unsweetened
98.47,103.47,coconut milk use water turn little color little
103.47,105.47,thinner 2
105.61,107.61,tablespoons
107.61,109.54,ready
109.54,111.54,carob powder
113.25,115.82,carob powder chocolate
117.57,119.6,carob
120.13,124.92,pour 2 tablespoons carob powder into pan
125.53,128.84,cups unsweetened coconut milk into
129.39,131.72,pan tada
132.74,134.51,young using stove
134.51,139.03,ask parents permission help gets burned
139.86,144.11,turn low half
144.99,150.98,fairly low whisk make carob
150.98,155.59,gets nice broken gets broken heat
156.18,161.42000000000004,minutes low said hot chocolate
161.42000000000004,165.25,super hot go ahead mixing
165.81,170.72,dogs get pretty soon wondering people drink
171.15,173.15,yes drink
174.32999999999996,179.48,milk recipe make said cook low
179.94,181.94,continuously stir
182.4,185.68,burn
186.33,192.68,nice good chocolatey color nice frothy
192.69,198.02,super hot dogs drink hot anybody burning tongues
198.02,201.79,burning soon carob dissolved
202.5,208.19,pretty ready container dogs enjoy hot chocolate
208.77,213.17,alternative nice cool dogs
213.17,214.97,hot stick finger
214.97,216.45,hot
216.45,221.95,thing marshmallow
222.12,227.84,marshmallow dogs treat meal replacement
227.84,233.45,get go ahead marshmallow
234.45,237.95,cute hot chocolate
238.29,243.1,hot chocolate mmm chocolate
244.32,247.73,waiting patiently oakley went bed got tired waiting
248.25,252.02,wanna think comes
252.75,257.83,realize stuff split marshmallow
257.84,259.84,marshmallow hold
260.7,262.7,little piece
263.66,266.11,little piece
267.27,271.1,room
271.62,277.37,little piece miss smith finis got time
277.37,280.97,food happening totally stay
282.54,285.76,hot chocolate
286.62,291.7,alternative dogs perfectly good drink
292.41,295.13,option little mini
295.29,299.89,marshmallows use sprinkle
299.9,303.65,way couple lot makes cute
303.65,307.76,necessary cool pictures cool pictures
307.95,312.43,ready hot chocolate hot chocolate
313.65,317.45,shelby sit
318.27,323.32,sit sit butt butt sit butt
325.16,330.91,good sit sara
332.76,339.61,mat stop sliding throw washing machine good
340.71,343.88,good stuff man amazing
345.24,351.32,gotta eat marshmallow total cups
351.69,353.69,quarter cup
353.97,360.22,treat fun get marshmallow get
360.81,364.16,he'd get help go got marshmallow
365.76,370.12,she's stuff iki marshmallow stuff good
372.06,375.64,eat marshmallow good bye shelby
377.07,380.23,wait gotta come sit
380.76,384.7,good job good job y'all
385.32,387.32,memphis gets
389.28,391.08,whoa
391.08,393.38,good stuff knew spill
395.82,398.51,messy compared shelby
402.69,404.68,messy puppy
404.68,408.53,yep gotta clean mess marshmallow
409.12,411.12,able get marshmallow
412.44,414.44,oakley's where's
416.53,419.25,got
420.22,422.22,get marshmallow
422.34,428.6,help got marshmallows clean mess oakley's turn
429.88,432.65,miss oakley's turn
432.94,438.69,slid rug feet slide she's got little marshmallows
438.69,440.69,figure easier
444.0,447.8,she's good
449.71,454.22,guess wait get big marshmallow go little marshmallows
457.12,460.44,help help help
462.61,465.75,little marshmallow come
466.38,470.81,missed pointed eyes
473.11,480.12,think oakley likes dint marshmallow good believe
481.57,485.15,treat
485.86,491.61,2018 requesting long time hot chocolate alternative dogs
492.28,497.54,suggestions make leave comments
497.65,499.5,love
499.5,504.47,suggest love ideas create fun dogs
504.47,506.48,fun make
507.21,513.11,yes sushi list hopefully happen pretty soon ideas
513.12,516.95,move comments new channel
517.06,519.63,liked saw forget hit subscribe button
519.84,524.03,share friends help grow parthians watching
524.03,528.47,subscribing stay positive dream big
529.02,531.02,soon goodbye
