start,end,text
0.0,4.08,hi everybody halloween coming
2.82,7.17,fast
4.08,9.71,wanted halloween craft
7.17,12.45,week wanted make
9.71,14.92,jack sock doll nightmare
12.45,14.92,christmas
22.1,28.76,looking halloween stuff
26.81,31.73,pinterest day
28.76,34.16,get inspired week's craft saw
31.73,36.14,picture jack instantly knew
34.16,38.6,wanted come way
36.14,41.62,make doll daughter kimberly
38.6,44.6,absolutely loves movie
41.62,46.87,nightmare christmas
44.6,50.9,make perfect christmas gift
46.87,53.39,adore idea making sot dolls
50.9,56.23,gives way use
53.39,60.01,mismatched socks
56.23,62.65,way kids learn sew tried
60.01,65.9,make doll
62.65,68.9,ghostly whoo
65.9,70.82,didn't legs
68.9,73.13,thought sitting
70.82,75.89,daughter's pillows bed
73.13,79.25,wait make
75.89,81.32,ghostly sot bell get started
79.25,84.65,leave list things
81.32,86.47,thing
84.65,89.39,pick couple mismatched
86.47,91.93,socks used doll
89.39,95.03,pick white socks socks
91.93,98.63,colored toes rubber
95.03,101.21,band use polyfill stuffing fill
98.63,103.93,toe sock stop stuffing
101.21,106.67,head size
103.93,109.21,get rubber band wrap
106.67,111.97,base head form
109.21,114.32,neck use pair scissors cut
111.97,117.28,straight cut
114.32,120.38,heel stuff
117.28,122.5,sock ghost stuffing
120.38,125.53,pins
122.5,129.95,push stuffing fold edges
125.53,131.84,sock under use
129.95,135.83,pins hold fold parts
131.84,138.53,place make sew
135.83,141.23,thread needle end
138.53,143.72,using blanket stitch sewing
141.23,145.76,edges
143.72,148.28,detailed selling tutorial
145.76,151.49,check ragdoll tutorial
148.28,154.22,leave link simply sew
151.49,157.7,edge using blanket stitch remove
154.22,160.22,pins go tie
157.7,162.31,cut thread finish
160.22,165.53,use sock make arms
162.31,167.66,sock long cut
165.53,170.63,cut
167.66,173.12,center
170.63,176.32999999999996,dolls use foot
173.12,179.54,suck arms cutting
176.32999999999996,182.24,toe heel cut
179.54,185.72,center using scissors
182.24,188.72,cut end ends piece
185.72,191.06,rounded pick
188.72,194.18,face
191.06,196.45,inside sew
194.18,198.83,sewing
196.45,202.22,arm leaving
198.83,204.55,open use stitch sew
207.74,213.23,get cut
209.87,216.92,end flip arm
213.23,219.17,attaching sleeve
216.92,220.94,arm use
219.17,223.04,scissors cut sleeve
220.94,225.59,black fabric length
223.04,228.32,make piece wider
225.59,230.63,arm stuffing arm
228.32,233.9,sewing sleeve
