start,end,text
0.08,2.36,gay girls here's short little
2.37,4.16,gay girls here's short little instructional using bissell
4.17,6.47,instructional using bissell spot clean
6.48,8.72,spot clean australian products move
8.73,13.16,australian products move aussie product meat pie
13.17,14.81,aussie product meat pie wet chunky mask
14.82,16.49,wet chunky mask rubber get gloves
16.5,20.12,rubber get gloves pick outside
20.13,22.93,pick outside center remove
22.94,26.77,center remove surface carpet get
26.78,29.68,surface carpet get damp microfiber cloth pull
29.69,32.65,damp microfiber cloth pull remaining residue carpet
32.66,34.94,remaining residue carpet rub big thing
34.95,38.09,rub big thing remember get bottle
38.1,40.36,remember get bottle fabric cadabra fabric cleaner use
40.37,42.13,fabric cadabra fabric cleaner use pre cleaner
42.14,44.27,pre cleaner heavier mud staining case
44.28,46.72,heavier mud staining case drop meat pie works loosen
46.73,48.26,drop meat pie works loosen contaminants fibers
48.27,50.81,contaminants fibers super safe effective way spray
50.82,52.76,super safe effective way spray directly into areas deep
52.77,54.97,directly into areas deep clean get nice soft bristle brush
54.98,57.59,clean get nice soft bristle brush plush brush gently rub
57.6,60.26,plush brush gently rub area forth
60.27,62.47,area forth use brush normal carpet cleaning
62.48,64.0,use brush normal carpet cleaning using spotclean
64.01,66.64,using spotclean machine works bloody tree leave
66.65,68.12,machine works bloody tree leave carpet sit minutes
68.13,69.53,carpet sit minutes allowing product cleaning
69.53999999999999,71.81,allowing product cleaning magic fill spot cleans clean tank
71.82,73.73,magic fill spot cleans clean tank warm water
73.74,76.16,warm water labelled watermark grab bottle
76.17,78.26,labelled watermark grab bottle ph neutral purpose cleaner orange
78.27,80.81,ph neutral purpose cleaner orange agent citrus based cleaner lots
80.82,82.46000000000002,agent citrus based cleaner lots uses including cleaning
82.47,85.07,uses including cleaning liquid spot clean measure 20
85.08,86.53,liquid spot clean measure 20 mils add clean
86.53999999999998,88.81,mils add clean water tank close hold finger
88.82,90.83,water tank close hold finger tabs shake mix
90.84,93.35,tabs shake mix orange agent attacked into
93.36,95.17,orange agent attacked into machine ready go
95.18,97.67,machine ready go bissell compact consuming
97.68,99.2,bissell compact consuming unit works spraying
99.21,101.12,unit works spraying cleaning solution into carpet
101.13,102.62,cleaning solution into carpet suck vacuum
102.63,105.28,suck vacuum head begin cleaning
105.29,107.03,head begin cleaning process obviously turning machine
107.04,108.95,process obviously turning machine holding head 10 centimeters
108.96,109.36,holding head 10 centimeters away
109.37,111.34,away surface use finger trigger
111.35,112.96,surface use finger trigger spray entire area
112.97,115.78,spray entire area cleaning head
115.79,117.64,cleaning head built brush helps
117.65,119.52,built brush helps release gunk carpet
119.53,122.14,release gunk carpet place head carpet pull
122.15,124.12,place head carpet pull trigger firm pressure
124.13,126.13,trigger firm pressure head slowly pull backwards
126.14,128.41,head slowly pull backwards straight line use east west motion
128.42,130.18,straight line use east west motion entire area
130.19,131.92,entire area opposite north south
131.93,134.05,opposite north south direction ensure
134.06,137.29,direction ensure cleaned entire area thoroughly
137.3,139.0,cleaned entire area thoroughly critical apply
139.01,141.31,critical apply machines head surface
141.32,142.96,machines head surface use trigger release
142.97,145.42000000000004,use trigger release liquid suck water
145.43,147.57999999999996,liquid suck water gunk surface slowly
147.59,149.53,gunk surface slowly run firm pressure
149.54,152.02,run firm pressure overlapping east west
152.03,155.11,overlapping east west north south motion
155.12,157.24,north south motion stage couple times till
157.25,159.28,stage couple times till barely water sucked into
159.29,162.01,barely water sucked into head inspect
162.02,164.05,head inspect area staining
164.06,166.72,area staining area second time
166.73,168.7,area second time happy area check
168.71,170.92000000000004,happy area check spot cleans dirty liquid tank
170.93,172.69,spot cleans dirty liquid tank removed
172.7,175.47,removed carpet full mark dirty tank
175.48,177.55,carpet full mark dirty tank quite optimistic fill
177.56,179.59,quite optimistic fill mark use
179.6,181.33,mark use machine makes high pitched whine
181.34,182.92,machine makes high pitched whine time stopped drain
182.93,186.22,time stopped drain tank job's time
186.23,188.29,tank job's time pack rinsing
188.3,189.94,pack rinsing dirty clean tanks
189.95,190.39,dirty clean tanks sink
190.4,192.1,sink machine
192.11,194.47,machine plastic bungs open
194.48,195.91,plastic bungs open chance dry
195.92,198.91,chance dry mold infested wrap hose
198.92,200.5,mold infested wrap hose machine place
200.51,202.81,machine place she'd hand holder roll
202.82,204.61,she'd hand holder roll electrical cord
204.62,206.44,electrical cord compact unit ready store away
206.45,209.14,compact unit ready store away till time
209.15,210.88,till time important clean carpets
210.89,213.31,important clean carpets outside sun hours
213.32,214.87,outside sun hours working seats carpet
214.88,216.94,working seats carpet inside car park outside
216.95,218.94,inside car park outside sun doors open
218.95,220.87,sun doors open windows dry
220.88,223.57,windows dry little machine bats
223.58,225.75,little machine bats average especially
225.76,227.68,average especially teen ozzy car cat formulas
227.69,229.36,teen ozzy car cat formulas addition car
229.37,231.28,addition car detailing kit pretty good
231.29,233.5,detailing kit pretty good house enjoyed
233.51,236.42,house enjoyed watching
