start,end,text
1.56,3.83,channel doing home
3.84,7.97,channel doing home update crazy lady got
7.98,11.18,update crazy lady got into cleaning binge decided
11.19,15.49,into cleaning binge decided wanted ceiling fan
15.5,16.97,wanted ceiling fan time get trying wrap
16.98,20.57,time get trying wrap things get house
20.58,22.34,things get house order
22.35,24.29,order looking years
24.3,28.18,looking years house wanted change
28.19,32.84,house wanted change here's
32.85,35.29,here's plain white ceiling fan
35.3,38.9,plain white ceiling fan ceiling fan
38.91,40.81,ceiling fan proper bracket place
40.82,45.13,proper bracket place starting power
45.14,47.95,starting power lucky second set
47.96,52.1,lucky second set lights electrical
52.11,56.33,lights electrical outlet able switch
56.34,59.95,outlet able switch breaker job
59.96,63.02,breaker job people prefer
63.03,64.49,people prefer light switch live
64.5,66.26,light switch live electricity wire
66.27,68.89,electricity wire somebody come accidentally
68.9,70.21000000000001,somebody come accidentally hit switch knowing
70.22,72.8,hit switch knowing doing fried
72.81,74.48,doing fried
74.49,76.39,peaked children
76.4,79.48,peaked children house breaker
79.49,83.14,house breaker ceiling fan mounting
83.15,88.21000000000002,ceiling fan mounting hunter ceiling fan model
88.22,91.76,hunter ceiling fan model zero zero able pick
91.77,94.14,zero zero able pick home improvement store
94.15,99.23,home improvement store belated christmas
99.24,103.6,belated christmas christmas july trying
103.61,106.03,christmas july trying get taken care
106.04,107.83,get taken care starting basic tool
107.84,114.37,starting basic tool got stepladder phillips
114.38,118.52,got stepladder phillips straight head screwdriver got
118.53,121.48,straight head screwdriver got little pre assembly
121.49,124.78,little pre assembly family old
124.79,125.89,family old
125.9,130.06,start assembly far
130.07,134.8,start assembly far
134.81,138.88,rubber grommets center
138.89,140.62,rubber grommets center attaches screech
140.63,144.01,attaches screech screws fan blade bracket
144.02,147.25,screws fan blade bracket little slow nice
147.26,149.29,little slow nice thing ahead time
149.3,151.32999999999996,thing ahead time reversible make
151.34,154.57,reversible make getting set
154.57999999999996,157.93,getting set color go taking
157.94,207.51,color go taking apart
761.64,764.35,everybody
764.36,769.3,everybody
769.31,772.75,stool got taken
772.76,773.17,stool got taken care
773.18,776.62,care boys went dead
776.63,780.69,boys went dead work bethy played watched
780.7,784.32,work bethy played watched pbs shows
784.33,787.66,pbs shows months pregnant
787.67,791.88,months pregnant tool kids
791.89,794.92,tool kids use magnetic screwdriver
794.93,797.13,use magnetic screwdriver assistant hand screws
797.14,800.53,assistant hand screws taller ladder couple
800.54,803.38,taller ladder couple screws mount housings
803.39,806.05,screws mount housings little hard reach needed
806.06,808.06,little hard reach needed taller ladder able
808.07,810.93,taller ladder able stand kitchen counter
810.94,813.85,stand kitchen counter dropped screws times
813.86,815.88,dropped screws times magnetic screwdriver help
815.89,817.93,magnetic screwdriver help lot ended
817.94,819.61,lot ended using flathead screwdriver
819.62,823.72,using flathead screwdriver use phillips power drill
823.73,826.84,use phillips power drill coming handy anchor
826.85,830.76,coming handy anchor screws bracket
830.77,835.44,screws bracket drill led
835.45,838.24,drill led light bulbs used 360 watt
838.25,839.71,light bulbs used 360 watt regular light bulbs fall
839.72,842.86,regular light bulbs fall leds
