start,end,text
0.16,0.9,fun wil
0.9,5.8,girls
5.8,6.5,absolutely adorable
6.5,7.16,shoe
7.16,11.23,wedge
11.23,11.9,shoe comfortable
11.9,12.56,talk
12.56,13.26,yellow box
13.26,14.3,talking y
14.3,15.23,comfort
15.23,15.86,meets style
15.86,17.63,mentioned issue
17.63,23.56,lightweight shoe
23.56,24.26,mentioned couple
24.26,24.96,times
24.96,25.66,close losing sizes
25.66,29.06,shoe
29.06,29.7,lena snake embossed
29.7,33.36,santa cork heel
33.36,34.5,elana
34.5,37.3,lightweight
37.93,38.63,snake embossed beautiful
38.63,41.6,upper credibly
41.6,45.76,cute cute
45.76,46.4,silver order
46.4,48.73,love
48.73,49.36,think
49.36,50.03,neutral get
50.03,50.7,wear
50.7,51.4,bronze pick
54.23,58.26,black 3 1 4 inch
58.26,58.93,heel 1 1 2 inch
58.93,62.66,platform order
62.66,65.56,sizes 5 1 2 9 10 11
65.56,67.93,gt gt guest cute
67.93,69.0,favorites
69.0,69.66,lot people
69.66,74.43,wear large heel height w
75.1,75.73,adorable little
75.73,78.4,slide
78.4,79.1,padding feel
79.1,79.86,padding
79.86,82.2,gt gt host
82.2,82.86,amazing
82.86,84.16,concave
84.16,84.86,nestles heels
84.86,87.06,gt gt guest yes love
87.06,90.6,inaudible reatment
90.6,91.2,upper
91.2,93.13,metallic silver
93.13,95.4,bronze
95.4,97.96,amazing gorgeous ama
98.93,101.93,skin tone
101.93,102.56,especially
102.56,103.56,looking bronze lo
103.56,104.23,hand
104.23,106.2,link legs
106.2,108.76,color link
108.76,114.9,leg lengthens
114.9,117.86,lengthens
117.86,118.5,neutral beige
118.5,119.2,bronze gorgeous
119.2,119.63,feet
119.63,122.93,gt gt host love
122.93,123.53,snake
123.53,124.2,embossing
125.03,126.9,locks
126.9,129.06,expensive
129.06,130.8,luxe
130.8,131.46,slide foot
131.46,132.4,tried
132.4,134.4,wedge shoe
135.1,136.26,human beings foot ke
136.9,140.13,pitch
140.13,140.76,hold foot
140.76,143.73,incredibly uncomfortable
143.73,144.4,yellow box prides
144.4,145.06,comfort
145.76,146.46,fact get amazing
146.46,154.06,style
154.06,155.1,shoe l
155.1,155.76,comfortable
155.76,156.43,stylish
156.43,159.32999999999996,girls note
159.32999999999996,160.3,wear
160.3,160.93,shoe day
160.93,162.86,thinking got
162.86,163.46,shoe
163.46,164.16,killing
164.16,165.32999999999996,foot designed
165.32999999999996,171.06,comfortable c
171.06,171.76,black neutral
171.76,172.43,wear
172.43,173.7,time bronze
174.32999999999996,178.86,white shoes
178.86,179.53,neutral
179.53,180.26,mix
180.26,180.93,match
180.93,184.63,collection y
184.63,185.26,course final
185.26,186.26,option op
186.26,187.63,silver
187.63,188.33,silver
188.33,189.23,cork think
189.23,191.76,special
191.76,193.73,faux leather wrapped
193.73,194.4,way
194.4,195.06,heel
195.06,196.53,gt gt guest
196.53,198.23,foot coverage
198.23,199.63,heel height
199.63,201.73,high
201.73,203.2,important
203.2,205.56,platform y
205.56,209.0,hinge high
209.0,210.7,inch
210.7,211.3,heel
211.3,211.93,balance
211.93,212.6,feel
