start,end,text
2.82,7.89,yeti rod holder solidly
6.1,10.54,constructed powder coated stainless
7.89,12.58,steel attachment sucker solid
10.54,16.09,fits inside anchor point tie
12.58,19.27,yeti cooler
16.09,21.46,river trips kayak trips sup forward
19.27,24.94,paddle trips got bring rod
21.46,27.43,nice fits
24.94,29.89,beach fishing pier fishing
27.43,34.02,mean pond fishing inshore offshore
29.89,36.78,fishing marlin fishing river fishing
34.02,40.21,inshore fishing offshore fishing
36.78,44.02,bluegill fishing perch fishing bass
40.21,45.61,fishing sunfish sunfish go
44.02,47.53,fishing sunfish fish
45.61,49.32,parents house pond
47.53,50.64,catch frogs
49.32,52.87,rod
50.64,58.62,doing yeti rod
52.87,58.62,holder hurt sorry
