start,end,text
4.38,8.05,able add trans fluid
8.06,11.2,able add trans fluid transmission fluid happen
11.21,14.06,transmission fluid happen ford explorer
14.07,17.83,ford explorer think
17.84,20.59,think go pick
20.6,22.42,go pick various styles high flows fluid
22.43,24.01,various styles high flows fluid pumps write fuel pump
24.02,30.01,pumps write fuel pump excuse peanut butter
30.02,33.02,excuse peanut butter o'reilly shucks
33.03,36.04,o'reilly shucks close local
36.05,39.08,close local walmart go
39.09,40.54,walmart go check tell
40.55,42.22,check tell special small little
42.23,44.42,special small little piece
44.43,45.41,piece charge seventeen
45.42,47.0,charge seventeen bucks amazon buy
47.01,48.29,bucks amazon buy little black piece
48.3,51.77,little black piece thing
51.78,53.99,thing event go went ace
54.0,57.56,event go went ace ace place
57.57,58.58,ace place dollars opposed paying
58.59,60.77,dollars opposed paying seventeen dollars get use
60.78,63.47,seventeen dollars get use pump
63.48,69.89,pump 5 32 g's hex
69.9,71.14,5 32 g's hex hex spline
71.15,75.32,hex spline spline use spline
75.33,76.91,spline use spline wanted check works
76.92,78.14,wanted check works feel
78.15,80.06,feel toolbox use
80.07,80.8,toolbox use worked
80.81,84.95,worked anyways grab thing pump
84.96000000000002,87.02,anyways grab thing pump use
87.03,89.84,use leak use stop leak
89.85,92.35,leak use stop leak bar s promoting
92.36,93.89,bar s promoting particularly tell
93.9,97.31,particularly tell event grab
97.32,98.56,event grab underneath
98.57,100.13,underneath seen begins
100.14,104.78,seen begins simple
104.79,110.06,simple under jesus proof
110.07,113.1,under jesus proof moment
113.11,116.23,moment spline
116.24,119.51,spline little spin
119.52,122.44,little spin sit drop
122.45,124.95,sit drop little brass fitting
124.96,128.02,little brass fitting screw tighten
128.03,131.18,screw tighten torx hand tight
131.19,134.27,torx hand tight hose end start
134.28,136.32999999999998,hose end start pumping fluid
136.34,137.93,pumping fluid pumped think
137.94,141.72,pumped think start car car run
141.73,146.63,start car car run undo little fitting fitting
146.64,149.72,undo little fitting fitting pour
149.73,152.0,pour stops starts dripping leveled
152.01,153.94,stops starts dripping leveled
153.95,155.3,go ahead piece
155.31,158.57,go ahead piece good
158.57999999999996,161.15,good pretty
161.16,163.61,pretty hell lot cheaper ahead
163.62,166.55,hell lot cheaper ahead paint car mechanic cuz
166.56,168.53,paint car mechanic cuz charge 200
168.54,171.14,charge 200 bucks anyways
