start,end,text
3.3,6.23,replace latch armrest
6.24,10.61,replace latch armrest honda civic believe
10.62,14.81,honda civic believe generation haip think years 2006
14.82,23.59,generation haip think years 2006 2010 eration 8 honda civic
23.6,25.55,2010 eration 8 honda civic thing
25.56,29.41,thing screws use
29.42,36.62,screws use torx t15
36.63,46.24,torx t15 pull thing
46.25,48.56,pull thing little latches
48.57,50.54,little latches little hooks go inside key
50.55,52.25,little hooks go inside key shaped holes
52.26,54.97,shaped holes fit
54.98,58.04,fit latch
58.05,61.4,latch replaced latch
61.41,63.29,replaced latch wasn't good showed
63.3,66.59,wasn't good showed thought i'd make
66.6,69.71000000000001,thought i'd make removing pretty
69.72,72.17,removing pretty slide pin
72.18,73.96000000000002,slide pin pins slid move
73.97,76.6,pins slid move way jockey pin
76.61,79.34,way jockey pin little shouldn't
79.35,81.89,little shouldn't pry shouldn't pressure
81.9,83.78,pry shouldn't pressure things getting tight slide
83.78999999999998,86.09,things getting tight slide pin pop fine
86.1,88.37,pin pop fine here's latch pin
88.38,90.74,here's latch pin installed spring installed
90.75,93.26,installed spring installed buy new latch get
93.27,95.81,buy new latch get spring pin make save
95.82,98.42,spring pin make save old latch
98.43,99.02,old latch
99.03,100.99,hole
101.0,103.91,hole end spring goes
103.92,108.23,end spring goes inside hole pin goes
108.24,110.3,inside hole pin goes
110.31,113.92,new latch end
113.93,116.45,new latch end spring goes
116.46,119.12,spring goes little shelf
119.13,123.62,little shelf slide
123.63,126.17,slide pin make
126.18,127.78,pin make push pin far
127.79,130.21,push pin far finger slide
130.22,130.52,finger slide
130.53,133.25,latch way
133.26,133.52,latch way
133.53,135.23,strings mistake
135.24,137.69,strings mistake times
137.7,140.42000000000002,times latch
140.43,145.52,latch
145.53,147.41,springs wrong
147.42000000000004,151.18,springs wrong make mistake
151.19,158.3,make mistake
158.31,161.6,slide pin
161.61,162.26,slide pin pie
162.27,166.85,pie latch held
166.86,170.69,latch held plastic piece
170.7,172.57999999999996,plastic piece hard
172.59,173.32999999999996,hard handed
173.34,186.94,handed didn't bring helper got
186.95,188.8,didn't bring helper got got things inside keyhole
188.81,191.33,got things inside keyhole good
191.34,193.79,good closes
193.8,198.19,closes screws remember
198.2,201.08,screws remember t15
201.09,202.28,t15 number new latch
202.29,207.14,number new latch description buy
207.15,212.24,description buy got ebay 2
212.25,215.71,got ebay 2 china took forever
215.72,217.91,china took forever think bucks
217.92,219.89,think bucks honda dealership
