start,end,text
5.51,8.15,hi dave
8.16,11.65,hi dave making jam donuts begin
11.66,19.65,making jam donuts begin
19.66,22.24,start bread
22.25,24.28,start bread flour salt into mixing bowl
24.29,25.9,flour salt into mixing bowl choice easie mix
25.91,27.76,choice easie mix ball use whichever ball
27.77,29.49,ball use whichever ball mix
29.5,35.2,mix ingredients
35.21,37.61,into bowl add
37.62,43.37,into bowl add milk water
43.38,53.63,milk water egg sugar butter
53.64,55.67,egg sugar butter forget add yeast
55.68,59.57,forget add yeast vanilla mix
59.58,61.91,vanilla mix medium low speed
61.92,64.18,medium low speed dough started form careful
64.19,70.07,dough started form careful mix stage
70.08,71.93,mix stage stage dough sticky
71.94,74.03,stage dough sticky worry work
74.03999999999998,80.39,worry work stage dough
80.4,82.76,stage dough floured surface knead
82.77,84.68,floured surface knead dough couple minutes
84.69,88.25,dough couple minutes dough sticky
88.26,90.02,dough sticky able physically difference
90.03,91.37,able physically difference feeling working
91.38,91.99,feeling working dough
92.0,94.4,dough place dough into lightly oiled
94.41,96.05,place dough into lightly oiled bowl covering bowl cling film
96.06,98.63,bowl covering bowl cling film leave warm place proof
98.64,100.52,leave warm place proof roughly hour
100.53,105.99,roughly hour doubled size
106.0,107.98,shadow doubled size
107.99,110.11,shadow doubled size remove cling film
110.12,113.23,remove cling film bowl layer surface
113.24,114.97,bowl layer surface dough knock
114.98,116.71,dough knock process removing
116.72,119.16,process removing gutters built hour
119.17,121.75,gutters built hour bring dough into large
121.76,127.42,bring dough into large ball scale dough into 2 grand
127.43,130.12,ball scale dough into 2 grand portions round
130.13,132.07,portions round using palm size
132.08,135.91,using palm size hand make dough
135.92,137.74,hand make dough covered cling film tea
137.75,139.9,covered cling film tea towel dough skin
139.91,149.74,towel dough skin turmoil reaches
149.75,152.44,turmoil reaches temperature place
152.45,155.89,temperature place donuts into fryer able
155.9,158.56,donuts into fryer able fit work
158.57,162.31,fit work fryer fry
162.32,164.86,fryer fry 60 90 seconds
164.87,169.84,60 90 seconds golden brown
169.85,172.0,golden brown repeat stage fried
172.01,181.13,repeat stage fried donuts
203.63,206.15,donor freud
206.16,207.53,donor freud place kitchen paper
207.54,209.99,place kitchen paper absorb excess
210.0,222.97,absorb excess grease
222.98,225.32,fill jam
225.33,227.72,fill jam poke hole into donut
227.73,230.48,poke hole into donut used cake utensils
230.49,232.49,used cake utensils use chopstick
232.5,235.52,use chopstick got fill
235.53,237.62,got fill jam choice using
237.63,239.54,jam choice using strawberry jam use whichever
239.55,242.33,strawberry jam use whichever flavor careful
242.34,246.62,flavor careful overfill
246.63,248.24,overfill make got bowl
248.25,251.12,make got bowl caster sugar granulated sugar
251.13,253.04,caster sugar granulated sugar roll donuts giving
253.05,255.41,roll donuts giving generous coating repeat
255.42,260.44,generous coating repeat donuts wanted
260.45,262.64,donuts wanted enhance vanilla flavor stage
262.65,265.24,enhance vanilla flavor stage use vanilla sugar
265.25,269.09,use vanilla sugar big fan jam
269.1,270.5,big fan jam fill german
270.51,272.42,fill german fill cramped
272.43,274.52,fill cramped air custard chocolate ganache
274.53,276.85,air custard chocolate ganache filling opportunities endless
276.86,282.19,filling opportunities endless jam donuts
282.2,285.47,jam donuts make jam donut
285.48,287.54,make jam donut enjoyed forget
287.55,289.43,enjoyed forget comment subscribe
289.44,291.62,comment subscribe week
291.63,293.48,week forget
293.49,295.1,forget suggestions comments leave
295.11,296.87,suggestions comments leave comments check
296.88,299.06,comments check social medias message
299.07,301.52,social medias message wanted
