start,end,text
6.85,9.65,juicy directors
9.66,13.07,juicy directors plant
13.08,16.58,plant grow melon sent tell little
16.59,19.18,grow melon sent tell little get seats
19.19,23.14,get seats abandoned minecraft shafts
23.15,26.74,abandoned minecraft shafts underground
26.75,30.43,underground upstairs speak get
30.44,32.99,upstairs speak get
33.0,36.59,seats
36.6,40.19,seats important water
40.2,43.72,important water dirt get dry laughs
43.73,48.79,dirt get dry laughs stages
48.8,52.95,stages miss basically
52.96,55.97,miss basically growing mailings
55.98,61.58,growing mailings block melanie
61.59,67.19,block melanie destroy get bunch
67.2,69.35,destroy get bunch fermenting slices
69.36,75.71000000000002,fermenting slices eat energy make
75.72,77.81,eat energy make seeds important
77.82,80.66,seeds important lots minutes grow
80.67,84.77,lots minutes grow lots lots minutes
84.78,89.35,lots lots minutes make mind thread blocks looking
89.36,94.6,make mind thread blocks looking
94.61,98.56,fill crafting board
98.57,101.74,fill crafting board basically get melon
101.75,104.21,basically get melon whilst
104.22,106.6,whilst directors remember
106.61,110.1,directors remember subscribe haven't
110.11,121.76,subscribe haven't peace
121.77,124.62,hi watch
124.63,128.07,hi watch basically gotta
128.08,134.67,basically gotta water get get plant
134.68,137.85,water get get plant seeds seats
137.86,142.92000000000004,seeds seats shafts ground
142.93,145.25,shafts ground get skylar
145.26,150.69,get skylar basically shove get get metal
150.7,156.62,basically shove get get metal slices eat use
156.63,162.35,slices eat use getting melon seeds
162.36,165.96,getting melon seeds make melon blocks doing
165.97,171.3,make melon blocks doing cell basically pissy ya
171.31,174.99,cell basically pissy ya little retard proof
175.0,177.69,little retard proof peace remember
