start,end,text
0.0,6.54,hi millet
3.68,8.76,today's event
6.54,12.08,clean couch
8.76,14.13,home cleaned super phase way
12.08,16.83,super fast super
14.13,19.35,reason
16.83,27.26,doctor come
19.35,30.39,clean sofa start
27.26,32.64,fill container 500ml
30.39,34.86,using water meter
32.64,38.16,get
34.86,40.37,slightly larger pot
38.16,42.3,'m use product
40.37,44.37,vantage carpet use
42.3,46.46,product
44.37,48.3,follow package directions
46.46,51.75,product talking
48.3,53.55,capsules 500 ml water
51.75,55.28,dilution make
53.55,56.82,cleaning google couch needs
55.28,59.28,little brush make
56.82,59.87,cleaning get
59.28,61.92,powder
59.87,64.65,point little brush
61.92,68.43,ideal cleaning upholstery
64.65,71.86,begins vacuum couch
68.43,75.72,residue small pieces food
71.86,77.0,hair shallow
75.72,79.4,sofa fabric
77.0,81.27,little school
79.4,84.99,tip helps lot
81.27,86.49,forget corners threading
84.99,88.86,get get
86.49,92.28,dirt remains works
88.86,94.59,brush inside
92.28,97.2,mix prepared earlier
94.59,100.68,remove excess water pass
97.2,104.54,entire sofa fiber
100.68,107.15,fabric fabric fiber
104.54,109.4,problem
107.15,113.52,direction
109.4,116.46,go ffa leave
113.52,118.92,mix taking
116.46,121.11,care soak
118.92,123.86,long
121.11,123.86,cac
128.38,134.0,sofa gets dried
132.62,136.07,hours
134.0,139.01,past time breathe
136.07,140.96,couch pick
139.01,144.38,particles dirt product
140.96,146.18,release finish cleaning
144.38,150.14,residue product
146.18,152.57,vacuum cleaner pull
150.14,153.23,replace sofa's decor
152.57,156.41,place
153.23,159.65,cushions ready
156.41,161.78,connect simple practical fact
159.65,163.73,hurry home cleaning
161.78,166.07,month
163.73,167.18,liked forget
166.07,169.28,young man help
167.18,170.69,spread social networks
