start,end,text
0.03,5.0,tosh adder
2.49,7.56,tonsor giant easter
5.0,8.7,bunny surprise egg sake
7.56,11.13,100 play doh
8.7,13.08,took hours make
11.13,14.58,thumbs
13.08,16.23,tell easter bunny
14.58,18.11,holding hand
16.23,20.01,answer comment section
18.11,24.0,easter bunny
20.01,28.74,apart closer
24.0,33.0,big ol feet cute fluffy hair
28.74,36.29,big ears isn't cute
33.0,36.29,start feet
39.78,44.67,body little things pretty
44.19,49.08,cool
44.67,52.01,colorful presents
49.08,56.12,ears colors
52.01,71.61,face check
56.12,73.75,red nose rudolph whoa
71.61,76.68,bunch surprises inside
73.75,81.92,check falling
76.68,85.05,little pony big hero shopkins
81.92,87.86,unicorn oohs bunch
85.05,91.02,start
87.86,95.39,surprise shopkins season 4 basket
91.02,95.39,includes shopkins inside
107.44,116.45,here's checklist bunch
112.9,122.57,shopkins whoa pretty cool
116.45,126.52,here's
122.57,126.52,fresh shopkins open
127.11,134.72,got bread crumbs isn't
130.25,137.63,cutie she's purple
134.72,141.68,rain insert hmm pretty cool
137.63,149.48,delicious here's
141.68,151.94,second shopkins got chili jam
149.48,157.4,super awesome
151.94,163.19,she's white orange red purple
157.4,166.79,she's little cute jar jam
163.19,170.87,toy rat king dispenser
166.79,174.16,little pony
170.87,174.16,dispensers get
179.01,186.64,here's checklist got twilight
183.4,187.42,sparkle super
186.64,191.32,happy
187.42,194.14,spiky hair horn wings
191.32,197.13,here's cutie mark use
194.14,203.07,toy twist
197.13,203.07,little hole add candy
203.34,213.04,pour
211.15,218.5,think close
213.04,222.94,whoops summer falling
218.5,228.31,took pull
222.94,230.38,hair fan spits candy
228.31,234.73,come toss marker
230.38,238.6,hmm orange mmm
234.73,245.11,delicious
238.6,248.32,got pest easter egg ah
245.11,252.93,pretty cute purple clear
248.32,252.93,easter bunny
259.6,268.55,says open
264.86,279.29,here's easter bunny
268.55,283.22,passed candy
279.29,288.26,lemon raspberry
283.22,293.98,thinking raspberry open
288.26,293.98,little package carefully
300.22,319.34,dispenser
305.38,323.27,pour come
319.34,325.46,got here's dispenser
323.27,326.87,here's easter bunny
325.46,330.86,little egg
326.87,332.93,he's brown cool thing
330.86,335.0900000000001,rats pull
332.93,341.42,hair head case
335.0900000000001,346.04,candy pops
341.42,351.92,candy pretty good huh
346.04,354.67,got strong hmm delicious
354.67,362.42,surprise big hero
359.12,365.26,hero pack inside tons dog tag
362.42,365.26,stickers
368.15,375.03,here's checklist
370.8,377.82,quick inside dog tags
377.82,383.1,stickers here's sticker got
380.31,385.76,phred he's alien looking
383.1,388.62,monster he's shooting
385.76,398.0,pretty awesome
388.62,398.0,pretty cool huh
398.12,403.37,here's dog tag go
405.6,413.08,pretty awesome got fred
409.84,416.71,time he's taking
413.08,420.67,city he's good guy
416.71,426.61,says big hero
420.67,432.97,friend number 18 24
426.61,433.81,under sticker cool seen
433.81,444.91,hello kitty fashems
436.9,447.24,series number fred photo
444.91,450.97,real quick
447.24,454.0,nuts hello
450.97,458.38,kitty she's super squishy
454.0,461.47,fashionable check she's
458.38,463.33,bunny costume hmm
