start,end,text
0.31,3.37,hi nick come
3.38,6.95,hi nick come sad story elderly gentleman
6.96,10.79,sad story elderly gentleman brought family
10.8,13.1,brought family local hospital he'd told
13.11,15.91,local hospital he'd told couldn't hearing aids
15.92,18.09,couldn't hearing aids got ear wax removed ears
18.1,20.81,got ear wax removed ears presented local
20.82,22.7,presented local medical practice told
22.71,27.38,medical practice told couldn't
27.39,29.99,couldn't batting backwards forwards
30.0,31.75,batting backwards forwards half months get
31.76,35.29,half months get ears sorted get new
35.3,38.15,ears sorted get new hearing aids family popped
38.16,39.95,hearing aids family popped car brought
39.96,42.68,car brought neck
42.69,47.65,observation
47.66,51.93,observation massive wax
51.94,54.57,massive wax comment
54.58,59.53,comment remove wax gentleman
59.54,65.56,remove wax gentleman quite loud tinnitus elected use
65.57,72.82,quite loud tinnitus elected use jobson horn quite deep
72.83,75.85,jobson horn quite deep quite thick
75.86,78.24,quite thick impression get
78.25,80.32,impression get jobs home
80.33,87.66,jobs home apply constant pressure
87.67,90.01,apply constant pressure notice pulled
90.02,93.04,notice pulled rolled began
93.05,96.83,rolled began notice jobson horn
96.84,98.21,notice jobson horn
98.22,101.16,beginning roll
101.17,105.99,beginning roll into massive bull
106.0,108.27,into massive bull sort tough read
108.28,111.72,sort tough read toffee type texture got lot
111.73,118.05,toffee type texture got lot hair slowly
118.06,121.05,hair slowly bringing forward
121.06,126.72,bringing forward patience absolutely fine family
126.73,128.97,patience absolutely fine family complete wonderment saying
128.98,131.28,complete wonderment saying couldn't somebody
131.29,133.78,couldn't somebody front ear
133.79,135.58,front ear canal hair
135.59,137.55,canal hair entrance ear canal
137.56,141.22,entrance ear canal agar
141.23,143.71,agar honest luck morton
143.72,148.44,honest luck morton rolled into fantastic ball
148.45,149.92000000000004,rolled into fantastic ball slowly bringing forward
149.93,152.8,slowly bringing forward bringing slowly
152.81,154.27,bringing slowly noticed
154.28,156.46,noticed connected
156.47,158.89,connected slowly bring way
158.9,164.4,slowly bring way come way
164.41,167.57999999999996,come way absolutely marvelous got
167.59,171.47,absolutely marvelous got tiny tiny little flake
171.48,173.67000000000004,tiny tiny little flake normally dived
173.68,176.0,normally dived micro suction gone
176.01,178.53,micro suction gone millionth second didn't
178.54,180.59,millionth second didn't
180.6,183.58,gentleman history tinnitus
183.59,186.78,gentleman history tinnitus introduce noise into
186.79,189.92,introduce noise into avoid
189.93,193.94,avoid gently remove jobson
193.95,201.13,gently remove jobson home
201.14,203.5,means
203.51,205.87,means gentleman go local
205.88,209.56,gentleman go local hospital impressions taken
209.57,212.65,hospital impressions taken get new hearing aids
212.66,216.73,get new hearing aids lovely ear beautiful
216.74,219.76,lovely ear beautiful forget subscribe
219.77,222.73,forget subscribe channel facebook
222.74,225.19,channel facebook shortly
