start,end,text
6.97,9.47,difficult tell
9.48,11.96,difficult tell bitten bedbug unless
11.97,14.45,bitten bedbug unless bugs evidence
14.46,17.32,bugs evidence infestation bedbug bites
17.33,19.27,infestation bedbug bites resemble mosquitoes
19.28,22.75,resemble mosquitoes fleas generally bite marks
22.76,25.64,fleas generally bite marks small appear line
25.65,28.75,small appear line randomly skin
28.76,31.55,randomly skin bite marks appear pattern
31.56,35.38,bite marks appear pattern people bites
35.39,37.84,people bites itchy swell into large raised
37.85,40.93,itchy swell into large raised wealth's reacts differently
40.94,42.02,wealth's reacts differently bedbug bites
42.03,45.86,bedbug bites fact 30 people
45.87,48.22,fact 30 people reaction
48.23,51.99,reaction realize bitten
52.0,54.39,information visit pests world
