start,end,text
2.95,5.69,lots stories
5.7,8.12,lots stories creation invention
8.13,11.2,creation invention caesar salad single restaurant
11.21,13.48,caesar salad single restaurant nowadays version
13.49,16.58,nowadays version caesar salad menu
16.59,19.49,caesar salad menu good good salad
19.5,20.68,good good salad make
20.69,24.14,make caesar salad 101 think
24.15,26.06,caesar salad 101 think taste able
26.07,28.82,taste able eat caesar salad
28.83,31.97,eat caesar salad make delicious
31.98,34.4,make delicious incorporates bunch
34.41,37.52,incorporates bunch ingredients long ago
37.53,40.04,ingredients long ago 20th century man called caesar
40.05,44.09,20th century man called caesar cardini tijuana mexico
44.1,46.34,cardini tijuana mexico restaurant night ran
46.35,47.93,restaurant night ran
47.94,50.47,cardenas restaurant catered lot
50.48,52.13,cardenas restaurant catered lot people los angeles
52.14,54.74,people los angeles drive drinks fun
54.75,56.06,drive drinks fun night run
56.07,58.16,night run romaine lettuce
58.17,61.31,romaine lettuce bread cheese eggs
61.32,65.29,bread cheese eggs created amazing salad
65.3,67.07,created amazing salad make real
67.08,70.07,make real thing large wooden salad bowl add
70.08,72.53,thing large wooden salad bowl add cloves garlic peeled
72.53999999999998,74.42,cloves garlic peeled bowl forgot tell
74.43,76.34,bowl forgot tell interesting story
76.35,79.81,interesting story salad special
79.82,81.83,salad special cardini said
81.84,83.66,cardini said make friends happy
83.67,87.32,make friends happy salad supper took salad
87.33,90.49,salad supper took salad ingredients tableside
90.5,92.56,ingredients tableside salad flourish
92.57,95.24,salad flourish theatricality muster
95.25,98.99,theatricality muster tableside creation
99.0,101.48,tableside creation presentation important
101.49,102.95,presentation important bowl
102.96,106.19,bowl cloves garlic fillets
106.2,108.74,cloves garlic fillets anchovy anchovy
108.75,111.17,anchovy anchovy important recipe
111.18,114.17,important recipe use dinner fork mash
114.18,118.19,use dinner fork mash garlic anchovies wood
118.2,120.1,garlic anchovies wood bowl assume
120.11,122.71,bowl assume delicious flavor
122.72,124.52,delicious flavor add
124.53,126.7,add anchovies little salty
126.71,130.69,anchovies little salty add teaspoon salt
130.7,132.46,add teaspoon salt measure exact
132.47,134.89,measure exact caesar cardini didn't
134.9,135.36,caesar cardini didn't
135.37,138.07,night throwing things
138.07999999999998,141.55,night throwing things into bowl make scene
141.56,146.77,into bowl make scene use fork cardini
146.78,150.04,use fork cardini forks chop mash
150.05,154.3,forks chop mash fun works
154.31,156.52,fun works salt into garlic anchovies
156.53,158.71,salt into garlic anchovies little faster important
158.72,161.44,little faster important match garlic
161.45,164.02,match garlic guests
164.03,166.18,guests big chunk garlic pretty
166.19,168.75,big chunk garlic pretty pasty add
168.76,170.77,pasty add wonderful freshly ground black
170.78,171.3,wonderful freshly ground black pepper
171.31,174.93,pepper teaspoon sounds lot
174.94,178.5,teaspoon sounds lot salad lot
178.51,181.24,salad lot lettuce tasty salad
181.25,184.03,lettuce tasty salad tablespoon fresh lemon
184.04,187.53,tablespoon fresh lemon juice use reamer
187.54,190.74,juice use reamer move hands
190.75,194.5,move hands senior cardini imagine
194.51,196.69,senior cardini imagine stirs sauce important
196.7,200.08,stirs sauce important teaspoon
200.09,202.39,teaspoon learn 1 teaspoon add
202.4,206.62,learn 1 teaspoon add flourish dijon mustard extremely
206.63,208.84,flourish dijon mustard extremely important half
208.85,213.16,important half teaspoon mix little
213.17,217.34,teaspoon mix little large egg yolk
217.35,221.19,large egg yolk supposedly cardini eggs
221.2,223.9,supposedly cardini eggs slightly poached worried
223.91,225.97,slightly poached worried raw eggs shouldn't use
225.98,228.69,raw eggs shouldn't use food pregnant women babies young
228.7,231.25,food pregnant women babies young children elderly
231.26,233.25,children elderly fresh eggs use
233.26,237.08,fresh eggs use beautiful fresh egg yolk
237.09,238.37,beautiful fresh egg yolk cardini
238.38,241.18,cardini little coddled supposedly
241.19,243.33,little coddled supposedly dropped height
243.34,245.92,dropped height splashed
245.93,249.61,splashed bowl fun add
249.62,250.79,bowl fun add
250.8,255.29,comes olive oil
255.3,258.08,comes olive oil fork
258.09,261.22,fork use whisk think use whisk
261.23,267.68,use whisk think use whisk 1 3 cup virgin olive oil
267.69,270.44,1 3 cup virgin olive oil nice creamy dressing open check
270.45,273.35,nice creamy dressing open check croutons they've cooking
273.36,275.63,croutons they've cooking oven
275.64,280.25,oven perfect perfect golden brown
280.26,282.65,perfect perfect golden brown exactly watch croutons
282.66,286.25,exactly watch croutons burnt golden brown
286.26,288.28,burnt golden brown cut recipe half
288.29,291.8,cut recipe half 1 egg yolk
291.81,295.88,1 egg yolk add beautiful romaine
295.89,299.23,add beautiful romaine lettuce cut torn
299.24,302.09,lettuce cut torn sprinkle into bowl make
302.1,304.43,sprinkle into bowl make lettuce washed
304.44,314.3,lettuce washed dried toss coating served
314.31,316.13,dried toss coating served lunch recently daughter
316.14,319.04,lunch recently daughter making times week
319.05,322.97,making times week caesar 101 loves
322.98,326.06,caesar 101 loves serve immediately
326.07,330.8,serve immediately lettuce get soggy sprinkle
330.81,335.3,lettuce get soggy sprinkle spicy crispy tender croutons
335.31,338.8400000000001,spicy crispy tender croutons think senior
338.85,341.3,think senior cardini pleased
341.31,343.91,cardini pleased forget grated parmesan
343.92,350.9,forget grated parmesan cheese 1 cup reggiano parmesan
350.91,354.77,cheese 1 cup reggiano parmesan bowl delicious
354.78,357.64,bowl delicious little mother toss
357.65,361.7,little mother toss deliciously rich salad
361.71,365.09,deliciously rich salad salad 4 people
365.1,367.25,salad 4 people hungry people makes delicious
367.26,369.08,hungry people makes delicious lunch perfect light suffer'd
