start,end,text
4.52,8.84,caitlin
6.93,10.67,think
8.84,13.59,start vlogging cuz jordan
10.67,15.66,fantastic idea
13.59,19.98,looking best lighting jordan
15.66,23.6,fight fantastic idea vlogging
19.98,27.93,doing vlog series life
23.6,30.72,college john hello got
27.93,33.03,keys go
30.72,36.03,shopping apologize lighting
33.03,38.12,terrible hallway million
36.03,39.57,colors make
38.12,39.96,make
39.57,41.96,weird
39.96,44.19,update
41.96,50.64,update
44.19,52.44,go walking god
50.64,56.19,closed
52.44,60.23,joey drunk drive
56.19,62.61,happened time mean stop
60.23,64.29,gosh time maintenance
62.61,66.27,people man edisto
64.29,68.72,elevator got broken
66.27,72.96000000000002,outfits day ron
68.72,76.64,john
72.96000000000002,76.64,get camera shy go go
81.2,92.39,got brother saw
87.36,96.96,didn't
92.39,98.94,sell black wesson story
96.96,99.5,backpack nordstrom breasts
98.94,103.31,clunk
99.5,107.78,shoes fans nudes
103.31,110.57,perforated material coffee
107.78,111.89,track example shirt
110.57,113.81,brandy melville
111.89,115.67,thermo hood
113.81,116.96,pants gap
115.67,125.21,literally comfortable pants
116.96,127.25,yep love eighties
125.21,137.6,wanted vintage msu
127.25,138.7,literally
137.6,139.22,walk shame believe forgot
138.7,141.86,wallet
139.22,149.98,alright
141.86,151.79,wait read read snapchat
149.98,153.34,got wallet
151.79,156.14,start vlog
153.34,158.78,caitlin forget
156.14,169.51,wallet effort aka forget wallet
158.78,170.66,preach elevators
169.51,173.6,positive
170.66,178.25,positivity domain john positivity
173.6,181.13,placenta
178.25,183.71,vlog doing makeup
181.13,186.2,think big deal
183.71,189.92,insecure
186.2,192.1,makeup
189.92,192.1,goes
196.94,204.26,pretty lookup
201.47,207.86,john said prettier
204.26,209.57,said
207.86,211.61,bright plato's
209.57,215.18,closet took good 10 minutes
211.61,216.56,walk
215.18,221.29,good
216.56,221.29,pressing plug favor michigan state
282.12,286.69,jeans aloft fit
285.43,294.82,glove
286.69,297.12,pocket detailing
294.82,301.29,music loud
297.12,301.29,pair levi's
316.0,320.81,use
318.59,322.85,feel
320.81,325.13,district gray shirt
322.85,328.85,should've won white mean think
325.13,332.0900000000001,good
328.85,335.93,trying honestly
332.0900000000001,338.81,comfortable
335.93,343.46,think definitely wear
338.81,349.73,relaxed here's
343.46,352.01,comfortable
349.73,354.02,finished shopping got things john
352.01,355.76,got things way
354.02,357.53,dorms
357.53,360.94,couple items got think
358.82,363.2,super cute
360.94,365.69,shirt
363.2,367.1,got oversized tee wish
365.69,369.35,little bigger think
367.1,371.99,crop definitely pair
369.35,373.79,embroidered shorts
371.99,375.95,love dad tees
373.79,378.29,fave jeans got
375.95,379.88,loose fit fit
378.29,381.62,waist got
379.88,385.1,girls section
381.62,387.02,size zero fit
385.1,389.68,boyfriend fit make
387.02,391.91,butt terrible
389.68,393.53,definitely score thinking
391.91,395.21,cutting into shorts saw
393.53,397.67,looked cuffed
395.21,400.1,super good
397.67,401.66,slide bands
400.1,404.15,best day
401.66,405.92,super excited
404.15,408.86,think jeans
405.92,410.63,cute think
410.63,415.28,watching eye
412.91,417.32,1k giveaway hit 2k subscribers
415.28,420.2,post 1k giveaway
417.32,421.13,things come
420.2,422.72,mail doing
421.13,424.67,fjällräven giveaway
422.72,427.01,fjällräven mini ton
424.67,428.93,goodies inside
427.01,430.67,enter possible make
428.93,432.49,turn notification button
430.67,436.28,check neck
432.49,439.09,week post
436.28,439.53,sorry vlog little
439.09,442.0,choppy
439.53,443.59,vlog forget
442.0,445.12,comment subscribe
443.59,446.44,caitlyn films family
