start,end,text
0.03,7.31,tube
5.67,9.12,tim chief professional freerunner
7.31,10.38,professional food lover
9.12,11.82,love
10.38,13.38,giving
11.82,14.49,time teamed jamie's
13.38,16.8,food team come
14.49,19.1,vegetable curry takes vegan
16.8,21.6,boxes loves curry
19.1,22.74,exception rich
21.6,25.74,wholesome got
22.74,28.28,favorite ingredients bernat squash
25.74,32.79,use butternut squash
28.28,34.86,hub go seeds
32.79,36.36,orange vegetables high
34.86,40.59,vitamin makes good
36.36,44.12,eyesight rich orange
40.59,46.78,cut into inch long cubes
44.12,49.95,rogue cooking technique
46.78,52.73,preheat oven 190 tousle
49.95,55.5,burnet squash into tray using walnut
52.73,59.16,oil time add
55.5,60.98,seasoning teaspoons cumin get
59.16,64.32,teaspoons coriander
60.98,66.84,teaspoon crushed chilies 2
64.32,67.79,teaspoons madras curry powder
66.84,69.18,what's kick
67.79,71.78999999999998,traditional indian spices
69.18,74.1,finally plastic seasoning salt
71.78999999999998,77.36,pepper shake
74.1,77.36,backflipping squash
81.28,86.5,make gets love
83.92,91.39,beautiful butternut squash
86.5,94.78,oven 190 40 minutes base
91.39,97.28,start things red onion slice
94.78,98.72,philosophy food eat
97.28,101.11,rainbow get colors
98.72,102.92,possible feel naturally
101.11,106.1,cover vitamins minerals
102.92,107.45,red onion covers purple
106.1,109.52,diet quite rare get
107.45,113.78,onions source vitamin b6
109.52,117.77,helps reduce tightness fatigue
113.78,119.11,ginger thumbs ginger
117.77,121.36,source potassium helps
119.11,125.03,muscles function
121.36,126.31,chile seeds
125.03,132.68,spicy leave seeds
126.31,136.93,cloves garlic slice
132.68,139.56,fine coriander stalks
136.93,141.62,use leaves later garnish
139.56,144.56,prepared get
141.62,148.88,sizzling heat
144.56,152.18,medium low get oil
148.88,154.67000000000004,second start heating get
152.18,159.17000000000004,get sizzling releasing
154.67000000000004,164.7,flavors
159.17000000000004,164.7,spice teaspoons curry powder
167.4,170.57999999999996,leave stuff
168.87,173.22,low heat prepare
170.57999999999996,176.15,ingredient tomatoes
173.22,178.38,tomatoes get diced
176.15,180.09,tomatoes good source vitamin c
178.38,182.16,good bones skin
180.09,183.75,hair basically watching
182.16,186.42,new human pretty
183.75,188.25,good tomatoes
186.42,192.38,properly chopped check
188.25,196.67,onion base check caramelized
192.38,199.53,softened nicely tomatoes
196.67,203.64,tomatoes
199.53,206.51,favorite ingredients chickpeas
203.64,209.16,exciting vegan bring
206.51,210.81,boil
209.16,213.35,lid turn heat leave
210.81,213.35,20 minutes
213.62,218.4,base ready come
216.11,219.98,beautiful smelling delicious
218.4,221.66,dry forget add
219.98,225.2,board water vegetable stock
221.66,228.06,boiling prepared
225.2,229.56,rice 1 2 teaspoon turmeric gives
228.06,231.63,lovely yellow check
229.56,233.76,jamie he's loads ways prepare
231.63,234.29,rice best way possible check
234.29,238.47,forget bullet squash
236.1,239.93,oven 40 minutes
238.47,244.44,go
239.93,249.66,flavors cooked
244.44,250.56,best ingredient curry
249.66,253.56,final touch
250.56,256.13,add bag spinach gives
253.56,259.5,leafy green pop lid
256.13,262.95,spinach wilt start
259.5,268.97,preparing rice bowl
262.95,268.97,serve people pull baby
270.3,275.5,finally garnish
272.77,276.64,coriander saved earlier
275.5,278.74,colors come
276.64,284.02,tumeric rice
278.74,287.17,coverage spices
284.02,292.06,worked butternut
287.17,294.97,roasted perfection
292.06,296.2,sweet savory
294.97,298.45,comments what's best cory
296.2,301.15,watching
298.45,303.67,subscribe food tube check
301.15,305.11,vegan recipes
303.67,306.86,cocktails remember check
305.11,309.16,jamie's drinks tube channel
306.86,313.5,subscribe
309.16,313.5,eating go make
