start,end,text
5.93,12.42,hi demonstrating
8.58,17.88,make gap borax large
12.42,24.44,mixing bowl honors blue food coloring
17.88,29.27,spoon measuring cup cup
24.44,31.73,forward water plastic bag
39.94,48.41,step 1
43.79,51.37,unpinned go ille into
48.41,51.37,large mixing bowl
97.17,107.11,thing getting
102.43,114.57,funnel putting filling
107.11,114.57,filling warm water clue
135.69,140.54,die
147.84,161.31,cap putting
152.5,167.34,cap mixing shake shake
161.31,172.89,shake shake good
167.34,185.57,open
172.89,185.57,pour water
189.51,203.62,step 2 mixing hole
197.73,211.48,red food coloring
203.62,215.32,mixing lot
211.48,217.71,mix limits mixes
215.32,217.71,boy
234.56,246.15,mix lot
243.54,246.15,good
251.34,261.58,step step step 3
256.07,268.91,pouring half cup
261.58,271.75,cup
268.91,277.97,putting
271.75,280.37,teaspoon borax mix
277.97,283.3,dissolve worry
280.37,283.3,dissolves
291.69,299.19,step 4 mixing
296.11,305.47,missing
299.19,315.61,slowly pour mixture katie
305.47,321.03,bohl jack getting
315.61,328.5,jackie getting gases
321.03,339.47,time mix mix whoa
328.5,339.47,strange feeling sticky
351.25,367.01,gooey
359.3,371.06,gooey little
367.01,376.13,get point mix
371.06,382.96,fun hot
376.13,382.96,fun come watson
383.23,387.22,booger
392.38,400.56,follow steps
396.03,403.47,gaps bye
400.56,407.21,dad
403.47,407.21,whoa
