start,end,text
34.14,37.08,hi yarnell school
37.09,39.29,hi yarnell school fine art glad join
39.3,40.83,fine art glad join tell
40.84,42.21,tell having fun haven't
42.22,44.79,having fun haven't weeks working basic concepts
44.8,46.5,weeks working basic concepts getting studio set
46.51,47.88,getting studio set getting painting beginning
47.89,49.86,getting painting beginning end learning
49.87,51.84,end learning techniques go
51.85,53.52,techniques go into areas promised we'd get
53.53,55.82,into areas promised we'd get into remember folks shows
55.83,57.32,into remember folks shows designed information
57.33,59.22,designed information possible
59.23,61.53,possible intricacies fine art painting
61.54,63.06,intricacies fine art painting techniques work
63.07,65.63,techniques work color composition
65.64,68.55,color composition things mix colors
68.56,70.56,things mix colors things help improve
70.57,71.96000000000002,things help improve painting remember painting isn't
71.97,73.73,painting remember painting isn't picking brush
73.74,76.26,picking brush splashing little color
76.27,78.63,splashing little color understanding color works
78.64,81.27,understanding color works makes enjoy looking
81.28,83.73,makes enjoy looking balanced properly
83.74,86.07,balanced properly best overall effect painting
86.08,88.1,best overall effect painting thing get
88.11,90.27,thing get started remember promised
90.28,92.7,started remember promised sort tip
92.71,95.13,sort tip week based
95.14,96.63,week based cards letters phone calls
96.64,98.37,cards letters phone calls receive people asking questions
98.38,100.46,receive people asking questions things painting
100.47,101.63,things painting things wanted talk
101.64,104.63,things wanted talk varnishing painting
104.64,106.74,varnishing painting later
106.75,108.3,later painting
108.31,110.63,painting varnished share
110.64,112.29,varnished share kinds varnish
112.3,114.18,kinds varnish available answer
114.19,116.46,available answer questions get yes
116.47,118.71,questions get yes varnish oil painting needs
118.72,121.83,varnish oil painting needs dry approximately
121.84,124.1,dry approximately months depending thick oil
124.11,126.51,months depending thick oil kinds oil use
126.52,128.88,kinds oil use mediums mix
128.89,131.46,mediums mix exact formula
131.47,133.5,exact formula safe months
133.51,135.93,safe months safely varnish oil
135.94,138.8,safely varnish oil painting varnish called damar
138.81,142.02,painting varnish called damar picture varnish make kinds
142.03,143.43,picture varnish make kinds varnishes
143.44,145.44,varnishes particular varnish designed oil
145.45,147.05,particular varnish designed oil painters get spray
147.06,148.77,painters get spray get liquid
148.78,151.07999999999996,get liquid brush popular
151.09,152.91,brush popular effective
152.92000000000004,155.49,effective evenly distributes
155.5,158.13,evenly distributes watery varnish
158.14,159.69,watery varnish pick local art store
159.7,161.1,pick local art store varnish good oil
161.11,163.17000000000004,varnish good oil painting far acrylics go
163.18,165.72,painting far acrylics go varnish acrylic
165.73,167.43,varnish acrylic paintings necessarily
167.44,169.86,paintings necessarily needed
169.87,171.3,needed little shine little
171.31,173.57999999999996,little shine little sheen acrylics
173.59,175.82999999999996,sheen acrylics use good
175.84,178.26,use good acrylic varnish get
178.27,180.21,acrylic varnish get says
180.22,182.07,says acrylic painting varnish
182.08,183.87,acrylic painting varnish spray
183.88,186.3,spray lightly
186.31,188.16,lightly techniques
188.17,191.55,techniques good thing use instance
191.56,193.62,good thing use instance got painting
193.63,195.63,got painting dull using certain colors
195.64,197.19,dull using certain colors rich make
197.2,199.11,rich make little brighter little varnish helps
199.12,200.19,little brighter little varnish helps bring good news
200.2,201.96,bring good news acrylic painting dry
201.97,204.9,acrylic painting dry evenly lights
204.91,206.82,evenly lights shiny spots dull spots dry
206.83,209.82,shiny spots dull spots dry evenly generally varnish
209.83,212.76,evenly generally varnish acrylic paintings
212.77,214.65,acrylic paintings matter choice study
214.66,216.21,matter choice study varnishing things later
216.22,217.98,varnishing things later bringing little
217.99,219.99,bringing little points time time
220.0,221.72,points time time stay abreast what's
221.73,225.39,stay abreast what's get started
225.4,228.21,get started color composition lot
228.22,231.15,color composition lot lecturing folks
231.16,233.13,lecturing folks start painting real soon
233.14,234.6,start painting real soon looking forward
234.61,236.88,looking forward get started
236.89,239.21,get started pallet way
239.22,241.11,pallet way couple things
241.12,243.96,couple things point color composition
243.97,245.61,point color composition mind notice got
245.62,246.87,mind notice got pallet set
246.88,248.16,pallet set looking saying wow
248.17,251.13,looking saying wow messy pallet messy pallet
251.14,253.35,messy pallet messy pallet notice colors laid
253.36,256.14,notice colors laid reason way
256.15,257.69,reason way outer edge pallet
257.7,259.47,outer edge pallet point
259.48,260.46,point share little
260.47,262.08,share little order
262.09,265.29,order normally paint
265.3,267.36,normally paint white white
267.37,269.64,white white gesso remember use gesso
269.65,271.56,gesso remember use gesso acrylic painting
271.57,272.76,acrylic painting little gesso
272.77,274.53,little gesso dip into get
274.54,276.62,dip into get cadmium yellow
276.63,278.9,cadmium yellow cadmium yellow light
278.91,281.55,cadmium yellow light case cadmium orange
281.56,283.5,case cadmium orange cadmium red light
283.51,285.27,cadmium red light true red orangish
285.28,287.7,true red orangish red hookers green
287.71,290.13,red hookers green oil acrylic
290.14,291.72,oil acrylic get sap green similar
291.73,294.72,get sap green similar green burnt sienna burnt
294.73,297.9,green burnt sienna burnt umber ultramarine blue dye oxygen purple
297.91,299.76,umber ultramarine blue dye oxygen purple phthalo yellow green
299.77,300.9,phthalo yellow green
300.91,304.02,use lizard crimson
304.03,307.17,use lizard crimson color crimson
307.18,310.05,color crimson type color beautiful
310.06,312.42,type color beautiful rich sort
312.43,314.73,rich sort definitely crimson color
314.74,316.77,definitely crimson color basic palette
316.78,318.72,basic palette use folks palette used
318.73,321.24,use folks palette used style painting
321.25,322.92,style painting subject paint
322.93,325.44,subject paint portraits figure work
325.45,326.94,portraits figure work landscape fact
326.95,329.37,landscape fact marvelous flesh tone mix
329.38,330.42,marvelous flesh tone mix little
330.43,332.82,little blow mind simple alright
332.83,334.44,blow mind simple alright question normally get
334.45,336.27,question normally get people inquiring painting
336.28,338.76,people inquiring painting mix create certain colors
338.77,339.9,mix create certain colors notice got
339.91,342.24,notice got light cadmium colors
342.25,345.54,light cadmium colors corner
345.55,348.27,corner green sandwiched
348.28,350.46,green sandwiched red reddish brown
350.47,353.07,red reddish brown reason folks
353.08,354.93,reason folks green red complements
354.94,358.02,green red complements putting green
358.03,360.3,putting green corner time use green
360.31,362.34,corner time use green mix little
