start,end,text
0.0,5.4,problem samsung
1.97,7.82,galaxy 15 term 81 90
5.4,10.17,make series videos
7.82,12.98,possible
10.17,16.17,install download install
12.98,17.31,messenger comes android
16.17,18.72,procedure
17.31,20.78,quickly possible
18.72,22.35,install phone started
20.78,24.86,configuration applications
22.35,26.49,quickly play store forget
24.86,28.8,aware
26.49,30.81,videos new ones make
28.8,32.94,application huaycos tricks
30.81,35.73,clicking subscribe
32.94,37.11,born aware videos
35.73,38.96,leave comments questions
37.11,39.6,suggestions play
38.96,42.18,store
39.6,47.04,rent search wrote
42.18,49.02,easily bermejillo bbm
47.04,51.14,come
54.35,58.89,berlin
56.91,61.58,option appears
58.89,63.8,arrive simple
61.58,66.45,immediately
63.8,68.97,official option
66.45,70.97,appears 15 blackberry jim
68.97,73.77,tyler says application free
70.97,75.27,start
73.77,77.58,downloads
75.27,79.32,moment goes download
77.58,82.84,application weigh start
79.32,85.84,12 megabytes install
82.84,87.18,time
85.84,89.97,installation procedure
87.18,92.61,ask mail
89.97,94.99,electronic goal
92.61,97.24,verified delayed indicate
94.99,99.54,install application
97.24,103.02,application carries large
99.54,105.57,demand downloads installations
103.02,109.4,application downloading
105.57,109.4,computer cell phone
110.76,115.68,installing means
113.67,118.19,samsung galaxy s problem
115.68,118.19,application
122.56,125.72,annual april
135.89,141.35,screenshot note
138.02,143.18,options start start sessions
141.35,145.4,create
143.18,147.91,blackberry account
145.4,147.91,option
149.04,153.59,says dismissal email
150.87,158.8,previous sent
153.59,161.42000000000004,email channel
158.8,167.23,film
161.42000000000004,167.23,configure
168.52,174.8,perdomo configure
172.51,177.4,rolling
174.8,180.51,writes
177.4,182.87,puntocom asks create
180.51,182.87,password
183.59,187.55,cons point
185.23,191.44,password create
187.55,191.44,simple change
197.36,202.09,normally create password
199.52,202.09,temporary
203.3,210.28,change
206.45,210.28,secret question recovery
228.02,232.01,professional
229.88,234.46,set
232.01,237.79,surname
234.46,241.39,place
237.79,244.59,country colombia
241.39,244.59,state colombia
250.99,256.91,finished play date
253.85,259.85,date birth wires time
256.91,262.94,date similar
259.85,265.79,seventy man 37
262.94,268.24,client friend ideal
275.05,282.64,acceptable conditions
279.04,284.48,accept roads seriously seen
282.64,286.6,creates
286.6,290.88,coincided
288.31,290.88,passwords
292.82,296.71,enter password
309.11,317.22,apparently coincide
313.0,317.22,slowly create account
320.99,327.21,blackberry
324.81,328.92,times set
327.21,331.92,pin touch
331.92,338.13,photo identify upload
335.28,341.19,image looking
341.19,343.91,example
345.0,348.14,configure
348.28,353.81,guard
350.8,353.81,continue
353.92,359.98,asks add friends
357.25,362.47,feet make invitation
359.98,366.19,message mail
362.47,369.42,text invite peru
366.19,369.42,continue blackberry messenger
370.3,374.86,gives little tutorial
372.37,378.61,what's save
374.86,379.93,easily install
378.61,382.72,blackberry messenger
379.93,384.31,jamie samsung galaxy s3
382.72,386.53,watching invited
384.31,390.94,formally subscribe channel
386.53,393.4,add
390.94,395.16,questions tell messages
393.4,399.09,blackberry messenger
395.16,401.52,suddenly
399.09,406.92,pin
401.52,409.11,pin
406.92,412.49,barcode
409.11,412.49,case add
