start,end,text
0.0,13.2,gluten free
12.15,15.21,turn
13.2,18.9,leftover brie cheese board
15.21,20.52,into quick delicious lunch
18.9,22.71,additions stick sandwich
20.52,24.59,best grilled cheese
24.59,31.01,brie melts incredibly
28.01,32.91,flavors mild taste
31.01,35.43,solve adding stuff
32.91,37.73,compliment build
35.43,39.87,sandwich slices
37.73,42.62,gluten free bread
39.87,44.85,spreading softened butter use
42.62,47.91,canyon bakehouse mountain white
44.85,50.78,butter coverage
47.91,53.03,flip
50.78,55.59,got
53.03,57.87,apricot pepper pine nut chutney
55.59,61.14,left cheese
57.87,63.89,board
61.14,66.54,pieces thinly sliced pink lady
63.89,69.84,apples sweet crispy
66.54,73.71000000000002,tart layer brie
69.84,75.99,yes rind edible make
73.71000000000002,77.67,got pretty good coverage cuz
75.99,80.58,likes bold spots
77.67,83.0,sandwich close
80.58,86.25,ready grill guy
83.0,88.61,use dry cast iron skillet grill
86.25,90.9,sandwich low slow
88.61,93.32,cheese plenty time melt
90.9,96.42,bread begins burn
93.32,97.83,golden brown crispy
96.42,100.5,flip
97.83,102.92,second site site
100.5,106.23,golden cheese nicely melted
102.92,109.44,remove pan slice half
106.23,112.38,upscale grilled cheese ready
109.44,114.96,lunch eating
112.38,117.24,daughter came creation
114.96,117.93,dublin cheddar red pepper
117.24,119.94,hummus
117.93,122.37,time got cheese
119.94,124.86,board leftovers
122.37,127.47,combinations come
124.86,131.37,grill you'd
127.47,132.6,print copy today's recipe
131.37,135.03,print
132.6,137.64,copy recipe
135.03,140.7,ideas visit blog
137.64,145.2,link brand new recipes
140.7,148.22,week forget subscribe
145.2,148.22,soon
