start,end,text
7.63,12.15,wasn't planning
10.23,14.09,filming make
12.15,15.69,figured i'd film
14.09,18.11,time lapse
15.69,20.03,process
18.11,22.26,get
20.03,25.31,crown dollar tree
22.26,25.31,get started
258.12,263.95,wanted talk
260.38,265.41,couple things
263.95,267.82,complete talk
265.41,269.91,basically showed
267.82,272.16,biggest
269.91,274.57,shells base
272.16,276.55,random shapes stuff
274.57,278.47,go make
276.55,280.54,pretty sturdy base
278.47,282.87,set
280.54,286.06,leave natural shell
282.87,287.91,paint underneath
286.06,289.87,case colors come
287.91,291.28,leave
289.87,293.65,leave
291.28,295.36,go ahead paint use
293.65,297.97,nail polish method used
295.36,298.39,crown
298.39,302.29,umm basically
300.7,305.47,told
302.29,309.61,nail polish
305.47,313.03,sponge method mixture mosh
309.61,314.74,podge super strong sealant
313.03,317.95,glue get craft store
314.74,320.77,glitter dry clear
317.95,322.0,mixed lot craft silver craft
320.77,324.04,glitter
322.0,326.05,gray apply coat
327.88,332.83,layer mosh posh
329.89,334.36,mosh mosh dry
332.83,336.19,coat
334.36,339.1,liking
336.19,341.56,iridescent glitter glow
339.1,343.72,thing got
341.56,346.36,layer
343.72,348.22,dried
346.36,350.44,sunlight
348.22,353.77,tomorrow dried overnight
350.44,357.03,mosh mosh completely dried
353.77,360.34,shiny glittery
357.03,362.32,especially light
360.34,363.82,complete crown
362.32,366.43,glue gun used high temperature
363.82,368.2,glue gun decide use
366.43,370.15,careful
368.2,370.7,burn finger times
370.7,373.64,think use high temperature
371.93,376.25,gluing
373.64,377.75,shells heavy
376.25,380.66,lean
377.75,383.18,fix into hair
380.66,387.08,bunch bobby pins stuff
383.18,389.66,use strong glue
387.08,391.34,shells stay using
389.66,393.53,mashiach glitter instead
391.34,396.14,glitter nail polish chip away
393.53,398.45,go glitter
396.14,400.4,stay rub
398.45,402.47,glitter fingers
400.4,404.45,hair liked
402.47,407.62,definitely thumbs
404.45,407.62,think
