start,end,text
0.03,3.61,tmg
3.62,5.63,tmg showing 5 cool things
5.64,8.41,showing 5 cool things friend's laptop pc
8.42,10.7,friend's laptop pc act mocking into
10.71,13.45,act mocking into friends computer system doing open
13.46,15.74,friends computer system doing open notepad copy paste text shown
15.75,19.39,notepad copy paste text shown description
19.4,21.93,forget save
21.94,28.9,forget save dot dat
28.91,36.47,professional hacker
36.48,39.47,surprise pc user computer
39.48,42.15,surprise pc user computer starts open
42.16,43.77,starts open control panel go system
43.78,49.29,control panel go system security go schedule task
49.3,51.85,create task
51.86,54.55,create task move step
54.56,56.53,move step create new trigger drop
56.54,58.45,create new trigger drop menu choose schedule
58.46,61.3,menu choose schedule choose startup schedule giving
61.31,63.31,choose startup schedule giving option choose time
63.32,65.22,option choose time start basically computer
65.23,71.23,start basically computer turns shut move
71.24,73.48,turns shut move actions starter
73.49,75.46000000000002,actions starter program choose clip
75.47,78.49,program choose clip choice press get ready
78.5,89.99,choice press get ready surprise
90.0,93.44,hello mother
93.45,96.06,fool friends thinking
96.07,98.52,fool friends thinking famous simply
98.53,100.05,famous simply go
100.06,102.21,go channel use
102.22,104.99,channel use using example
105.0,108.51,using example select title click
108.52,113.78,select title click go inspect element
113.79,116.88,opened make
116.89,118.49,opened make double click symbols
118.5,120.96,double click symbols title changed clicking
120.97,125.74,title changed clicking symbol
125.75,128.35,thing channel
128.36,147.65,thing channel subscribers views
147.66,148.61,subscribers views famous
148.62,150.53,famous catch
150.54,152.21,catch cosplay sell smile camera girls
152.22,153.77,cosplay sell smile camera girls late half
153.78,156.47,late half channel aka go blue make
156.48,158.39,channel aka go blue make blue bar big truck cheesy
158.4,174.35,blue bar big truck cheesy balls shut computer giving
174.36,176.87,balls shut computer giving funny reason got open
176.88,180.26,funny reason got open command prompt type
180.27,186.96,command prompt type following screen
186.97,191.67,typing 180 type
191.68,193.86,typing 180 type reason shutdown start
193.87,196.29,reason shutdown start speech mark end
196.3,204.01,speech mark end speech mark
204.02,214.85,finishing press enter
214.86,217.83,cancel shutdown
217.84,229.58,cancel shutdown type shutdown scare user
229.59,234.27,type shutdown scare user changing clicking sound open
234.28,236.3,changing clicking sound open control panel go hardware
236.31,243.6,control panel go hardware sound click sound sound scroll
243.61,246.36,sound click sound sound scroll till open program click
246.37,249.56,till open program click browse audio clip
249.57,252.9,browse audio clip click apply press time
252.91,254.72,click apply press time click program hear
254.73,262.92,click program hear annoying sound ah alright
262.93,264.6,annoying sound ah alright end
264.61,266.21,end subscribe videos
