start,end,text
1.94,6.64,hi rob decker
4.84,9.64,little demonstration real
6.64,11.23,quick
9.64,14.05,spill carpet
11.23,16.48,fibers
14.05,18.46,day worried
16.48,21.75,happens
18.46,24.55,spilled
21.75,27.24,morning's coffee
24.55,32.5,cup
27.24,34.14,pour
32.5,36.12,soak
34.14,38.37,minutes
36.12,40.44,spilled
38.37,41.98,time clock
40.44,43.17,thinking gosh got
41.98,45.3,things
43.17,48.39,get white cotton
45.3,51.12,towel reason cotton
48.39,53.03,absorbent fabric
51.12,55.8,floor typically
53.03,57.12,unless wall wall wool carpet
55.8,60.12,talking synthetic
57.12,63.55,carpet absorbent
60.12,64.93,cotton
63.55,66.88,spilled go get
64.93,69.43,absorbing quickly paper towel
66.88,71.71000000000002,work steal paper
69.43,74.65,towels
71.71000000000002,77.14,begin blot get
74.65,79.96000000000002,immediately
77.14,82.36,getting
79.96000000000002,84.01,quite
82.36,88.03,little pressure
84.01,91.72,seconds getting
88.03,93.61,get
91.72,96.76,remember dealing
93.61,99.52,cup fluid
99.52,103.93,got surface
101.74,107.35,isn't bad able
103.93,109.39,pull rag quite
107.35,112.21,demonstration
109.39,115.3,backing
112.21,118.33,creates heck
115.3,120.34,lot area stained
118.33,122.77,important doing
120.34,126.01,spotting effort reason
122.77,128.17,apply product
126.01,131.41,spotting product directly
128.17,133.76,carpet
131.41,136.15,get product
133.76,140.0,way into backing
136.15,142.18,encourages staining
140.0,144.5,coming
142.18,146.51,carpet drying cycle
144.5,148.45,getting dry important
148.45,154.76,pretty good spot cushion
154.76,160.06,affect fiber backing
158.39,162.31,affects cushion
160.06,163.7,large spills
162.31,166.54,didn't go way
163.7,168.98,towel spill
166.54,171.65,go into subfloor
168.98,173.48,wood subfloor
171.65,177.59,concerned materials
173.48,180.34,soaking into subfloor causing
177.59,185.03,trouble
180.34,189.22,demonstration piece
185.03,191.84,trade doing
189.22,194.18,poured products
191.84,196.84,couple red products
194.18,202.51,coffee wine
196.84,205.25,cranberry juice
202.51,207.5,grenadine
205.25,210.44,stains
207.5,213.5,backing
210.44,215.95,front bad
213.5,217.37,small spots
215.95,219.94,terribly concerned
217.37,222.59,object
219.94,227.62,carpet
222.59,230.84,takes lot material
227.62,233.26,immediately yo soak
230.84,235.28,backing
233.26,240.01,polypropylene backing type
235.28,243.16,plastic speaking
240.01,245.81,urine introduced into
243.16,248.87,carpeting concerns
245.81,250.9,small spot
248.87,253.19,carpet think
250.9,254.93,little wasn't big
253.19,257.23,deal
254.93,262.25,went way
257.23,263.02,little
263.02,268.38,learn doing urine treatments
