start,end,text
12.47,17.33,till seen lot cakes cupcakes
17.53,19.75,make choco lave cake
23.84,25.99,make batter lava cake
26.19,29.11,taken 6 tbsp maida purpose flour
29.31,32.39,6 tbsp powdered sugar
32.59,34.43,3 tsp cocoa powder
35.56,37.21,1 2 tsp baking powder
37.41,39.16,mix
41.73,45.01,mixed add melted butter
45.21,47.68,taken 3 tbsp
47.88,49.03,mix
49.65,51.13,add milk
51.33,54.2,8 10 tbsp milk
54.84,58.14,differ little consistency
58.34,60.9,add milk slowly
61.1,62.17,make batter
71.47,73.87,consistency batter
74.07,75.66,batter ready
75.86,80.42,klava cake use silicone mould
80.62,82.86,easier mould lava cake
83.06,87.55,twist make lava cake microwave
87.75,90.57,get ready 30 seconds
90.77,93.79,fill batter mould
93.99,98.16,fill half little half
102.56,106.54,taken dark chocolate cut into square
106.74,110.2,place square middle
110.4,113.32,fill batter
114.18,116.21,fully fill mould
116.41,120.78,cover chocolate piece completely
121.66,123.38,1 mould ready
123.58,127.45,similarly ready 4 moulds
127.65,130.89,microwave microwave 30 seconds
137.38,143.3,remember thing making lava cake microwave time
143.5,144.89,1 cake
145.09,148.52,soft soft nicely puffed
148.72,150.63,mould immediately
150.82999999999996,154.61,get lava effect mould immediately
154.81,156.32999999999996,mould
158.02,161.56,check lava
192.17,195.26,saw make choco lava cake
195.46,198.72,make home
