start,end,text
0.17,7.79,simple
2.93,10.92,rib stitch brioche stitch
7.79,13.71,simple prepare cost
10.92,18.27,number stitches dividable
13.71,21.3,wrong row work
18.27,27.33,rib stitch knit purl
21.3,31.8,pattern starts
27.33,34.26,simple worked brioche
31.8,39.98,familiar edge stitch
34.26,43.07,sleep purl wise
39.98,47.23,yarn needle important
43.07,52.68,slip purl wise young needle
47.23,55.11,knit slip pearl white slip
52.68,58.46,purl wise young
55.11,61.92,needle knit alternating
58.46,66.45,slip purl wise yarn
61.92,69.86,needle needle knit slip purl
66.45,69.86,wise
76.35,86.95,edge stitch end
83.5,89.97,second row pattern
86.95,94.17,knit double stitch formed
89.97,94.17,stitch young
95.36,103.66,knit second slip pearl
100.03,107.95,wise knit double
103.66,110.68,stitches slip parallel wire slip
107.95,114.75,parallel wires double stitch
110.68,117.58,knit double stitch slip purl wise
114.75,123.34,sleeping yarn
117.58,128.05,needle slip
123.34,131.26,slip
128.05,143.25,rows pattern results
131.26,147.94,soft rib stitch stretchy
143.25,150.7,fine border fourth socks
147.94,153.45,example
150.7,156.25,tension normal rib stitch
153.45,158.88,use brioche stitch instead
156.25,158.88,enjoy
