start,end,text
2.73,6.35,basics
4.95,8.84,go things person
6.35,10.67,offer tutoring classes
8.84,12.17,work go
10.67,13.86,boards bring
12.17,16.02,go board's
13.86,17.46,daily queue asking
16.02,19.23,questions think wrong
17.46,20.76,fixing
19.23,22.1,breaking
20.76,23.27,giving having
22.1,25.32,work student
23.27,27.72,workstation
25.32,31.01,basic issue
27.72,33.42,bra blown light fuse bad
31.01,36.77,lcd connector motherboard
33.42,36.77,resulting backlight
39.57,42.78,doing
41.16,43.98,basic light board
42.78,45.66,answering question
43.98,47.82,asked use fuse
45.66,49.32,motherboard
47.82,51.21,motherboard trying fix
49.32,53.91,answer absolutely
51.21,56.69,ideally ideal world
53.91,59.3,use brand new fuse reusing fuse
59.3,62.82,difference
60.26,64.58,buying used jacket buying used
62.82,66.84,underwear makes sense
64.58,68.0,work
66.84,70.71000000000002,board blown
68.0,73.68,live fuse word lcd connector
70.71000000000002,75.39,little destroyed lcd
73.68,76.77,connector reused
75.39,78.03,wouldn't
76.77,86.75,come
78.03,86.75,day fired
87.78,92.37,go into microscope
89.82,94.35,get started
92.37,96.69,go into microscope
94.35,97.97,pins lcd
96.69,99.96,connected good
97.97,101.31,rest pins
99.96,102.84,burned tried remove
101.31,104.97,oxidation best
102.84,108.51,remove connector
104.97,110.85,pins 21 pin 22
108.51,113.04,kick air filter
110.85,115.71,exactly super complex repair
113.04,117.69,think crazy lot
115.71,120.18,brainpower use replacing
117.69,122.19,connectors fuses brainless
120.18,124.61,job get boring
122.19,126.71,quickly things
124.61,130.29,think jobs
126.71,132.57,fond hell
130.29,134.13,money money
132.57,136.23,use jbc connector
134.13,137.34,come
136.23,138.51,experience shitty hot air
137.34,139.98,station make
138.51,146.09,jealous hot air
139.98,146.09,turn thing
147.23,151.31,happens
158.48,164.85,literally mean
162.2,166.38,takes effort remove lcd
164.85,171.6,connector fucking
166.38,175.53,monster monster
171.6,177.02,new
175.53,179.76,new clean
177.02,182.16,base little listen
179.76,186.02,hakko song mark schaefer describes
182.16,188.52,play hakko song
186.02,190.02,jackass engineer hack
188.52,191.37,decided miss thing
190.02,194.01,plugged
191.37,195.75,beep incessantly
194.01,197.88,truly understand
195.75,199.41,get making beep
197.88,200.97,hook hook
199.41,202.73,long way sensing
200.97,205.11,operator
202.73,206.85,present iron
205.11,208.26,hook hot get
206.85,210.75,understand wanting burn people
208.26,212.4,fuck make deep
210.75,214.65,nonstop incessantly
212.4,216.0,plugged
214.65,217.53,thing started thinking
216.0,219.9,things marketed
217.53,222.03,slave shops
219.9,223.35,think
222.03,224.73,set little card
223.35,227.61,they've little card
224.73,230.57,interface fx 951 idea
227.61,232.94,card interface fx 951
230.57,235.56,user
