start,end,text
4.77,8.96,hi m heather dehoyos m expert village make homecoming
8.96,14.42,mum get buy things
14.42,20.23,usually michaels bunch stuff
20.23,26.25,called military braid come s easier buy
26.25,32.34,make difficult make usually make
32.34,36.82,mess throw away t fix usually buy
36.82,38.09,cross accessories sticking
38.09,49.55,make s stuffed animal
49.55,53.72,little hat glue gun
53.72,59.97,tips middle make use little glue
59.97,62.18,don t showing little monkey m
62.18,70.14,stick middle s glittery
70.14,76.69,cute place glue
