start,end,text
4.0,7.13,hi article sleep
7.14,10.4,hi article sleep passion cakes brighton uk i'd
10.41,12.7,passion cakes brighton uk i'd tutorial
12.71,15.41,tutorial simple effective effective
15.42,17.42,simple effective effective cakes
17.43,20.96,cakes
20.97,23.45,quite old piece
23.46,26.72,quite old piece crystals under water corals
26.73,29.87,crystals under water corals colours
29.88,33.13,colours make
33.14,36.52,make make corals
36.53,42.11,make corals bowl ice hot isomalt
42.12,44.63,bowl ice hot isomalt cooked
44.64,46.97,cooked reheated microwave watch
46.98,50.0,reheated microwave watch videos
50.01,52.52,videos cook properly wanted
52.53,55.63,cook properly wanted simple pour make
55.64,58.06,simple pour make hot
58.07,59.9,hot piping runny
59.91,62.15,piping runny getting little thicker
62.16,65.53,getting little thicker pop ice
65.54,69.44,pop ice gently little bubbles
69.45,76.64,gently little bubbles quite quite hot
76.65,81.89,quite quite hot wait moments little
81.9,85.28,wait moments little wait settle
85.28999999999998,88.37,wait settle settle pour
88.38,97.71,settle pour time little
97.72,103.19,wait minute
103.2,104.71,wait minute looking getting
104.72,107.56,looking getting little thicker fickle
107.57,110.21,little thicker fickle hurry
110.22,112.55,hurry nice mould
112.56,113.03,nice mould
113.04,116.51,hurry
116.52,118.85,hurry eyes little
118.86,126.8,eyes little thick pouring slowly
126.81,130.13,honestly
130.14,131.33,honestly long
131.34,133.97,long impatient half time
133.98,137.03,impatient half time
137.04,139.57999999999998,start moving bend
139.59,142.91,start moving bend moving quite ideal
142.92000000000004,143.8,moving quite ideal leave
143.81,146.26,leave them's little longer
146.27,150.82999999999996,them's little longer leave leave
150.84,153.19,leave leave come couple
153.2,155.05,come couple minutes
155.06,161.14,minutes
161.15,166.63,quite set
166.64,170.84,remove ice eyes get
170.85,176.44,remove ice eyes get stuck time pop
176.45,178.99,stuck time pop parchment paper oops
179.0,184.3,parchment paper oops
184.31,184.88,wait
184.89,187.85,wait example trapped
187.86,190.55,example trapped wait melts come
190.56,193.78,wait melts come think
193.79,195.25,think force cuz break
195.26,197.84,force cuz break pieces pop
197.85,201.31,pieces pop parchment paper
201.32,205.72,parchment paper dry day make
205.73,207.35,dry day make moisture honestly
207.36,209.15,moisture honestly ice got
209.16,212.63,ice got stripper day
212.64,214.46,stripper day practically got cake
214.47,217.31,practically got cake needs go
217.32,219.68,needs go half hour needs go
219.69,222.68,half hour needs go beautiful berry
222.69,225.38,beautiful berry colors gorgeous
225.39,230.59,colors gorgeous simple wonder
230.6,232.67,simple wonder piece international cake
232.68,234.74,piece international cake competition corals
234.75,237.62,competition corals dry
237.63,241.61,dry attach cake enjoyed
241.62,244.46,attach cake enjoyed tutorial you'd
244.47,246.19,tutorial you'd come join classes
246.2,249.11,come join classes deserve
249.12,250.75,deserve
