start,end,text
0.26,4.6,hello class watching
2.76,7.41,chosen choose
4.6,9.3,translation square
7.41,11.25,tessellation project geogebra
9.3,14.4,file thing
11.25,16.23,open blank geometry
14.4,18.38,file geogebra geometry file
16.23,22.08,blank white page
18.38,23.46,significant
22.08,24.84,coordinate plane dealing
23.46,26.03,algebra dealing
24.84,33.36,blank white plane dealing
26.03,35.1,open spatial square
33.36,37.5,start regular polygon
35.1,40.64,tool click point click
37.5,42.27,point vertices length truly
40.64,46.46,matter zoom
42.27,51.8,zoom needed vertices
46.46,54.0,square translation
51.8,56.91,start doing
54.0,60.12,sides
56.91,63.44,statues left select
60.12,66.84,segment tool
63.44,69.18,create deformation square
66.84,72.06,means
69.18,73.47,apart create master
72.06,75.77,tile go ahead start
73.47,78.11,point segment tool
75.77,79.92,create design
78.11,82.77,understanding create
79.92,87.93,unique design
82.77,90.29,copy
87.93,93.0,use creativity
90.29,95.34,create unique
93.0,100.04,things
95.34,102.86,go use semi circle
100.04,107.88,tool use tools
102.86,109.71,create circular curves
107.88,113.57,choose
109.71,116.0,conservatively
113.57,117.93,curves headache
116.0,119.96,comes master
117.93,123.14,tells point
119.96,126.39,point get curve
123.14,129.92,make
126.39,131.31,use curve nut segments
129.92,133.9,hide segment
131.31,136.69,hide click
133.9,138.06,check object box
136.69,141.61,that'll uncheck hide
138.06,145.59,afraid quick lesson working
141.61,147.76,geogebra
145.59,152.26,wanting use tool make
147.76,154.84,move cursor tool selected
152.26,155.64,things go haywire
154.84,157.98,headache
155.64,160.9,believe experience
157.98,162.94,thing
160.9,165.12,zoom
162.94,168.22,lengths ultimately
165.12,171.31,matter zoom
168.22,173.7,ultimately
171.31,176.98,design get
173.7,178.95,entire design
176.98,182.1,lay cutting
178.95,184.69,design moving
182.1,187.23,what's length
184.69,189.79,move move
187.23,194.53,entire length
189.79,198.13,direction
194.53,201.54,use vector tool select point
198.13,205.32,go direction
201.54,209.76,ensure entire design moves
205.32,212.26,length land
209.76,214.32,flush mark using
212.26,216.43,translation vector tool
214.32,221.76,select piece piece select
216.43,225.4,segment translate
221.76,228.35,segment translate repeat
225.4,232.44,process till got entire design
236.65,248.24,pretty simple go
243.68,251.84,ahead create design
248.24,253.73,edge move upward
253.73,257.45,curves go strictly
254.93,260.03,line segments
257.45,262.97,start point
260.03,265.85,important overlap
262.97,268.1,stuff overlap remember
265.85,270.35,tessellation gaps overlaps
268.1,277.13,overlap initial cutout
270.35,278.33,creating
277.13,282.44,design
278.33,286.49,cut
282.44,288.61,steep angle ensure
286.49,292.46,run into cutout
288.61,293.87,move upward length
292.46,296.21,go ahead
293.87,302.15,select vector tool
296.21,309.01,point point
302.15,309.01,go ahead translate segment
310.48,314.24,happened
313.01,316.94,reason took move tool
314.24,319.49,happen panic
316.94,324.47,translate recognize happens
319.49,327.04,move translating
324.47,327.04,go
334.8400000000001,339.62,alright go ahead zoom
338.0,341.48,move polygon got
339.62,346.6,design set segments
341.48,346.6,move they'll stretch
346.72,355.31,ultimately
353.24,356.54,create master towel
356.54,361.01,quickly meant move
358.43,363.68,square started
361.01,365.48,start happens
363.68,367.55,segments move
365.48,370.85,they'd stretch shrink
367.55,374.03,moved go ahead
370.85,375.91,undo create
374.03,380.96,rigid figure go ahead
375.91,383.12,zoom
380.96,386.57,move get
383.12,392.12,select move graphics
386.57,399.44,slide screen
392.12,401.47,create polygon
399.44,405.32,start start point
401.47,409.34,point got go
405.32,411.16,order direction way
409.34,412.25,finish point
411.16,415.22,start start
412.25,416.72,car select point
415.22,419.03,conservative
416.72,421.4,number curves
419.03,423.08,way encompass
421.4,426.47,entire curve
423.08,431.57,go point point make
426.47,433.64,curved end
431.57,436.47,truly curved create
433.64,436.47,appearance curve
442.84,448.15,go horn
454.31,466.8,order curve
460.97,471.02,time make distance
466.8,474.3,small possible
471.02,483.21,able tell quite curved
474.3,485.44,best
483.21,489.16,start polygon shape
485.44,492.56,point needs point
489.16,494.84,lets computer
492.56,496.91,closed figure got lot
494.84,498.99,tidy
496.91,503.55,final product needs
498.99,505.97,come
503.55,508.5,bar menu go
505.97,509.66,open algebra menu
508.5,512.09,get stuff
509.66,514.07,helpful hiding
512.09,517.11,stuff example click circle
514.07,519.36,hide semi
517.11,521.15,circles earlier
519.36,522.75,curve initially
521.15,524.94,gone polygon tool
522.75,527.31,initial curve set
524.94,531.12,hidden go ahead
527.31,533.39,click minus sign hide
531.12,537.42,rest actual information
533.39,540.14,here's best
537.42,543.12,click point selected
540.14,547.52,points holding ctrl button
543.12,551.61,select deselect
547.52,553.41,b time
551.61,560.48,reason deselecting
553.41,562.98,points go scroll
560.48,568.23,hide
562.98,569.92,click
568.23,573.57,hit points
569.92,580.8,point hide
573.57,592.29,hide go
580.8,594.45,dang here's
592.29,598.14,interesting thing jumbled order
594.45,601.68,go order
598.14,603.54,object type allow
601.68,605.75,makes process lot
603.54,614.82,easier select points
605.75,617.76,deselect deselect b click
614.82,619.8,uncheck guess leave
617.76,622.48,points close point menu
619.8,625.41,polygon
622.48,629.79,hide got rid
625.41,631.89,initial square polygon
629.79,635.19,tool vectors
631.89,640.56,segments
635.19,642.79,hide select click hide
640.56,645.0,initially
642.79,648.24,disappears
645.0,649.66,master tile points
648.24,652.86,place
649.66,655.26,said
652.86,658.98,vectors
655.26,664.86,go ahead dots
658.98,667.05,close heck second
664.86,671.13,get point
667.05,675.66,lesson finicky
671.13,679.11,geogebra make
675.66,681.33,hide points
679.11,682.98,segments
681.33,684.12,segments
682.98,686.1,make
684.12,688.89,neat points
686.1,691.11,away
688.89,696.18,begin translating zoom
691.11,699.51,good
696.18,702.33,entire polygon
699.51,707.06,select translate
702.33,710.64,select translate vector
707.06,711.93,here's good thing
710.64,713.52,select select
711.93,717.18,got click
713.52,720.08,hold drag mouse select
717.18,723.18,select vector
720.08,730.2,second guess didn't
723.18,733.13,work translates
730.2,737.27,good
733.13,743.22,go ahead zoom
737.27,748.05,dang go ahead hide
743.22,751.53,pool pool point
748.05,753.93,way remember 15
751.53,756.18,good news
756.18,760.47,essentially polygon translate
758.64,762.6,spaces
760.47,765.09,new vector kidding
762.6,767.28,means taken vector point
765.09,770.91,point
767.28,774.39,go
770.91,777.23,translate select make
774.39,780.8,select vector translate
777.23,783.66,select entire thing time
780.8,786.78,translate 16
783.66,787.68,required 15
790.35,802.41,decorate thing
796.11,806.85,tidy select
802.41,813.26,algebra menu acting fair select
806.85,815.61,points deselect
813.26,819.27,stand
815.61,820.86,deal later
819.27,822.45,hide polygons polygons
820.86,826.1,essentially tiling hide
822.45,826.1,polygons hide tessellation
827.57,832.11,segments hidden
829.95,834.44,good vectors
832.11,834.44,hide
835.23,847.62,here's unfortunate
837.72,848.88,little dark points hide
847.62,851.28,go
848.88,853.95,click hide
851.28,857.12,good annoying
853.95,860.46,thing click
857.12,861.72,click hide
860.46,863.91,point
861.72,866.67,point point
863.91,867.99,point hang mouse
866.67,870.63,got
867.99,872.37,times pause
870.63,882.51,quickly clean
872.37,885.51,suggest
882.51,887.61,lesson
885.51,890.79,save point
887.61,893.01,removing points
890.79,895.53,exactly happened thing
893.01,897.57,saw translation vector
895.53,899.34,tools selected accidentally clicked
897.57,901.97,points wanted create
899.34,906.6,vector tried click
901.97,908.1,hid came
906.6,913.86,good
908.1,916.32,thing save happens
913.86,917.91,upload saved
916.32,921.33,start scratch
917.91,922.53,duffy duffy test translations
921.33,931.38,square
922.53,933.09,tessellation click
931.38,934.74,icon google
933.09,936.9,drive symbol save straight
936.9,942.53,save geogebra
938.52,944.76,worry later go ahead save
944.76,950.04,impressive
947.58,955.02,hardly unless drag
950.04,957.39,mouse
955.02,959.34,highlighted portions
957.39,963.63,decoration portion comes go
959.34,965.13,menu edit object properties
963.63,968.37,go ahead move screen
968.37,975.18,go ahead select make
971.24,978.42,move tool select
975.18,980.04,choose color go ahead
978.42,982.17,select red change
980.04,983.63,old pace
982.17,986.24,prominent
983.63,990.02,crank way boom bright
986.24,996.93,red style line
990.02,998.68,thickness thickened lines ooh
996.93,1002.68,line style seen
998.68,1009.52,dude marsh code style line
1002.68,1011.18,filling cool got
1009.52,1013.79,options definitely recommend
1011.18,1016.12,exploring options
1013.79,1018.94,go add polygons
1016.12,1022.79,miniature polygons inside
1018.94,1025.54,mean use imagination use
1022.79,1026.87,creative skills make
1025.54,1030.35,use
1026.87,1033.67,pen tool go ahead go ahead
1030.35,1035.17,select exciting
1033.67,1039.04,needed go ahead
1035.17,1041.63,select got
1039.04,1044.95,get started create
1041.63,1046.85,masterpiece exit
1044.95,1050.51,advice
1046.85,1052.8,save watching
1050.51,1052.8,good luck
