start,end,text
14.63,17.18,hi homebody
17.19,19.25,hi homebody released released
19.26,21.17,released released quickly
21.18,23.57,quickly decorate fireplace
23.58,28.46,decorate fireplace master bedroom here's violin
28.47,30.38,master bedroom here's violin use got body
30.39,33.04,use got body used fireplace year
33.05,34.67,used fireplace year garland issue
34.68,37.22,garland issue lot fall
37.23,39.65,lot fall tad fall
39.66,45.1,tad fall second
45.11,48.7,second catch year using red
48.71,52.36,catch year using red teal think super
52.37,58.72,teal think super super cute yes red teal silver
58.73,61.06,super cute yes red teal silver colors using year
61.07,64.52,colors using year threw red garland
64.53,67.91,threw red garland came michaels
67.92,69.89,came michaels price tag
69.9,72.62,price tag dollars got
72.63,75.59,dollars got 50 leave tag
75.6,78.05,50 leave tag
78.06,82.82,turn
82.83,85.78,turn taking red think
85.78999999999998,87.64,taking red think wariness favorite
87.65,89.78,wariness favorite color didn't leave rent
89.78999999999998,92.48,color didn't leave rent christmas
92.49,94.85,christmas
94.86,97.85,christmas red
97.86,100.7,christmas red start
100.71,103.76,start till throw
103.77,106.71,till throw
106.72,110.78,garland teal garland came
110.79,111.92,garland teal garland came walmart
111.93,116.39,walmart 7 00 went ahead
116.4,119.52,7 00 went ahead inserted tail garlic
119.53,123.71,inserted tail garlic intertwine red berries
123.72,125.55,intertwine red berries tail garland came
125.56,130.88,tail garland came balls pinecones peel
130.89,134.4,balls pinecones peel berries coming fine
134.41,137.9,berries coming fine items
137.91,143.57999999999996,items garbage
143.59,147.75,garbage particular garland 50
147.76,156.3,particular garland 50
156.31,161.25,added pretty
161.26,162.37,added pretty
162.38,166.84,mantel garland
166.85,170.05,mantel garland lights garland lot
170.06,174.25,lights garland lot fallout
174.26,176.11,fallout fallout follow
176.12,177.94,fallout follow floor lot floor
177.95,180.1,floor lot floor vacuum add
180.11,183.01,vacuum add lights add ornament
183.02,186.52,lights add ornament balls
186.53,187.06,balls
187.07,189.97,garland came pretty
189.98,194.56,garland came pretty cute added
194.57,197.23,cute added totally dazzle brooches garland
197.24,200.85,totally dazzle brooches garland favorite lights
200.86,204.88,favorite lights fundamental balls add couple
204.89,206.89,fundamental balls add couple red balls
206.9,208.6,red balls add air
208.61,211.18,add air tour
211.19,213.97,tour totally dad's approaches used
213.98,217.42,totally dad's approaches used loving
217.43,220.91,loving options
220.92,224.83,past didn't
224.84,232.97,past didn't single brooches
232.98,236.63,single brooches thing human
236.64,238.3,thing human cute
238.31,241.06,cute hidden
241.07,244.36,hidden think
244.37,245.93,think came cute go ahead
245.94,247.97,came cute go ahead throw things
247.98,250.33,throw things fireplace
250.34,253.19,fireplace idea
253.2,255.34,idea official
255.35,257.47,official things
257.48,259.31,things hopefully
259.32,266.43,hopefully garland
266.44,271.55,loving
271.56,273.43,loving thought
273.44,277.1,thought use teal red saw pack
277.11,278.96,use teal red saw pack ornaments michaels
278.97,282.23,ornaments michaels pink purple teal red
282.24,286.87,pink purple teal red black silver actual
286.88,290.18,black silver actual box wow cute
290.19,292.4,box wow cute grabbed box ornaments
292.41,295.58,grabbed box ornaments tree master bedroom
295.5900000000001,298.58,tree master bedroom decorated ornaments
298.5900000000001,302.3,decorated ornaments items tree
302.31,305.27,items tree cute grandkids love
305.28,311.06,cute grandkids love love
311.07,313.9,love mantel think liked
313.91,318.11,mantel think liked lights
318.12,320.51,lights little packages purchased
320.52,323.45,little packages purchased remember purchased light
323.46,326.24,remember purchased light
326.25,329.21,lights
329.22,330.77,lights details
330.78,333.65,details tell pretty
333.66,335.69,tell pretty items
335.7,338.81,items garland garland king
338.82,342.92,garland garland king particular candle holder
342.93,346.16,particular candle holder came bala tree purchased
346.17,348.71,came bala tree purchased giving away
348.72,351.2,giving away mean innocent christmas gifts
351.21,355.28,mean innocent christmas gifts particular lantern came
355.29,357.29,particular lantern came dollars
357.3,360.08,dollars purchased little
360.09,362.48,purchased little small ornaments pack
362.49,364.94,small ornaments pack dollars
364.95,367.07,dollars candleholders quite
367.08,369.26,candleholders quite time came home
369.27,371.6,time came home recent purchase
371.61,374.45,recent purchase michaels purchased knew
374.46,376.46,michaels purchased knew using color
376.47,378.83,using color red rain
378.84,381.2,red rain packed away
381.21,382.61,packed away think
382.62,385.25,think ready
385.26,388.6,ready teal reindeer
388.61,392.42,teal reindeer think fireplace
392.43,397.65,think fireplace
407.65,410.34,think came super super cute
410.35,413.99,think came super super cute love
420.07,423.37,stockings
423.38,424.81,stockings stockings came
424.82,428.8,stockings came walmart 598
428.81,430.9,walmart 598 little letters came walmart
430.91,433.45,little letters came walmart 98 cent
433.46,437.11,98 cent f got l lisa
437.12,439.33,f got l lisa couldn't f husband
439.34,441.54,couldn't f husband john got j
441.55,444.4,john got j end
444.41,447.34,end inspired
447.35,450.01,inspired type decoration europe
450.02,451.48,type decoration europe portable fireplace
451.49,454.75,portable fireplace decorate
454.76,457.33,decorate work love
457.34,459.46,work love space
