start,end,text
0.03,2.96,what's
2.97,7.36,what's terrarium tv device
7.37,11.5,terrarium tv device yesterday hours ago terrarium
11.51,15.04,yesterday hours ago terrarium tv shut tell
15.05,18.01,tv shut tell amazing version
18.02,21.41,amazing version terrarium tv fully functional
21.42,25.07,terrarium tv fully functional works feels exactly
25.08,29.17,works feels exactly terrarium tv love
29.18,32.2,terrarium tv love favorite movies come
32.21,36.04,favorite movies come watch
36.05,39.92,watch favorite tv shows
39.93,44.2,favorite tv shows fully working
44.21,46.13,fully working
46.14,50.33,terrarium tv device
50.34,52.16,terrarium tv device sit
52.17,54.22,sit walk
54.23,56.47,walk step step
56.48,59.27,step step favorite
59.28,69.89,favorite application
69.9,72.64,application home screen
72.65,75.74,home screen able locate terrarium tv
75.75,79.46000000000002,able locate terrarium tv application
79.47,82.42,application go ahead applications
82.43,86.12,go ahead applications settings menu
86.13,88.39,settings menu slide way
88.4,91.94,slide way into settings tab
91.95,94.53,into settings tab come go
94.54,97.63,come go applications go ahead click
97.64,100.24,applications go ahead click come
100.25,102.77,come called manage
102.78,105.31,called manage installed applications go ahead
105.32,109.01,installed applications go ahead click come
109.02,111.98,click come terrarium
111.99,115.63,terrarium tv click
115.64,120.05,tv click terrarium tv clear
120.06,123.67,terrarium tv clear cache clear data
123.68,127.73,cache clear data click
127.74,130.21,click uninstall go ahead click
130.22,133.01,uninstall go ahead click uninstall install
133.02,136.52,uninstall install deletes old
136.53,139.61,deletes old terrarium television system
139.62,141.82999999999996,terrarium television system go ahead hit home
141.84,145.49,go ahead hit home button remote
145.5,148.1,button remote scroll
148.11,151.25,scroll into settings section
151.26,153.98,into settings section come looking
153.99,157.51,come looking called tv
157.52,160.61,called tv device stick
160.62,163.12,device stick tv called device
163.13,166.13,tv called device click into
166.14,169.25,click into second thing called developer
169.26,171.65,second thing called developer options looking
171.66,174.59,options looking highlight click
174.6,177.14,highlight click default items turned
177.15,179.72,default items turned turn
179.73,181.97,turn clicking
181.98,185.12,clicking turns go turn apps
185.13,187.97,turns go turn apps unknown sources new screen
187.98,190.22,unknown sources new screen appear
190.23,193.28,appear highlighted word time
193.29,196.01,highlighted word time click
196.02,198.68,click turned
198.69,201.23,turned settings
201.24,203.6,settings device go ahead click
203.61,206.45,device go ahead click home button remote
206.46,209.39,home button remote step involves looking
209.4,212.6,step involves looking application easiest way
212.61,215.96,application easiest way application slide left
215.97,218.93,application slide left time into magnifying
218.94,221.72,time into magnifying glass enter
221.73,224.24,glass enter word downloader go ahead throw
224.25,231.2,word downloader go ahead throw screen
231.21,234.47,screen w
234.48,236.78,w popped list
236.79,239.9,popped list scroll highlight
239.91,242.32,scroll highlight word downloader click
242.33,245.3,word downloader click amazon
245.31,248.51,amazon app store looking bright
248.52,251.57,app store looking bright orange app push
251.58,254.29,orange app push times
254.3,257.18,times located app
257.19,260.15,located app highlighted click
260.16,262.34,highlighted click bring installation page
262.35,265.4,bring installation page says download click
265.41,267.39,says download click notice goes
267.4,269.61,notice goes little process soon
269.62,271.55,little process soon download finished
271.56,274.2,download finished image change
274.21,278.07,image change open click
278.08,281.1,open click downloader app pop order
281.11,283.95,downloader app pop order use downloader make
283.96,287.18,use downloader make allow pop ups
287.19,290.99,allow pop ups click allow
291.0,295.08,click allow disclaimer click
295.0900000000001,298.17,disclaimer click notice
298.18,301.89,notice little orange blinking cursor
301.9,304.58,little orange blinking cursor move remote
304.59,306.95,move remote left notice keeps
306.96,309.6,left notice keeps push left left looking
309.61,312.77,push left left looking into section go
312.78,316.01,into section go click word settings
316.02,319.7,click word settings push time
319.71,321.54,push time remote
321.55,323.61,remote highlighted says
323.62,326.79,highlighted says able javascript click
326.8,329.21,able javascript click slide click
329.22,332.36,slide click yes notice enabled
332.37,335.12,yes notice enabled javascript checkmark
335.13,338.24,javascript checkmark
338.25,339.71,checkmark push left
339.72,342.71,checkmark push left go click home
342.72,344.96,go click home cuz bring
344.97,347.82,cuz bring started
347.83,349.17,started little orange blinking
349.18,351.6,little orange blinking cursor slide
351.61,353.79,cursor slide got click
353.8,355.88,got click center button remote
355.89,358.64,center button remote bring keyboard
358.65,361.27,bring keyboard allow type address
361.28,364.05,allow type address address
364.06,365.99,address enter download
366.0,368.61,enter download amazing application go ahead
368.62,370.61,amazing application go ahead throw address screen
370.62,408.02,throw address screen
408.03,410.7,checked
410.71,412.29,checked make spelling
412.3,414.57,make spelling correct go ahead slide
414.58,416.87,correct go ahead slide highlight word go
416.88,419.87,highlight word go click
419.88,422.18,click download process starts automatically
422.19,424.52,download process starts automatically brings
424.53,426.89,brings install screen come
426.9,428.76,install screen come highlight says
428.77,431.85,highlight says install click
431.86,433.49,install click app finished
433.5,435.11,app finished get little pop
435.12,437.58,get little pop app installed
437.59,440.07,app installed minute disappears
440.08,442.52,minute disappears slide hit
442.53,446.07,slide hit word open allow
446.08,450.14,word open allow open amazing file linked
450.15,454.74,open amazing file linked application
454.75,457.2,application blue
457.21,460.2,blue blinking cursor time go ahead
460.21,462.83,blinking cursor time go ahead click enter
462.84,465.8,click enter digit number go ahead
465.81,467.3,digit number go ahead screen
467.31,474.68,screen number zero
474.69,479.07,number zero entered
479.08,482.1,entered number highlight
482.11,485.15,number highlight word click
485.16,487.29,word click highlighted
487.3,489.48,highlighted
489.49,491.43,highlighted word continue
491.44,494.6,highlighted word continue click center button
494.61,498.7,click center button store
498.71,502.32,store ask subscribe
502.33,505.14,ask subscribe entering store taken
505.15,507.68,entering store taken lot hard work build store
507.69,510.33,lot hard work build store taken work make
510.34,513.0,taken work make updated
513.01,515.85,updated store
515.86,519.0,store installing latest information
519.01,522.35,installing latest information getting best possible
522.36,525.0,getting best possible applications hit
525.01,527.37,applications hit subscribe button
527.38,530.67,subscribe button click subscriber
530.68,532.41,click subscriber click center button
532.42,534.42,click center button remote alright
534.43,535.63,remote alright
535.64,537.67,second notice
537.68,539.8,second notice pop creators
539.81,542.5,pop creators file links asking subscribe
542.51,545.11,file links asking subscribe newsletter
545.12,547.18,newsletter go ahead click subscribe
547.19,550.73,go ahead click subscribe click dismiss
550.74,553.3,click dismiss store
553.31,556.46,store operates quickly
556.47,559.81,operates quickly pick app
559.82,562.1,pick app default highlighted
562.11,564.73,default highlighted vpn click
564.74,566.98,vpn click notice blue bars slide
566.99,569.56,notice blue bars slide screen
569.57,571.36,screen reaches end
571.37,573.85,reaches end pop arrow
573.86,576.79,pop arrow play button go
576.8,578.96,play button go ahead click application
578.97,581.66,ahead click application time install app
581.67,583.81,time install app come
583.82,586.42,come highlight word install click
586.43,590.54,highlight word install click second vpn
590.55,593.78,second vpn application fully installed
593.79,595.57,application fully installed option
595.58,598.42,option click click open make
598.43,600.86,click click open make click word
600.87,603.49,click word clicking takes
603.5,607.75,clicking takes into store
607.76,611.09,into store come vpn
611.1,614.92,come vpn protect get
614.93,620.29,protect get terrarium tv working version patched
620.3,624.79,terrarium tv working version patched mod uploaded minutes ago go
624.8,629.17,mod uploaded minutes ago go ahead click terrarium tv
629.18,631.0,ahead click terrarium tv exact thing
631.01,632.86,exact thing slide screen
632.87,634.73,slide screen reaches end get
634.74,636.86,reaches end get little pop arrow
636.87,639.43,little pop arrow turns into play button go ahead
639.44,642.16,turns into play button go ahead click
642.17,645.28,click come go highlight word
645.29,647.21,come go highlight word install click center button
647.22,650.35,install click center button remote
650.36,655.03,remote terrarium tv device
655.04,656.9,terrarium tv device awesome
656.91,659.21,awesome alright
659.22,662.56,alright seconds finish
662.57,665.48,seconds finish hit button
665.49,667.06,hit button prompted
667.07,669.4,prompted alright app finished installing
669.41,671.76,alright app finished installing click
671.77,676.06,click feel free stroll
676.07,679.32,feel free stroll store check amazing
679.33,683.47,store check amazing applications absolutely free
683.48,686.55,applications absolutely free miss
686.56,688.78,miss favorite movies favorite tv shows
688.79,693.37,favorite movies favorite tv shows favorite live cable tv alright
693.38,694.44,favorite live cable tv alright downloaded
694.45,696.73,downloaded
696.74,698.94,store go ahead click
