start,end,text
0.29,3.08,72 hours
3.09,6.86,72 hours blended seeds 72 hours
6.87,10.58,blended seeds 72 hours plants coming
10.59,14.18,plants coming single
14.19,18.14,single cauliflower tip hybrid
18.15,22.22,cauliflower tip hybrid cauliflower coming
22.23,24.14,cauliflower coming pot
24.15,26.85,pot seat looking pretty good
26.86,30.49,seat looking pretty good true leaves
30.5,33.29,true leaves everybody happy mother's
33.3,37.1,everybody happy mother's day wife little
37.11,38.69,day wife little savanah taking little nap
38.7,41.66,savanah taking little nap garden doing
41.67,67.59,garden doing spring cleanup mess
67.6,70.08,planting
70.09,73.33,planting cauliflower goes dog mr
73.34,74.95,cauliflower goes dog mr man come
74.96000000000002,76.98,man come real quick
76.99,78.81,real quick mirror
78.82,82.44,mirror camera lens little
82.45,84.42,camera lens little ripoff
84.43,86.85,ripoff agree leave
86.86,91.1,agree leave wrapping cool
91.11,94.12,wrapping cool here's nice holes
94.13,96.03,here's nice holes compliment hasn't started
96.04,99.55,compliment hasn't started huge problem brussel
99.56,101.1,huge problem brussel sprouts cauliflower here's
101.11,105.58,sprouts cauliflower here's cauliflower
105.59,107.35,cauliflower get eating away
107.36,108.81,get eating away crazy
108.82,109.77,crazy
109.78,112.67,get
112.68,114.91,get cup
114.92,121.33,cup moving eatin camera
121.34,122.31,moving eatin camera
122.32,132.12,alright louie thing alright
132.13,136.24,alright louie thing alright everybody quick update june 30th
136.25,138.61,everybody quick update june 30th split 8 o'clock night alex
138.62,141.22,split 8 o'clock night alex basically
141.23,144.75,basically putting brand new compost soil
144.76,146.94,putting brand new compost soil mixing plants soils
146.95,150.15,mixing plants soils pretty rough helps stem
150.16,153.03,pretty rough helps stem stable little apply
153.04,154.9,stable little apply nutrients point
154.91,156.61,nutrients point couple times
156.62,159.03,couple times growing process real
159.04,162.0,growing process real quick regards cut worm problem
162.01,165.15,quick regards cut worm problem went walmart talked
165.16,167.31,went walmart talked friends got worry
167.32,170.05,friends got worry free powder basically
170.06,172.0,free powder basically sprinkle plants
172.01,174.9,sprinkle plants base
174.91,177.69,base week
177.7,179.57999999999996,week applications course
179.59,181.83,applications course weeks cutworm soon
181.84,185.8,weeks cutworm soon gone manually picking
185.81,189.64,gone manually picking got under control
189.65,192.91,got under control world chasing dog
192.92,196.47,world chasing dog get stay get
196.48,199.75,get stay get rabbit
199.76,200.69,rabbit deer
200.7,205.8,deer what's matter trying catch
205.81,211.96,what's matter trying catch aren't
211.97,216.57,everybody cauliflower
216.58,218.91,everybody cauliflower cauliflower remarkable
218.92,221.82,cauliflower remarkable recovery eaten
221.83,223.89,recovery eaten cutworms got
223.9,225.36,cutworms got get frame
225.37,226.79,get frame
226.8,229.76,cauliflower
229.77,232.77,cauliflower
232.78,234.6,brussels sprout
234.61,236.52,brussels sprout
236.53,238.5,planted later quite
238.51,239.04,planted later quite good
239.05,240.48,good leaves getting eaten
240.49,242.67,leaves getting eaten little cut
242.68,245.25,little cut worms
245.26,245.96,worms
248.11,249.95,total
249.96,251.82,total cauliflower
251.83,261.24,cauliflower tip hybrid hot little
261.25,266.18,tip hybrid hot little drink watering bucket gordon
266.19,270.57,drink watering bucket gordon nice cauliflower tip
270.58,273.86,nice cauliflower tip hybrid
273.87,276.72,hybrid july 22nd
276.73,280.2,july 22nd savannah cauliflower
280.21,281.34000000000003,savannah cauliflower front
281.35,282.9,front cauliflower interesting
282.91,283.56,cauliflower interesting monster
283.57,287.61,monster weeks
287.62,290.43,weeks newer old ones old
290.44,292.56,newer old ones old ones head cutworm lots stress
292.57,316.62,ones head cutworm lots stress they'll
316.63,320.07,they'll cut
320.08,322.1,cut october 21st
322.11,324.36,october 21st everybody
324.37,326.04,everybody get cut
326.05,328.65,get cut peel
328.66,330.27,peel leaves
330.28,333.81,leaves thing head inches
333.82,336.05,thing head inches
336.06,341.01,taste best
341.02,343.0900000000001,taste best go ahead
343.1,345.31,go ahead harvest thing
345.32,353.41,harvest thing alright
353.42,356.29,alright october 25th basically
356.3,358.18,october 25th basically went entire garden
358.19,362.07,went entire garden harvested think seven
362.08,364.93,harvested think seven double cauliflower left
364.94,366.19,double cauliflower left garden
366.2,368.83,garden 24 degrees week
368.84,372.19,24 degrees week alright go went
372.2,373.99,alright go went wrap thing
374.0,375.88,wrap thing room way
375.89,381.76,room way little christmas present think
381.77,383.38,little christmas present think supposed wine green
383.39,385.9,supposed wine green hopefully mature little
385.91,387.34,hopefully mature little
387.35,389.89,followed
389.9,393.91,followed peek check
393.92,396.85,peek check pretty good sized head
396.86,398.92,pretty good sized head inches diameter inches
398.93,401.16,inches diameter inches good size
401.17,405.54,good size nice bullet green
405.55,407.5,hard believe standing
407.51,409.18,hard believe standing high 20
409.19,411.61,high 20 degrees tomorrow
411.62,414.09,degrees tomorrow thanksgiving day go
