start,end,text
6.02,8.22,use
8.23,11.58,use opportunity having fenders
11.59,16.5,opportunity having fenders truck care common
16.51,21.35,truck care common problem 99207 point
21.36,36.72,problem 99207 point 6 0 motors
36.73,40.54,got broken exhaust manifold
40.55,44.68,got broken exhaust manifold bolts got bad leak
44.69,46.96,bolts got bad leak driver's
46.97,49.11,driver's doing work passenger
49.12,52.18,doing work passenger
52.19,54.61,easier what's
54.62,56.25,easier what's happening passenger
56.26,58.24,happening passenger driver's full wire
58.25,60.75,driver's full wire stuff
60.76,62.31,stuff lot easier
62.32,66.48,lot easier exactly doing
66.49,69.85,exactly doing
69.86,71.52,pretty good exhaust leak
71.53,75.34,pretty good exhaust leak studs
75.35,77.59,studs bowls broke
77.6,80.46000000000002,bowls broke hear leaking
80.47,82.63,hear leaking leaking
82.64,86.56,leaking hear start
86.57,90.39,hear start got bolts middle
90.4,93.27,got bolts middle got
93.28,96.1,got outside front broke
96.11,102.76,outside front broke believe
102.77,104.2,believe care problem
104.21,107.17,care problem guess
107.18,110.74,guess add heat bolts
110.75,114.87,add heat bolts get come breaking
114.88,119.8,get come breaking hopefully stud left
119.81,122.88,hopefully stud left believe stud left
122.89,127.06,believe stud left front weld
127.07,129.13,front weld add nut bolt
129.14,132.13,add nut bolt get
132.14,135.28,get rear
135.29,138.88,rear broke flush
138.89,141.0,broke flush able deal
141.01,142.87,able deal
142.88,146.77,get manifold guess got
146.78,149.17000000000004,get manifold guess got bolts soaking
149.18,152.8,bolts soaking blaster hopefully comes
152.81,156.91,blaster hopefully comes time unbolt come
156.92000000000004,159.97,time unbolt come breaking
159.98,162.18,breaking add little heat
162.19,166.65,add little heat got mini
166.66,169.71,got mini torch heat
169.72,171.93,torch heat heat balls
171.94,175.38,heat balls use wrench get
175.39,209.83,use wrench get go
209.84,212.37,trying heat bowl
212.38,214.69,trying heat bowl trying heat area
214.7,218.17,trying heat area ball into expand
218.18,227.72,ball into expand area bolt come
227.73,232.87,area bolt come head aluminum
232.88,236.69,head aluminum suck heat faster
236.7,270.28,suck heat faster steel bolt think
270.29,354.1,add heat
354.11,360.2,get
360.21,365.68,get get bolt breaking
365.69,367.73,go ahead get
367.74,373.07,go ahead get aren't broke
373.08,410.26,aren't broke come
410.27,412.63,got
412.64,416.83,got came procedure using
416.84,423.31,came procedure using heat get
423.32,425.83,add heat
425.84,428.26,add heat use huge
428.27,430.0,use huge wrench got regular half inch
430.01,433.03,wrench got regular half inch wrench feel feel
433.04,436.81,wrench feel feel heat allows
436.82,440.83,heat allows bolt turn go crazy
440.84,443.04,bolt turn go crazy get heat
443.05,445.24,get heat possibility breaking
445.25,448.03,possibility breaking
448.04,450.55,holding manifold
450.56,452.71,holding manifold anymore ones
452.72,454.77,anymore ones broke thing holding
454.78,457.78,broke thing holding exhaust system
457.79,459.94,exhaust system tackle got
459.95,465.28,tackle got egr deal procedure
465.29,467.62,egr deal procedure add heat
467.63,470.65,add heat flange get
470.66,472.56,flange get breaking
472.57,475.83,breaking goes
475.84,478.3,goes add little heat
478.31,480.55,add little heat break taking
480.56,482.5,break taking manifold break studs
482.51,486.46,manifold break studs
486.47,489.13,truck deal easier
489.14,491.89,truck deal easier way thing
491.9,493.42,way thing ready come bring date
493.43,497.23,ready come bring date completely removed egr deal
497.24,500.08,completely removed egr deal motor
500.09,502.42,motor room work stud
502.43,507.19,room work stud got bolts
507.2,510.18,got bolts bring air
510.19,512.77,bring air impact get
512.78,516.92,impact get electric wasn't doing
516.93,519.46,electric wasn't doing dipstick bolt
519.47,521.86,dipstick bolt support unfolded
521.87,525.61,support unfolded rusted
525.62,532.97,rusted new dipstick
