start,end,text
1.23,2.96,covering use pressure pot
2.97,6.34,covering use pressure pot hvlp spray gun principles using
6.35,8.39,hvlp spray gun principles using system apply hvlp
8.4,10.22,system apply hvlp conventional couple
10.23,13.24,conventional couple settings specific hvlp
13.25,16.03,settings specific hvlp cover tutorial pressure
16.04,18.1,cover tutorial pressure pots relatively safe effective
18.11,20.77,pots relatively safe effective way spray variety coatings
20.78,22.49,way spray variety coatings cleanup liners
22.5,24.83,cleanup liners offered making cleanup
24.84,27.67,offered making cleanup knees fill
27.68,30.25,knees fill paint pot secure
30.26,35.06,paint pot secure go dial dial
35.07,36.92,go dial dial pot start adjusting
36.93,38.66,pot start adjusting fluid pressure left gage
38.67,41.54,fluid pressure left gage second gauge air pressure
41.55,42.79,second gauge air pressure adjust pressure holding
42.8,44.72,adjust pressure holding trigger spray gun till get
44.73,47.86,trigger spray gun till get solid consistent stream
47.87,52.22,solid consistent stream foot length slight
52.23,54.77,foot length slight park proper
54.78,56.15,park proper adjustment stream
56.16,62.31,adjustment stream approximately moment
64.29,66.77,fluid pressure notice
66.78,68.75,fluid pressure notice slight arc extremely fast
68.76,70.85,slight arc extremely fast stream
70.86,75.35,stream pot 15
75.36,78.17,pot 15 pounds fluid pressure typically
78.18,79.88,pounds fluid pressure typically 20 pounds fluid pressure
79.89,82.28,20 pounds fluid pressure pot consider
82.28999999999998,84.1,pot consider larger fluid nozzle
84.11,86.35,larger fluid nozzle under 10 consider
86.36,88.37,under 10 consider smaller fluid nozzle
88.38,90.98,smaller fluid nozzle potentially using pressure pot
90.99,93.23,potentially using pressure pot effectively large
93.24,95.66,effectively large small nozzle spray gun
95.67,97.13,small nozzle spray gun fluid pressure dialed
97.14,100.03,fluid pressure dialed set air air spray
100.04,102.88,set air air spray pressure get breakup
102.89,106.13,pressure get breakup atomization set
106.14,108.49,atomization set fluid pressure task
108.5,109.7,fluid pressure task move air pressure
109.71,112.28,move air pressure controlled adjustment
112.29,115.31,controlled adjustment open air pot
115.32,117.53,open air pot looking air pressure got
117.54,119.03,looking air pressure got realize air pressure get
119.04,122.81,realize air pressure get gun shows gauge
122.82,126.7,gun shows gauge triggering hvlp spray
126.71,128.93,triggering hvlp spray gun using cap
128.94,131.05,gun using cap recommended pressure
131.06,132.89,recommended pressure case recommended
132.9,136.97,case recommended pressure maximum 25 psi
136.98,139.1,pressure maximum 25 psi means time air comes
139.11,141.77,means time air comes gun air base
141.78,144.97,gun air base 25 psi get
144.98,147.17000000000004,25 psi get efficiency
147.18,151.07999999999996,efficiency hvlp spray gun trigger gun
151.09,156.41,hvlp spray gun trigger gun 25 pounds
156.42000000000004,158.75,25 pounds looking target way
158.76,161.32999999999996,looking target way breaks surface
161.34,163.52,breaks surface rough
163.53,166.06,rough orange peel finish
166.07,168.22,orange peel finish good quality finish
168.23,170.27,good quality finish little dry breakups little
170.28,171.55,little dry breakups little finer tell smaller
