start,end,text
0.89,6.95,week friend explained
3.95,9.24,thought son abused
6.95,14.82,coming mom's
9.24,16.94,house bald spots head
14.82,22.67,little research turns
16.94,22.67,trichotillomania discuss
23.06,27.92,understanding
25.25,31.49,obsessive compulsive condition
27.92,33.86,twists pulls yanks
31.49,36.23,hair fingers
33.86,41.12,tweezers obsessive pulling
36.23,43.84,hair somebody suffers
41.12,47.3,condition trichotillomania
43.84,53.23,get sort satisfaction
47.3,55.91,seeing
53.23,58.4,happens normally adolescent
55.91,64.94,teenage girls happen
58.4,67.84,age fact high
64.94,71.36,school 17 year old blonde
67.84,74.0,female model suffered
71.36,75.5,condition said
74.0,80.87,stress parents
75.5,83.75,divorce images 13 year
80.87,87.46000000000002,old max sherwood who's documented
83.75,91.54,case suffering
87.46000000000002,94.34,trichotillomania hair
91.54,96.74,plucking disorder story share
94.34,98.74,we'd love hear
96.74,101.11,comments
98.74,103.54,people condition
101.11,105.02,control handle
103.54,109.28,leave
105.02,111.89,social scarring watching
109.28,116.14,plucking obsessively pluck
111.89,116.14,hair tell
123.7,129.88,live society bikini waxing
126.72,131.53,hairless bodies image
129.88,133.81,beauty think
131.53,135.37,contributes
133.81,138.76,hear
135.37,142.14,comment watching
138.76,142.14,care good bye
