start,end,text
0.0,2.09,episode versado recipes
2.1,5.17,episode versado recipes brought bluehost com
5.18,8.36,brought bluehost com everybody prison day
8.37,11.29,everybody prison day everybody priest day
11.3,16.01,everybody priest day dress shirt maya sweat
16.02,17.75,dress shirt maya sweat sauce
17.76,20.21,sauce make chicken
20.22,23.3,make chicken book somebody what's chicken
23.31,28.88,book somebody what's chicken saltimbocca into chicken eat jump
28.89,31.13,saltimbocca into chicken eat jump mouth
31.14,34.25,mouth chicken saltimbocca palo pere
34.26,37.22,chicken saltimbocca palo pere pepper dip book
37.23,39.2,pepper dip book meat
39.21,41.95,meat pork chicken
41.96,44.81,pork chicken chicken chicken got
44.82,47.54,chicken chicken got flower salt
47.55,49.81,flower salt little black pepper
49.82,55.63,little black pepper mix
55.64,59.72,mix chicken stock use salt
59.73,60.95,chicken stock use salt black pepper
60.96,64.57,black pepper got toothpick use chicken
64.58,68.45,got toothpick use chicken account gotta got pursuit
68.46000000000001,73.1,account gotta got pursuit smoker pursuit use sage pick
73.11,76.46000000000002,smoker pursuit use sage pick sage outside get
76.47,81.41,sage outside get nice got oil use power
81.42,81.92,nice got oil use power tool
81.93,87.8,tool got fontina start
87.81,90.62,got fontina start chicken array
90.63,95.78,chicken array little salt
95.79,98.3,little salt chicken bun go
98.31,103.35,chicken bun go got flour little black pepper
103.36,108.83,got smoke pursuit
108.84,111.98,got smoke pursuit apple
111.99,115.81,apple got decision
115.82,119.63,got decision poor leaves use
119.64,123.85,poor leaves use laser got pick
123.86,128.74,laser got pick user big action
128.75,135.67,user big action sage pursuit
135.68,140.36,sage pursuit sage light thing
140.37,142.75,sage light thing piece sage
142.76,145.19,piece sage array
145.2,148.32999999999996,array flower gotta make
148.34,150.38,flower gotta make subtle
150.39,153.77,subtle got
153.78,156.34,got piece breast air
156.35,165.32999999999996,piece breast air use little salt little black pepper
165.34,170.07999999999996,thing got smoke
170.09,174.75,thing got smoke pursuit inside
174.76,182.93,pursuit inside poor piece
182.94,187.16,poor piece presume
187.17,191.99,presume couple leaves sage inside
192.0,195.43,couple leaves sage inside got fontina cheese
195.44,203.94,got fontina cheese poor inside
203.95,211.86,roll
211.87,219.65,roll make ro latina chicken book
225.7,230.37,use leaves
230.38,234.42,use leaves sage gotta close
234.43,237.6,sage gotta close come fit inside poor
237.61,241.07,come fit inside poor stick
241.08,245.72,lida got close
245.73,250.35,lida got close leaves
250.36,255.69,leaves thing
255.7,256.4,thing flower
256.41,258.3,flower
258.31,260.03,gotta stop pasig
260.04,269.07,gotta stop pasig gotta cook use oil got
269.08,271.35,gotta cook use oil got couple miss garlic gallic
271.36,276.77,couple miss garlic gallic wouldn't split
276.78,280.23,wouldn't split figure
280.24,285.39,figure stove media
285.4,289.67,stove media start flower nice
289.68,293.3400000000001,start flower nice big nice packet flower
293.35,298.71,big nice packet flower
298.72,302.14,longer
302.15,306.12,longer nice fast
306.13,310.83,nice fast prepared aside
310.84,313.96,prepared aside time
313.97,317.08,time presume
317.09,323.46,presume airport dalai
323.47,328.27,airport dalai lotta got
328.28,330.9,lotta got little piece chicken
330.91,334.77,little piece chicken dry got
334.78,338.02,dry got make nice color turn
338.03,341.2,make nice color turn output oven
341.21,344.01,output oven wanna oven 10 minutes
344.02,347.23,wanna oven 10 minutes stay
347.24,350.98,stay turn way nice
350.99,356.37,turn way nice color ii gotta beautiful got
356.38,359.29,color ii gotta beautiful got duck decide robot
359.3,363.1,duck decide robot torn nice color
363.11,365.86,torn nice color live little
365.87,366.67,live little 4 minute
366.68,370.68,4 minute pull yarn
370.69,372.71,pull yarn oven gotta use
372.72,465.72,oven gotta use wine come moat ice
465.73,485.15,goodbye
485.16,490.2,goodbye man sighs fresh cutter
490.21,492.96,man sighs fresh cutter luck ecchymosis morning
492.97,499.86,luck ecchymosis morning buddy scott ian gotta love
499.87,505.53,buddy scott ian gotta love good boy cuz sighs ah
505.54,510.06,good boy cuz sighs ah sword
510.07,517.74,sword dc dd mean got
517.75,521.75,dc dd mean got love gue matter size honor
521.76,526.17,love gue matter size honor continue
526.18,528.75,continue goes aside tell
528.76,533.22,goes aside tell survey e commerce
533.23,538.4,survey e commerce everybody covers
538.41,541.23,everybody covers gaza
541.24,552.21,gaza laiá laiá laiá laiá salute gim chi la la
552.22,554.7,laiá laiá laiá laiá salute gim chi la la la ba ba boom hanging
554.71,558.3,la ba ba boom hanging boozy boozy bar puts
558.31,565.26,boozy boozy bar puts away cover
565.27,569.71,ah sits afraid girl
569.72,573.3,ah sits afraid girl gotta go oven 10
573.31,578.67,gotta go oven 10 minutes old go inside
578.68,582.06,check
582.07,582.81,check minutes
582.82,587.11,minutes oven everybody nice
587.12,590.76,oven everybody nice use little piece
590.77,593.19,use little piece butter got border dry
593.2,598.31,butter got border dry ready
598.32,602.82,ready l wanna pour milk board
602.83,608.59,l wanna pour milk board alright
608.6,612.81,alright wow hot forgot
612.82,613.9,wow hot forgot oven
613.91,621.57,oven boy burn hands nah
621.58,624.16,boy burn hands nah run lot
624.17,627.69,run lot things gets true yes
627.7,628.61,things gets true yes
628.62,633.51,sing basically
633.52,637.82,sing basically
637.83,642.28,nice gotta
642.29,644.79,nice gotta started
644.8,647.17,started got everyday
647.18,654.54,got everyday job gotta group
654.55,668.04,job gotta group beautiful beautiful
668.05,673.11,figured garlic
673.12,673.56,figured garlic
673.57,677.73,garlic
677.74,683.75,eat daisha
683.76,687.39,eat daisha go go dream
687.4,689.58,go go dream go sleep able
689.59,690.36,go sleep able tonight
690.37,694.32,tonight nights military
694.33,697.04,nights military guy
697.05,705.83,guy aaron cutter current mirror ah
705.84,708.18,beautiful
708.19,711.6,beautiful come nice
711.61,715.11,come nice inside
715.12,719.16,inside good told true
719.17,730.41,good told true wanna test mmm smell good
730.42,741.19,wanna test mmm smell good preserved fontina cheese
741.2,744.28,good got
744.29,748.06,good got wasn't roast
748.07,754.0,wasn't roast cauliflower lost pepper
754.01,757.27,cauliflower lost pepper roasted pepper wasn't outside
757.28,768.4,roasted pepper wasn't outside barbecue good tested
768.41,773.44,barbecue good tested sad choose
773.45,775.39,sad choose present preserve
775.4,784.47,present preserve smoker preserve good ma
784.48,790.54,smoker preserve good ma prefer
790.55,792.76,prefer fontina
792.77,799.05,fontina insider rola delicious
799.06,805.36,needed suit
805.37,808.27,needed suit said
808.28,814.7,said book
814.71,818.27,salo everybody battery true
818.28,821.12,salo everybody battery true
825.84,838.34,beautiful good
838.35,840.16,beautiful good everybody
840.17,845.05,everybody recipe
845.06,850.94,recipe salute gingy outside
850.95,853.97,salute gingy outside care ago got got
853.98,855.08,care ago got got wine
855.09,863.97,wine salute time
