start,end,text
0.06,5.22,hi spot squatch
2.76,7.62,what's media
5.22,11.58,making clip
7.62,15.13,turn
11.58,15.13,turned
20.7,39.98,cool idiots yanam flow
96.64,103.84,flour mixing bowl
106.0,139.36,body lotion started
132.52,139.36,1 teaspoon 4 teaspoons sugar
162.3,168.29,teaspoons
207.95,212.28,turning
260.31,279.53,hard hearted scrape
307.4,310.54,anymore
327.49,342.28,feels mushy good flour
336.02,352.36,using flour little
342.28,357.91,doing
352.36,365.74,judging starting
357.91,368.62,come seat
365.74,372.31,hands make little
368.62,378.43,go
372.31,381.08,hard ants smushy mushy
378.43,385.06,flower hard
381.08,386.47,lotion followed
385.06,393.78,directions
386.47,393.78,get clay thing
396.97,403.57,clay making
400.66,407.68,clay trip stuff
403.57,411.0,happens stuff shirts
407.68,415.69,sale little mist
411.0,424.41,y'all
415.69,424.41,walked go
432.5,440.84,y'all stop
435.71,446.36,make
440.84,448.54,clay little money
450.06,457.95,dead record videos
455.91,461.69,phone
457.95,461.69,shaky recording
465.72,474.99,sticky little
469.29,477.6,lotion little
474.99,483.11,stay stick
477.6,483.11,sticky soon
489.61,493.28,flour
516.84,523.46,get little
545.42,553.33,mess spit
548.95,554.89,fine happen
553.33,557.36,someone's happen
554.89,558.58,water
557.36,563.17,worry get marshall
558.58,563.17,mixing bowl
565.06,569.89,go clay
573.96,581.01,subscribe
578.52,583.77,liked comment
581.01,588.58,worked
583.77,591.75,mix
588.58,592.7,comment section
591.75,599.22,worked
592.7,603.58,subscribe watch
599.22,603.58,comment subscribe alright
