start,end,text
0.0,1.64,afraid get
1.65,12.82,afraid get go car
12.83,30.16,stalled
30.17,40.94,tourist things
40.95,42.84,what's talk
42.85,45.48,what's talk drive standard
45.49,47.4,drive standard
47.41,49.11,simplify process
49.12,51.81,simplify process million thirty seven
51.82,53.79,million thirty seven people world
53.8,55.22,people world
57.16,59.7,simple version drive manual
59.71,62.07,simple version drive manual obviously get
62.08,63.6,obviously get heard phrases
63.61,67.49,heard phrases shifting heel toe
67.5,68.64,shifting heel toe stuff
68.65,72.9,stuff simple practical way go
72.91,74.88,simple practical way go point point b
74.89,76.28999999999998,point point b overall setup
76.3,78.69,overall setup manual stick shift
78.7,80.88,manual stick shift emergency break
80.89,82.17,emergency break automatic
82.18,83.67,automatic automatic
83.68,85.65,automatic obviously standard
85.66,87.74,obviously standard got
87.75,89.76,got emergency break got
89.77,91.83,emergency break got stick shift go
91.84,94.1,stick shift go changes little
94.11,95.99,changes little got gas pedal
96.0,97.92,got gas pedal familiar got
97.93,99.54,familiar got brake familiar
99.55,100.8,brake familiar thing changes
100.81,103.5,thing changes called clutch clutch
103.51,105.14,called clutch clutch game explain
105.15,107.04,game explain quickly gears
107.05,109.14,quickly gears engine work automatic
109.15,111.63,engine work automatic automatically
111.64,113.73,automatically automatically shifting
113.74,116.61,automatically shifting manual full
116.62,118.77,manual full control ownership
118.78,119.82,control ownership get
119.83,121.53,get special relationship vehicle
121.54,123.12,special relationship vehicle driving makes
123.13,124.92,driving makes fun entertaining
124.93,126.84,fun entertaining experience go grocery store
126.85,129.81,experience go grocery store versus autopilot
129.82,130.77,versus autopilot get party
130.78,131.25,get party started
131.26,132.99,started fully push clutch
133.0,135.0,fully push clutch make clutch
135.01,136.77,make clutch way fully pushing
136.78,138.93,way fully pushing clutch come
138.94,141.21,clutch come car push
141.22,142.71,car push start start car
142.72,144.69,start start car make gear
144.7,147.3,make gear got emergency brake
147.31,148.97,got emergency brake little hill
148.98,151.11,little hill second
151.12,152.55,second start car
152.56,155.89,start car
155.9,159.29,get party
159.3,160.79,get party started got foot way
160.8,163.57999999999996,started got foot way clutch
163.59,168.59,clutch emergency brake
168.6,171.2,emergency brake gear
171.21,172.16,gear
172.17000000000004,174.5,gas slightly
174.51,176.75,gas slightly start ease clutch
176.76,181.16,start ease clutch left foot soon start
181.17,184.1,left foot soon start fill car start start creep
184.11,186.17,fill car start start creep forward start
186.18,189.41,forward start gas
191.4,193.19,races gear moving
193.2,195.53,races gear moving get into
195.54,198.26,get into gear vehicle moving
198.27,202.33,gear vehicle moving start get rpms
202.34,205.69,start get rpms 2000
205.7,208.72,2000 1 800 make shift
208.73,211.64,1 800 make shift start get 2 000
211.65,214.07,start get 2 000 simply
214.08,216.92,simply gas shift
216.93,219.22,gas shift second gear
219.23,221.86,second gear
221.87,226.44,get little gas
226.45,228.89,shift
228.9,232.13,shift
232.14,234.02,simple hard
234.03,240.69,simple hard drive standard
240.7,243.14,reverse way
243.15,244.73,reverse way go reverse simply follow
244.74,247.88,go reverse simply follow protocol
247.89,251.03,protocol ahead coming stoplight
251.04,252.26,ahead coming stoplight choices
252.27,255.35,choices downshift simply throw
255.36,257.03,downshift simply throw neutral
257.04,258.89,neutral way
258.9,260.24,way throw neutral
260.25,262.9,throw neutral approach light car
262.91,266.96,approach light car simply guide stoplight
266.97,271.85,simply guide stoplight full stop
271.86,275.93,full stop
275.94,284.52,party continues
295.44,297.76,coming
297.77,302.17,coming light got stop sign
302.18,303.58,light got stop sign
303.59,305.83,neutral light turns
305.84,307.48,neutral light turns green clutch way
307.49,309.31,green clutch way begin
309.32,325.09,begin go shifting
325.1,328.6,go shifting rpms
328.61,330.4,rpms vehicle
330.41,332.98,vehicle wheels spinning
332.99,335.71,wheels spinning certain rate shift
335.72,337.0900000000001,certain rate shift
337.1,339.1,takes practice
339.11,340.93,takes practice encourage get into
340.94,342.3400000000001,encourage get into middle parking lot
342.35,343.9,middle parking lot
343.91,346.9,practice
346.91,349.06,practice stall big
349.07,352.36,stall big deal everybody's
352.37,353.98,deal everybody's game learning
353.99,355.93,game learning learning
355.94,358.75,learning allowing body feel car
358.76,361.27,allowing body feel car feels able instinctively
361.28,363.61,feels able instinctively shift car
363.62,365.29,shift car prefers shift car
365.3,366.88,prefers shift car absolutely makes
366.89,369.01,absolutely makes cool special
369.02,371.23,cool special form special relationship
371.24,374.59,form special relationship car car
374.6,378.25,car car shifts differently makes
378.26,380.83,shifts differently makes neat
