start,end,text
0.06,3.67,hi today's wednesday april 5th
3.68,7.03,hi today's wednesday april 5th purchased wisteria
7.04,9.53,purchased wisteria ebay little larger
9.54,15.23,ebay little larger purchased
15.24,17.89,purchased purchase hertz
17.9,23.0,purchase hertz low g's
23.01,26.83,low g's label
26.84,32.74,label amethyst falls cut
32.75,34.79,amethyst falls cut piece good idea
34.8,39.29,piece good idea recycling make labels
39.3,41.44,recycling make labels route paul
41.45,52.35,route paul damp soaking shavings
52.36,54.09,stumped
54.1,58.92,stumped hamster cage something's nice nice root
58.93,63.57,hamster cage something's nice nice root ball get soil
63.58,65.04,ball get soil quickly possible think
65.05,69.69,quickly possible think ground cold
69.7,71.01,ground cold get shovel into
71.02,78.24,get shovel into ground outside got
78.25,122.37,ground outside got into soil
122.38,125.73,leave pot
125.74,127.49,leave pot couple months
127.5,130.41,couple months progresses
130.42,132.69,progresses figure point
132.7,139.27,figure point outside nice cutting mean
139.28,143.94,outside nice cutting mean think large
143.95,148.38,think large nice routemasters fine
148.39,156.67000000000004,nice routemasters fine amethyst falls wisteria says wednesday
156.68,168.59,amethyst falls wisteria says wednesday april 5th 2017 watching
168.6,171.67000000000004,applause
171.68,174.79,applause update wisteria
174.8,177.13,update wisteria cutting purchased ebay
177.14,180.71,cutting purchased ebay nice healthy cutting
180.72,184.34,nice healthy cutting soil april 5th looking
184.35,192.31,soil april 5th looking pretty good
192.32,200.14,ames amethyst falls
200.15,203.38,ames amethyst falls doing good
203.39,211.37,doing good died hmm blue moon wisteria
211.38,216.8,died hmm blue moon wisteria good
216.81,223.96,go
223.97,229.48,update wrist area
