start,end,text
15.13,18.31,hi mark poke rv education 101
18.32,19.75,hi mark poke rv education 101 question
19.76,22.45,question what's green clean portable
22.46,24.97,what's green clean portable answer amp solar portable charging
24.98,27.51,answer amp solar portable charging kit enjoy boondocking remote
27.52,29.32,kit enjoy boondocking remote type camping electric hookups
29.33,32.32,type camping electric hookups depend rv batteries
32.33,34.84,depend rv batteries zamp portable solar charging system
34.85,37.0,zamp portable solar charging system
37.01,40.04,power packed small case works
40.05,43.09,power packed small case works zamp solar offers portable solar
43.1,45.54,zamp solar offers portable solar charging systems ranging 40 watts
45.55,47.79,charging systems ranging 40 watts 200 watts depending
47.8,48.34,200 watts depending needs
48.35,53.82,needs zs 120 p model packs big punch
53.83,57.57,zs 120 p model packs big punch 120 watt model 6 8 4 amps
57.58,60.54,120 watt model 6 8 4 amps charging power particular system
60.55,62.43,charging power particular system large handle larger battery
62.44,64.42,large handle larger battery banks designed work
64.43,67.78,banks designed work dual batteries
67.79,70.0,dual batteries work 6 volt batteries wired
70.01,72.39,work 6 volt batteries wired series 12 volt batteries wired
72.4,75.6,series 12 volt batteries wired parallel perform 50 60
75.61,78.27,parallel perform 50 60 amps day system comes complete
78.28,80.77,amps day system comes complete ready use nice ballistic
80.78,83.34,ready use nice ballistic nylon padded carrying storage case
83.35,86.39,nylon padded carrying storage case sam fuld encoder kits feature
86.4,88.63,sam fuld encoder kits feature monocrystalline solar panel technology
88.64,93.09,monocrystalline solar panel technology ground mounted adjustable tilt
93.1,96.49,ground mounted adjustable tilt legs optimum tilt angle 15m
96.5,99.21,legs optimum tilt angle 15m waterproof weatherproof digital deluxe
99.22,101.91,waterproof weatherproof digital deluxe solar charge controller mounted
101.92,105.58,solar charge controller mounted bracket 16 feet
105.59,109.2,bracket 16 feet uv protected fused wire new solar
109.21,111.55,uv protected fused wire new solar plug system battery terminal clamps
111.56,114.34,plug system battery terminal clamps hookup arrive
114.35,116.91,hookup arrive destination setup process takes
116.92,120.63,destination setup process takes 5 minutes simply unpack bag
120.64,125.3,5 minutes simply unpack bag unfold panel's adjust tilt legs
125.31,127.63,unfold panel's adjust tilt legs position ground sunny
127.64,130.21,position ground sunny location pointing south connect
130.22,133.87,location pointing south connect wires rv batteries charge
133.88,136.21,wires rv batteries charge controller stage battery
136.22,139.42000000000002,controller stage battery charger pwm pulse width
139.43,142.86,charger pwm pulse width modulated technology zamp solar
142.87,145.78,modulated technology zamp solar charger works gel cell absorbed glass
145.79,146.71,charger works gel cell absorbed glass mat
146.72,150.07,mat lead acid batteries monitoring
150.07999999999996,151.99,lead acid batteries monitoring system couldn't easier
152.0,154.87,system couldn't easier solar charge controller bracket
154.88,156.79,solar charge controller bracket allows user swing controller
156.8,159.16,allows user swing controller viewable position
159.17000000000004,161.07999999999996,viewable position standing kneeling monitor
161.09,164.56,standing kneeling monitor system colored leds easily indicate
164.57,166.81,system colored leds easily indicate operational status battery condition
166.82,170.2,operational status battery condition digital lcd displays battery
170.21,173.17000000000004,digital lcd displays battery voltage charging current charging
173.18,176.4,voltage charging current charging capacity full charge fault codes
176.41,179.19,capacity full charge fault codes controller powers
179.2,181.48,controller powers perform self test go into
181.49,183.61,perform self test go into charging mode lcd display
183.62,187.54,charging mode lcd display charging status select
187.55,191.56,charging status select battery type incorrect battery type
191.57,195.89,battery type incorrect battery type settings damage battery
195.9,198.51,pressing amp volt button
198.52,205.44,pressing amp volt button display current readings
205.45,208.0,batteries
208.01,209.8,batteries rest assured they'll
209.81,212.14,rest assured they'll enjoy camping remote
212.15,214.12,enjoy camping remote areas depend rv batteries
214.13,216.28,areas depend rv batteries zamp solar portable charging
216.29,218.98,zamp solar portable charging kit designed specifically sam
218.99,221.05,kit designed specifically sam solar offers products
221.06,225.3,solar offers products solar needs wwm solar calm happy
225.31,235.96,solar needs wwm solar calm happy camping
