start,end,text
4.43,7.43,make big mistake putting
7.44,9.68,make big mistake putting watermelon fridge
9.69,12.7,watermelon fridge aware dangerous
12.71,14.99,aware dangerous thinking
15.0,17.24,thinking harmful health
17.25,19.13,harmful health subscribe click bell
19.14,21.76,subscribe click bell informative health videos
21.77,23.57,informative health videos thing cover
23.58,25.73,thing cover watermelon plastic foil
25.74,27.74,watermelon plastic foil refrigerator
27.75,29.62,refrigerator aware bad health
29.63,32.81,aware bad health inside palate film
32.82,34.79,inside palate film chemicals contaminate food
34.8,37.06,chemicals contaminate food kept fresh certain
37.07,38.51,kept fresh certain studies shown
38.52,40.67,studies shown contamination affect things
40.68,42.59,contamination affect things blood pressure reproductive health
42.6,45.38,blood pressure reproductive health case covered
45.39,47.72,case covered watermelon plastic foil
47.73,49.7,watermelon plastic foil refrigerator
49.71,51.95,refrigerator removed left standing
51.96,53.84,removed left standing aggravate things
53.85,56.02,aggravate things heat influences faster food
56.03,59.0,heat influences faster food contamination
59.01,61.18,contamination plastic film covers watermelon
61.19,63.43,plastic film covers watermelon raises temperature
63.44,65.39,raises temperature create environment favorable
65.4,67.21,create environment favorable development numerous bacteria
67.22,68.96000000000001,development numerous bacteria especially cooling
68.97,71.27,especially cooling refrigerator set maximum
71.28,73.37,refrigerator set maximum watermelon rich sugar
73.38,75.46000000000002,watermelon rich sugar helps reproduction bacteria
75.47,78.02,helps reproduction bacteria big mistake putting
78.03,80.45,big mistake putting layers plastic foil order
80.46000000000002,82.78,layers plastic foil order watermelon fresh longer
82.78999999999998,84.89,watermelon fresh longer increases temperature foil
84.9,87.05,increases temperature foil watermelon breathe
87.06,88.73,watermelon breathe lead fermentation
88.74,91.19,lead fermentation especially watermelon outside
91.2,93.83,especially watermelon outside refrigerator rotting
93.84,96.31,refrigerator rotting worst case bacteria lead
96.32,98.87,worst case bacteria lead food poisoning diarrhea
98.88,101.12,food poisoning diarrhea good cover watermelon
101.13,103.6,good cover watermelon plastic foil watching
103.61,106.78,plastic foil watching comment subscribe share
