start,end,text
10.96,12.87,ray perry founder president
12.88,15.36,ray perry founder president management academy
15.37,17.71,management academy biggest morale
17.72,20.01,biggest morale killing mistakes managers
20.02,23.52,killing mistakes managers supervisors make single day
23.53,25.15,supervisors make single day got tell primary
25.16,27.76,got tell primary reasons employees think
27.77,30.51,reasons employees think terrible boss here's mean
30.52,33.22,terrible boss here's mean talented professionals tell
33.23,34.63,talented professionals tell time goes
34.64,36.36,time goes boss
36.37,38.92,boss people team
38.93,41.29,people team job keeps loading
41.3,43.32,job keeps loading work confidence
43.33,45.04,work confidence go
45.05,47.04,go trust job
47.05,50.25,trust job go fair
50.26,53.43,go fair relate happened
53.44,56.95,relate happened boss worse
56.96,60.0,boss worse guilty doing boss
60.01,63.43,guilty doing boss consequential mistake
63.44,65.5,consequential mistake heart teams dare
65.51,68.62,heart teams dare dysfunctional reason
68.63,70.51,dysfunctional reason team experiences severe performance
70.52,73.71000000000002,team experiences severe performance morale issues
73.72,76.48,morale issues employees walk
76.49,78.31,employees walk context clip
78.32,79.87,context clip online management
79.88,84.37,online management courses allow share
84.38,86.56,courses allow share story believe
86.57,90.01,story believe illustrates clearly happens
90.02,92.5,illustrates clearly happens manager pay attention
92.51,94.51,manager pay attention folks underperforming
94.52,96.82,folks underperforming effect people
96.83,99.28,effect people performing story
99.29,101.92,performing story characters brad doyle nancy
101.93,104.02,characters brad doyle nancy mackenzie tell
104.03,106.12,mackenzie tell brad chief marketing officer
106.13,107.4,brad chief marketing officer organization
107.41,110.26,organization runs marketing division
110.27,113.26,runs marketing division company nancy senior
113.27,115.69,company nancy senior managers nancy
115.7,119.14,managers nancy organization 15 years 10
119.15,120.34,organization 15 years 10 years she's variety
120.35,122.08,years she's variety management positions
122.09,124.12,management positions years she's senior
124.13,127.72,years she's senior manager tell brad feels
127.73,132.1,manager tell brad feels nancy loves nancy
132.11,136.69,nancy loves nancy performing manager vice
136.7,139.48,performing manager vice president marketing division
139.49,141.94,president marketing division somebody brad consider
141.95,144.07,somebody brad consider superstar
144.07999999999996,145.95,superstar brad important project
145.96,149.23,brad important project goes nancy president
149.24,150.91,goes nancy president company wants brad work
150.92000000000004,153.04,company wants brad work high visibility board
153.05,156.82,high visibility board directors go nancy
156.82999999999996,159.7,directors go nancy depends nancy counts nancy
159.71,161.53,depends nancy counts nancy tremendous confidence tremendous
161.54,164.68,tremendous confidence tremendous trust ability
164.69,167.14,trust ability ask direct report
167.15,170.86,ask direct report surprised
170.87,173.8,surprised answer yes times what's
173.81,177.31,answer yes times what's happen monday morning nancy
177.32,180.64,happen monday morning nancy shock brad share
180.65,183.67,shock brad share conversation nancy
183.68,185.98,conversation nancy brad monday morning
185.99,188.47,brad monday morning typical chit chat
188.48,190.99,typical chit chat weekend things here's
191.0,194.08,weekend things here's nancy's brad
194.09,197.95,nancy's brad flummox brad brad
197.96,200.35,flummox brad brad bad news handing week
200.36,203.56,bad news handing week notice opportunity
203.57,205.72,notice opportunity organization
205.73,209.05,organization believe leaving
209.06,210.85,believe leaving important division growth
210.86,214.03,important division growth division leaving
214.04,216.58,division leaving step outside brad's office
216.59,218.92,step outside brad's office goes forth
218.93,222.34,goes forth brad tell nancy
222.35,225.84,brad tell nancy truly enjoyed working
225.85,229.57,truly enjoyed working truth nancy's tell
229.58,232.44,truth nancy's tell brad truly enjoyed
232.45,236.23,brad truly enjoyed working lie
236.24,237.94,working lie share conversation
237.95,239.88,share conversation nancy friend
239.89,243.55,nancy friend previous weekend
243.56,244.93,previous weekend hadn't seen person
244.94,246.01,hadn't seen person years here's
246.02,247.75,years here's conversation nancy
247.76,250.0,conversation nancy friend starts friend
250.01,251.83,friend starts friend nancy doin haven't seen
251.84,254.02,nancy doin haven't seen how's how's
254.03,255.69,how's how's company working
255.7,257.17,company working long time 12 years
257.18,259.39,long time 12 years things pretty good
259.4,260.71,things pretty good company 15
260.72,264.13,company 15 years leaving couple weeks
264.14,266.65,years leaving couple weeks putting week notice
266.66,269.89,putting week notice matter fact monday
269.9,272.44,matter fact monday leaving
272.45,274.84000000000003,leaving company
274.85,277.26,company leaving horrible
277.27,279.57,leaving horrible boss stand working
279.58,280.26,boss stand working boss anymore
280.27,282.45,boss anymore treats pack
282.46,284.61,treats pack mule loathes project
284.62,287.31,mule loathes project work frost's
287.32,289.26,work frost's goes gym jennifer vice
289.27,291.27,goes gym jennifer vice presidents
291.28,292.92,presidents go
292.93,294.99,go confidence gotta tell
295.0,297.0,confidence gotta tell slackers
297.01,299.31,slackers good job
299.32,302.19,good job comes
302.2,304.8,comes overwhelmed
304.81,306.93,overwhelmed weeks deal
306.94,310.14,weeks deal brad doyle step away
310.15,315.81,brad doyle step away situation role
315.82,319.94,situation role happen
319.95,322.32,brad doyle
322.33,326.73,brad doyle happening answer
326.74,330.03,happening answer manager allow underperformers
330.04,332.58,manager allow underperformers continue underperform ends
332.5900000000001,334.95,continue underperform ends happening affects rest
334.96,339.65,happening affects rest team consequences
339.66,342.72,team consequences ignore difficult direct
342.73,344.88,ignore difficult direct reports employees create
344.89,348.12,reports employees create drama challenge authority simply
348.13,350.07,drama challenge authority simply job avoid
350.08,352.02,job avoid delegating employees
352.03,354.21,delegating employees confidence
354.22,356.67,confidence load performing
356.68,359.46,load performing employees pack mules words
359.47,361.61,employees pack mules words guilty brad guilty
361.62,365.04,guilty brad guilty stop step away
365.05,365.73,stop step away wreckage
365.74,368.64,wreckage stop digging ditch deeper
368.65,371.19,stop digging ditch deeper question
371.2,372.99,question brad entire
373.0,376.68,brad entire team engaged motivated answer
376.69,378.72,team engaged motivated answer question important invite
378.73,380.67,question important invite click link continue
380.68,382.47,click link continue conversation signing
382.48,384.96,conversation signing complimentary yes means free
384.97,387.15,complimentary yes means free online demand management course
387.16,387.69,online demand management course called
387.7,389.73,called excellence management driving
389.74,392.19,excellence management driving results driving team crazy
392.2,394.14,results driving team crazy course help quickly
394.15,395.73,course help quickly learn greater control
395.74,397.74,learn greater control confidence
397.75,399.51,confidence important greater credibility
399.52,402.18,important greater credibility manager supervisor
402.19,405.21,manager supervisor challenging employees
405.22,406.62,challenging employees important help figure
406.63,408.39,important help figure spend time babysitting
408.4,409.65,spend time babysitting employees
409.66,411.27,employees spend time working
411.28,413.82,spend time working projects priorities
413.83,414.69,projects priorities here's best
414.7,416.61,here's best hour course divided
416.62,419.16,hour course divided bite sized lessons doable
419.17,421.38,bite sized lessons doable hectic schedule
421.39,423.39,hectic schedule online demand watch
423.4,426.12,online demand watch anytime place
426.13,428.16,anytime place high speed connection fact
428.17,431.49,high speed connection fact lesson minutes long
431.5,432.63,lesson minutes long way somebody
432.64,434.58,way somebody benefit free
434.59,436.65,benefit free management course
436.66,438.2,management course clicking share buttons
438.21,440.79,clicking share buttons watching
440.8,442.86,watching forward continuing work
442.87,445.23,forward continuing work
