start,end,text
0.11,2.6,evening
2.61,6.74,evening make farmer's pasta butter
6.75,9.14,make farmer's pasta butter soup family
9.15,11.9,soup family years remember sitting
11.91,13.97,years remember sitting grandmother young
13.98,17.72,grandmother young having get started
17.73,28.67,having get started idea go ahead turn
28.68,33.95,idea go ahead turn angle one's ray burner got
33.96,39.11,angle one's ray burner got onion diced rowcount fine
39.12,43.15,onion diced rowcount fine dice bunch
43.16,52.27,dice bunch celery cut good flavors
52.28,57.31,celery cut good flavors
57.32,62.24,got 28 count 28 ounce crushed
62.25,72.05,got 28 count 28 ounce crushed tomatoes cans
72.06,78.46000000000002,tomatoes cans cans add
78.47,82.33,cans add tablespoon crushed garlic
82.34,85.28,tablespoon crushed garlic minced garlic spread
85.28999999999998,90.44,minced garlic spread jar didn't feel chop
90.45,93.46,jar didn't feel chop evening
93.47,99.01,evening teaspoon
99.02,105.74,teaspoon salt half teaspoon black
105.75,108.35,salt half teaspoon black pepper second
108.36,110.42,pepper second uh fresh ground
110.43,115.38,uh fresh ground shakers
115.39,121.42,shakers oregano
121.43,128.32,oregano tablespoons
128.33,132.97,alright cool tablespoons oregano
132.98,144.05,alright cool tablespoons oregano italian
144.06,146.15,italian seasoning go
146.16,159.35,seasoning go rinse e
159.36,163.46,rinse e stands rice cans
163.47,168.47,stands rice cans cold regular tap water
168.48,177.32999999999996,cold regular tap water dump that'll
177.34,192.62,dump that'll hand
192.63,195.95,kings
195.96,199.91,kings half 20
199.92,205.73,half 20 2 20 al stands
205.74,208.12,2 20 al stands pasta go elbow noodles
208.13,214.19,pasta go elbow noodles go ahead
214.2,218.27,go ahead boiler noodles definitely
218.28,225.05,boiler noodles definitely salt water
225.06,228.23,salt water close tablespoon salt
228.24,231.98,close tablespoon salt bring boil
231.99,237.25,bring boil add water
237.26,241.07,add water get cook
241.08,244.3,get cook what's steps
244.31,246.86,what's steps alright waters come bull
246.87,250.25,alright waters come bull add cups elbow noodles
250.26,253.79,add cups elbow noodles honestly
253.8,258.62,honestly thing
258.63,262.58,thing habit little extra
262.59,269.23,adjust make macaroni
269.24,272.77,adjust make macaroni salad
272.78,277.27,salad make little extra
277.28,281.77,make little extra stir definitely cook
281.78,285.82,stir definitely cook el dente
285.83,288.58,el dente cook way
288.5900000000001,291.85,cook way adding soup
291.86,294.61,adding soup make mushy
294.62,296.58,make mushy taste good
296.5900000000001,300.46,taste good
300.47,302.58,minutes tops comes
302.59,307.36,minutes tops comes boil alright
307.37,309.93,boil alright pulse pasta running
309.94,311.64,pulse pasta running cold water topic
311.65,313.62,cold water topic definitely get cooking process
313.63,318.15,definitely get cooking process stop mainly
318.16,321.49,stop mainly second check check
321.5,328.23,second check check soup coming
328.24,331.12,soup coming fine skim
331.13,334.3,fine skim little red tomato
334.31,337.14,little red tomato doing cooking
337.15,339.76,doing cooking long
339.77,342.7,long marry get celery get
342.71,345.43,marry get celery get nice tender simple love
345.44,347.95,nice tender simple love soup mean
347.96,351.33,soup mean good taste wise
351.34000000000015,354.76,good taste wise wise beat skim
354.77,359.3,wise beat skim celery
359.31,363.49,alright
363.5,367.99,alright farmers pasta butter suit makes
368.0,373.05,farmers pasta butter suit makes good add
373.06,377.11,good add sticks butter telling
377.12,379.68,sticks butter telling healthiest thing
379.69,383.32,healthiest thing earth good throwing
383.33,389.5,earth good throwing sticks melt
389.51,395.77,sticks melt second add pasta
395.78,397.45,second add pasta
397.46,401.49,cool tops minutes
401.5,407.74,cool tops minutes go ahead add
407.75,413.23,go ahead add pasta end gotta finish cooking
413.24,414.79,pasta end gotta finish cooking cool little
414.8,417.9,cool little make
417.91,424.06,make mushy honestly make
424.07,429.25,mushy honestly make prepped prep
429.26,433.27,prepped prep shoot 5 10 minutes cellaring
433.28,437.86,shoot 5 10 minutes cellaring get dinner
437.87,443.8,get dinner hour
443.81,446.89,hour cups
446.9,454.63,cups macaroni
454.64,459.68,making macaroni salad
459.69,473.26,making macaroni salad cups
473.27,478.85,man wish
478.86,481.76,man wish house good love
481.77,485.93,house good love suit
485.94,489.26,suit favorites gumbo
489.27,492.29,favorites gumbo
492.3,495.5,definitely definitely absolute
495.51,503.38,definitely definitely absolute favorite soups world yes uh
503.39,507.41,watching
507.42,510.47,watching recipe mean simple
510.48,514.94,recipe mean simple good
