start,end,text
1.71,4.18,doing sterling
4.19,5.8,doing sterling smith loose booty barbecue
5.8100000000000005,7.92,smith loose booty barbecue chef johnson vincent catering
7.93,9.7,chef johnson vincent catering chef jon
9.71,10.9,chef jon doing chef good morning
10.91,12.03,doing chef good morning good morning doing awesome
12.04,13.74,good morning doing awesome obviously wait cook
13.75,15.19,obviously wait cook recipes
15.2,16.45,recipes start
16.46,18.58,start beautiful turkey breast
18.59,20.89,beautiful turkey breast time october absolutely
20.9,22.42,time october absolutely late year people
22.43,24.67,late year people start ordering turkeys thanksgivings
24.68,26.47,start ordering turkeys thanksgivings coming lot turkeys
26.48,27.84,coming lot turkeys catering business
27.85,31.26,catering business 4 000 pounds clients lot
31.27,33.49,4 000 pounds clients lot doing turkeys
33.5,35.02,doing turkeys add
35.03,37.03,add flavor into brine injection
37.04,39.34,flavor into brine injection pounds
39.35,40.9,pounds write
40.91,42.67,write time lot doing brine
42.68,44.08,time lot doing brine absolutely customers
44.09,46.15,absolutely customers brine table secret
46.16,48.28,brine table secret recipe course
48.29,50.14,recipe course includes bay leaf little citrus
50.15,51.58,includes bay leaf little citrus absolutely you'd agree
51.59,53.38,absolutely you'd agree definite hot definitely salt sugar
53.39,54.67,definite hot definitely salt sugar help
54.68,56.17,help moisture they've act
56.18,58.54,moisture they've act lock brine meat
58.55,60.19,lock brine meat go couple days
60.2,62.41,go couple days locks exactly
62.42,64.99,locks exactly brining creates
65.0,67.03,brining creates osmosis salt sugar
67.04,68.62,osmosis salt sugar salinity water
68.63,71.02,salinity water meat allows meat
71.03,72.7,meat allows meat accept flavors
72.71000000000002,73.66,accept flavors into brine
73.67,75.58,into brine brian apple
75.59,77.62,brian apple cider vinegar apple cider
77.63,80.71000000000002,cider vinegar apple cider salt sugar row wiry time
80.72,82.87,salt sugar row wiry time apple cider vinegar little
82.88,84.19,apple cider vinegar little apple cider vinegar create
84.2,85.78,apple cider vinegar create little tang into
85.78999999999998,86.89,little tang into little softer traditional
86.9,87.78999999999998,little softer traditional white vinegar
87.8,89.86,white vinegar absolutely using apple
89.87,91.75,absolutely using apple cider think complement
91.76,93.79,cider think complement cider using
93.8,96.43,cider using rosemary thyme sage garlic
96.44,96.92,rosemary thyme sage garlic
96.93,98.18,create poll million
98.19,100.16,create poll million turkeys greater problem area turkey
100.17,101.36,turkeys greater problem area turkey breasts beautiful
101.37,103.01,breasts beautiful breasts love
103.02,105.35,breasts love half breast timing
105.36,107.3,half breast timing skin weed
107.31,109.55,skin weed phone
109.56,111.08,phone get good time good cook
111.09,113.78,get good time good cook turkey breast
113.79,115.21,turkey breast green mountain grill running 500
115.22,116.78,green mountain grill running 500 degrees
116.79,118.94,degrees season skids
118.95,120.23,season skids little
120.24,122.63,little brian skin air dry
122.64,124.76,brian skin air dry little sit listen
124.77,127.31,little sit listen hour recommend
127.32,129.56,hour recommend patted dry rinse funny work
129.57,131.27,patted dry rinse funny work use paper towels pad
131.28,133.55,use paper towels pad dry rub seasoning
133.56,135.41,dry rub seasoning adhere didn't stick skin
135.42,135.94,adhere didn't stick skin meat
135.95,137.72,meat awesome perfect
137.73,139.49,awesome perfect get nice little seasoning
139.5,140.87,get nice little seasoning help chef grab
140.88,142.61,help chef grab poultry seasoning ring grills
142.62,144.29,poultry seasoning ring grills nice little
144.3,146.87,nice little coating backside
146.88,149.51,coating backside people spicy exactly
149.52,151.16,people spicy exactly big piece meat
151.17000000000004,152.9,big piece meat thick got get spice
152.91,154.46,thick got get spice people
154.47,156.38,people get spice get get
156.39,157.94,get spice get get get
157.95,160.61,get flavors win stop perfect
160.62,162.22,flavors win stop perfect come
162.23,164.5,come rub salt
164.51,166.49,rub salt sea salt black pepper garlic
166.5,168.97,sea salt black pepper garlic salt pretty 50 50
168.98,170.78,salt pretty 50 50 create creates nice little
170.79,172.37,create creates nice little barbecue flavor
172.38,174.89,barbecue flavor perfect
174.9,176.81,perfect get
176.82,178.19,get thing skin
178.2,181.72,thing skin pay attention chef john go
181.73,184.54,pay attention chef john go
184.55,186.3,said blotted skin
186.31,188.08,said blotted skin dry help seasoning
188.09,190.57,dry help seasoning stick inside
190.58,194.14,stick inside meat
194.15,195.69,meat initially green
195.7,197.38,initially green mountain grill
197.39,200.77,mountain grill inside hour
200.78,202.15,inside hour 500 degrees
202.16,203.44,500 degrees drop into add
203.45,206.44,drop into add nice smoke turkey
206.45,207.72,nice smoke turkey green mountain rose get nice
207.73,209.44,green mountain rose get nice light smoke beautiful
209.45,210.97,light smoke beautiful tell he's traditionalist
210.98,214.15,tell he's traditionalist smoking meats years tilled
214.16,215.28,smoking meats years tilled night long
215.29,217.47,night long dokin couldn't get
217.48,219.94,dokin couldn't get temperature forget water
219.95,221.71,temperature forget water smoke you'd
221.72,223.72,smoke you'd get char process
223.73,225.19,get char process process gotta tell
225.2,227.11,process gotta tell green mountain grill takes
227.12,228.97,green mountain grill takes takes
228.98,230.71,takes equation introduced
230.72,232.99,equation introduced year ago huge huge absolutely lot
233.0,234.58,year ago huge huge absolutely lot team jerseys competition cooking
234.59,236.28,team jerseys competition cooking thing
236.29,238.33,thing consistency temperature
238.34,239.89,consistency temperature worry adding
239.9,243.63,worry adding wood worry water
243.64,246.25,wood worry water water pellet
246.26,247.84,water pellet ready go
247.85,249.91,ready go throw green
249.92,251.55,throw green mountain girl said 500 degrees
251.56,252.81,mountain girl said 500 degrees chopped
252.82,254.83,chopped 300 extra smoke get
254.84,256.69,300 extra smoke get sauce chef
256.7,258.15,sauce chef seasoned ready go
258.16,259.65,seasoned ready go green bound grill
259.66,261.49,green bound grill 500 degrees hour
261.5,262.69,500 degrees hour drop
262.7,264.49,drop 300 get extra smoking
264.5,267.97,300 get extra smoking exciting
267.98,270.52,exciting beautiful turkey breast
270.53,272.14,beautiful turkey breast send set
272.15,274.84000000000003,send set fattest closest
274.85,276.55,fattest closest exhaust
276.56,279.79,exhaust says lot smell amazing
279.8,280.84000000000003,says lot smell amazing middle
280.85,282.49,middle
282.5,290.28,drop temperature 300 degrees
290.29,292.35,perfect
292.36,294.42,perfect lid go
294.43,295.95,lid go hour ready go
295.96,298.05,hour ready go hi chef turkey breast
298.06,300.86,hi chef turkey breast hour 450 degrees press
300.87,302.58,hour 450 degrees press skin getting dark
302.59,305.15,skin getting dark ready go
305.16,307.64,ready go seasonings fake press get
307.65,309.65,seasonings fake press get nice little likes rubbery skin
309.66,311.45,nice little likes rubbery skin get nice little crust
311.46,313.43,get nice little crust rest sit
313.44,315.77,rest sit long beautiful
315.78,317.42,long beautiful notice commonality
317.43,319.43,notice commonality talk smoked meats
319.44,320.99,talk smoked meats grilled meats talk resting
321.0,322.64,grilled meats talk resting absolutely think important
322.65,324.71,absolutely think important understand importance
324.72,326.24,understand importance impatient
326.25,328.07,impatient watch
328.08,331.55,watch resting good
331.56,334.29,resting good wonder meat hasn't come
334.3,336.18,wonder meat hasn't come answers lot rest
336.19,337.92,answers lot rest lot people cut
337.93,339.39,lot people cut immediately juices
339.4,341.1,immediately juices run save
341.11,342.8,run save juice possible
342.81,344.07,juice possible steak
344.08,345.48,steak butter
345.49,347.1,butter oil sit 10
347.11,347.58,oil sit 10 minutes
347.59000000000015,349.26,minutes butter commonality
349.27,350.96,butter commonality butter guy
350.97,354.68,butter guy love butter awesome putting
354.69,356.74,love butter awesome putting
356.75,359.04,bark came
359.05,360.51,bark came turkey seasonings
360.52,363.08,turkey seasonings baked into salt
363.09,365.62,baked into salt pepper beautiful
365.63,367.76,pepper beautiful visa bird
367.77,369.4,visa bird said butter
369.41,371.27,said butter quarrel rest little
371.28,372.83,quarrel rest little come minutes
372.84,375.05,come minutes cut thing
375.06,376.33,cut thing butter doing
376.34,378.52,butter doing create shoe juices
378.53,380.02,create shoe juices natural juices turkey
380.03,381.08,natural juices turkey come
381.09,382.82,come plate butters mix
382.83,384.43,plate butters mix run slices turkey
384.44,386.33,run slices turkey get
386.34,388.15,get nice nice chunk sourdough
388.16,388.67,nice nice chunk sourdough bread
388.68,391.33,bread soaked god
391.34,395.54,soaked god little go minutes
395.55,397.24,little go minutes come check awsome
397.25,398.95,come check awsome kauri chef turkey breast
398.96,400.12,kauri chef turkey breast resting minutes
400.13,402.74,resting minutes man butter
402.75,404.92,man butter rendered honey
404.93,406.73,rendered honey anshu
406.74,408.08,anshu sliced run
408.09,409.73,sliced run pieces
409.74,411.49,pieces pieces light keeps
411.5,413.54,pieces light keeps moist juicy eat
413.55,415.58,moist juicy eat eyes pops
415.59,418.82,eyes pops definitely sorry
418.83,421.12,definitely sorry fun
421.13,422.99,fun absolutely gorgeous steam
423.0,424.12,absolutely gorgeous steam stuff coming worry
424.13,426.11,stuff coming worry resting rest
426.12,427.9,resting rest meat hot center
427.91,434.2,meat hot center skin man love get
434.21,437.71,skin man love get best holiday
437.72,438.67,best holiday turkey
438.68,441.01,turkey slices
441.02,442.7,slices
442.71,444.52,lot people skin
444.53,445.67,lot people skin skin cool thing
445.68,446.92,skin cool thing
448.31,451.07,jus anshu important
451.08,452.62,jus anshu important add level
452.63,455.89,add level flavor turkey brined
455.9,458.36,flavor turkey brined apple cider
458.37,460.07,apple cider mean juicy tender
460.08,461.08,mean juicy tender
461.09,462.46,impress
462.47,464.2,impress thanksgiving gifts holiday
464.21,466.68,thanksgiving gifts holiday guests way brian
466.69,469.09,guests way brian turkey breasts get nice rub
469.1,472.62,turkey breasts get nice rub get smoker get
472.63,474.52,get smoker get nice carmelization skin
474.53,477.1,nice carmelization skin flip finish
477.11,478.96,flip finish saw total time total
478.97,480.93,saw total time total time breast hours
480.94,483.07,time breast hours hour skin
483.08,486.18,hour skin flipped got nice crust
486.19,488.14,flipped got nice crust hour skin totally
488.15,490.33,hour skin totally amazing tell
490.34,491.8,amazing tell love said massage
491.81,494.35,love said massage thinks turkey
494.36,495.58,thinks turkey flavor adds
495.59,497.8,flavor adds richness butter
497.81,499.42,richness butter serve
499.43,501.9,serve medallions skin
501.91,503.56,medallions skin skin depends guests
503.57,505.54,skin depends guests pick
505.55,509.53,pick brining taste
509.54,511.27,brining taste tastes stuffing flavors
511.28,511.6,tastes stuffing flavors
511.61,513.79,abs little sage e sage
513.8,515.98,abs little sage e sage time rosemary
515.99,517.81,time rosemary having complete turkey
517.82,520.3,having complete turkey dinner absolutely time
520.31,521.95,dinner absolutely time taste test go
521.96,524.2,taste test go grab piece
524.21,527.68,grab piece cheer chef cheers
527.69,530.19,cheer chef cheers spring flavor good god
530.2,531.87,spring flavor good god close coming
531.88,533.68,close coming moist stands
533.69,536.29,moist stands moistness get turkey
536.3,537.75,moistness get turkey dry moisture
537.76,539.88,dry moisture gotta nice
539.89,541.38,gotta nice turkey comes family
541.39,543.24,turkey comes family members mean
543.25,545.61,members mean alternative briny think
545.62,547.86,alternative briny think way go seasoning smoke
547.87,548.19,way go seasoning smoke
