start,end,text
0.0,72.5,2015 bmw series taking installing curt class inch quarter receiver hitch number c11367
72.5,145.0,hitch installed
145.0,217.5,nice tucked away underneath vehicle
217.5,290.0,inch quarter inch quarter receiver tube capable carrying pounds ton weight trailer gross weight thousand pounds
290.0,362.5,nice tie downs chains
362.5,435.0,half inch hole drilled straight able slide pin secure trailer receiver
435.0,507.5,center hitch pin hole outer edge bumper half inches
507.5,580.0,receiver tube ground seven eighths inches
580.0,652.5,dimensions help selecting cargo carriers bike racks end bmw
652.5,725.0,go ahead installs
725.0,797.5,thing opening rear trunk
