start,end,text
15.5,17.42,locked emma
17.42,20.42,under quaeque
22.31,24.32,ikea fans club aude
24.32,26.9,susanna banana
26.9,29.9,goblins embryo mekenna toilet
30.72,33.72,cover
34.3,37.3,site saint tv
38.31,40.43,dante
40.43,43.43,csm pure true indispens
46.01,49.01,leica
51.45,54.45,webcam mutual
58.99,61.99,northern peaks battened parma groups
63.58,66.58,77
68.42,71.42,expert mother
73.01,75.81,talking
75.81,78.47,proposal n squatting
78.47,81.48,world club
81.48,83.98,permit
83.98,86.98,b smoking area customers
94.74,97.74,photo
98.97,101.97,streaming shark good
102.88,105.63,pick sun
105.63,108.63,time
128.2,131.2,gripped
132.02,134.52,password pc
134.52,135.65,dead
135.65,138.17000000000002,love alessio
138.17000000000002,141.91,coco she's keys diarrhea macpro
143.04,147.15,hello x fishing procurement
149.26,152.35,soldiers 20 hours tarot whistles
156.0,158.04,emmental
158.04,160.52,dog anges
160.52,163.52,confiscations maiden
165.86,168.86,enaip lazio ehrenfest
171.36,172.65,permanganate
172.65,175.65,listen sky
178.57999999999996,181.58,secret
183.3,186.3,yes sispi vol failure
187.44,190.72,tel cpl
190.72,192.57,3 bruising
192.57,195.57,rv parody precooked
196.88,199.88,sacred broken beans
201.48,206.7,sketch priest sleeps
210.66,211.35,recipes
