start,end,text
5.18,10.86,pork links
8.63,14.54,talk
10.86,17.75,pork loin pick deal
14.54,21.81,local fresh wanted
17.75,27.39,kick butt
21.81,33.12,dinner tonight pork loins
27.39,38.67,marinating dr pepper garlic
33.12,40.11,powder onion powder salt pepper
38.67,42.84,marinating
40.11,45.27,overnight threw
42.84,48.12,leftover rub rib
45.27,51.39,recipe uploaded
48.12,56.78,recipe nice mango
51.39,58.71,flavored dry rub get
56.78,60.05,into smoker
58.71,63.27,talk cook
60.05,68.13,alright pork loin
63.27,70.47,smoker
68.13,72.57,temperatures 275 shooting
70.47,75.57,300 degrees gets little boring
72.57,79.03999999999998,smoke
75.57,83.78,smoke post
79.03999999999998,86.15,picnic brisket 200
83.78,89.0,fatty piece meat
86.15,95.1,nice lean piece meat
89.0,99.78,solid loin break
95.1,102.42,pork roast break
99.78,107.79,go low
102.42,110.06,slow cook
107.79,113.36,point
110.06,118.1,overdone kinda steak overdone
113.36,118.1,tips briskets
118.21,124.2,shooting
121.79,126.29,fairly decent temperature
124.2,130.83,door shut got
126.29,133.23,hickory peaks wood
130.83,136.3,wood box
133.23,139.39,cook hour
136.3,140.8,300 degrees watch
139.39,142.09,temperature what's nice
140.8,145.12,getting
142.09,148.27,getting watch
145.12,152.01,closely thermometer
148.27,155.2,fast read meat thermometer
152.01,158.41,internal temperature 135 140 goes
155.2,163.72,grill 135
158.41,167.86,cooking 4 500 140
163.72,173.89,time
167.86,175.45,increase juices flow
173.89,177.03,into meat raise
175.45,181.9,temperature good
177.03,187.29,medium medium temperature 135 early
181.9,192.31,medium medium rare 135 140 pull
187.29,194.73,wrap foil set 20 20
192.31,198.7,minutes rest cut
194.73,200.38,what's
198.7,203.2,cook
200.38,205.39,coming wait
203.2,206.95,minute
205.39,211.0,saying things
206.95,215.23,looking 3 325 temperature
211.0,217.0,pretty
215.23,220.29,looking pretty
217.0,222.66,nice read little crisp
220.29,226.75,thermometer reading
222.66,230.82,140 small ones small sections
226.75,236.06,142 suspect things
230.82,241.26,nice juicy beautiful
236.06,245.76,slicing tasting come
241.26,245.76,into medallions
