start,end,text
0.0,8.73,come inside shy thinking
5.04,12.03,way meet betraying bar
8.73,16.65,christmas taylor parkway brand
12.03,21.59,new recipe day videos mama
16.65,27.67,trailer she's jumping sugarbaker
21.59,30.33,come spend holidays tree
27.67,30.33,way
38.12,42.93,hi dr park fans jolene
40.95,45.21,sugarbaker trailer park wayne
42.93,47.61,trailer park test kitchen
45.21,49.86,edition
47.61,52.8,cooking jolene trailer park
49.86,54.84,cooking teach
52.8,57.36,live budget trailer
54.84,59.64,park way mary trailer park
57.36,62.07,christmas excited
59.64,64.44,spending day december 25th
62.07,67.14,releasing new
64.44,69.21000000000001,day december
67.14,71.7,got calendar
69.21000000000001,73.61,trailer park christmas com people
71.7,75.78,printing following
73.61,78.33,fun things ready
75.78,81.09,hot dog soup
78.33,83.49,cold winter's night frosty frozen
81.09,85.28,pie uses cranberry sauce
83.49,86.85,people
85.28,89.67,they'll frozen
86.85,92.34,paid sneaks
89.67,94.95,making pine cone wild
92.34,96.6,bird feeder snuck
94.95,99.47,neighbor's yard picked
96.6,101.22,pinecones free
99.47,104.07,mean go craft
101.22,106.14,store pay dollars pine cone
104.07,107.58,sneak dark
106.14,109.89,neighbor's yard pick
107.58,111.84,pinecones time year
109.89,115.04,important birdies
111.84,117.03,food peanut
115.04,119.79,butter best thing
117.03,121.43,simple craft
119.79,123.75,helps wildlife
121.43,127.29,trailer park make gifts
123.75,130.01,pinecone wild bird feeder
127.29,134.72,trim cooking trailer
130.01,134.72,park christmas 2012
134.75,140.19,making pinecone bird
137.85,142.32,feeder silly people
140.19,145.11,birds high
142.32,147.39,protein food come
145.11,150.51,handy set
147.39,152.01,tray got pine cones
150.51,154.47,went neighbor's yard
152.01,156.26,pick haven't
154.47,159.36,opened baking
156.26,161.28,tray oven low setting
159.36,163.44,open careful
161.28,164.88,smoke burn
163.44,166.42000000000004,trailer wouldn't
164.88,169.42000000000004,holidays
166.42000000000004,171.67000000000004,got pinecones
169.42000000000004,173.41,start rope
171.67000000000004,175.81,pretty
173.41,178.66,flowers cut
175.81,180.45,little type
178.66,182.95,time tree
180.45,186.88,later
182.95,190.54,use actual pine cone
186.88,192.67,decorating
192.67,197.62,time
194.17,200.11,tree
197.62,202.12,tree
200.11,204.22,branch
202.12,207.9,tie
204.22,210.73,actual pinecone small night
207.9,212.83,veia
210.73,215.38,fancy night
212.83,218.14,tied nice go
215.38,220.56,ahead go tied
218.14,223.0,nice little small nut time
220.56,226.09,cord tie
223.0,228.13,tree outside
226.09,230.62,tie christmas tree
228.13,233.32,birds got
230.62,234.76,mixture bird seat went
233.32,236.41,trailer park cabinets
234.76,240.37,earlier little
236.41,242.98,tiny bags nuts haven't used
240.37,245.85,recipes expired
242.98,247.63,mix seeds
245.85,249.82,go waste
247.63,251.79,good
249.82,255.13,cookies bet birds
251.79,257.91,wildlife act
255.13,261.31,go mix
257.91,264.37,little mix
261.31,266.74,go
264.37,269.1,pinecone
266.74,271.96,coat peanut butter
269.1,274.84000000000003,creamy works got crunchy
271.96,275.95,what's sale
274.84000000000003,278.89,birds deal
278.89,282.76,coat took
280.6,285.22,jar thought
282.76,287.71,upset jelly
285.22,289.45,peanut butter jar think upset
287.71,291.88,pinecone
289.45,294.22,pieces bird seed
291.88,296.91,smoosh
294.22,297.66,pinecones goes
297.66,304.56,guess spikes
301.56,306.6,coat careful
304.56,308.84,get
306.6,312.09,check moment
308.84,314.04,go coded pine cone
312.09,316.41,peanut butter
314.04,319.14,drop seed mixture
316.41,322.68,coat
319.14,324.9,pat works
322.68,326.7,nutty caramel
324.9,330.18,apple wouldn't eat
326.7,333.54,birds running
330.18,335.76,into seed nut make
333.54,337.68,go
335.76,341.25,outside birds
337.68,344.4,love
341.25,348.36,go coated
344.4,350.82,seeds
348.36,353.24,hang tree
350.82,355.95,tie tree
353.24,358.56,biodegradable actual
355.95,360.78,pinecone leave strain
358.56,362.85,birds
360.78,364.95,protein
362.85,367.55,peanut butter course
364.95,369.81,seed gives foraging
367.55,372.96,experience busy
369.81,374.7,winter
372.96,377.01,little project
374.7,379.68,family make
377.01,382.29,gifts
379.68,384.93,cellophane wrap
382.29,388.05,bird lover
384.93,391.2,project wow get
388.05,393.21,chance make pine cone bird feeders
391.2,396.12,send pictures jolene
393.21,397.89,sugarbaker gmail com forget
396.12,400.2,follow trailer park twitter
397.89,403.11,jolene's trailer course add
400.2,405.78,google
403.11,408.45,new day december 25th
405.78,410.49,subscribe love y'all
408.45,414.71,go treat birdies pine
410.49,414.71,cone bird feeder bye bye
414.81,421.2,blue eye shadow watch
418.08,424.76,big tornado get filled
421.2,424.76,pride double wide
426.81,429.62,marquita
433.79,440.61,joe
436.69,445.09,she's trail queen visit
440.61,445.09,store trailer parks calm
