start,end,text
0.82,4.07,what's cool
4.08,5.24,what's cool get
5.25,7.22,get work absolutely obsessed
7.23,12.53,work absolutely obsessed
14.99,23.33,wait bury write poem
23.34,26.5,wait bury write poem love identity roots
26.51,33.56,love identity roots marginalized way
33.57,35.27,marginalized way think
35.28,38.2,think hair beautiful hair's
38.21,39.56,hair beautiful hair's explain
39.57,45.17,explain hair bone sits
45.18,47.81,hair bone sits frightened birthing suite
47.82,50.56,frightened birthing suite swollen belly stretched tight
50.57,52.85,swollen belly stretched tight she's sweating florescent strip
52.86,56.81,she's sweating florescent strip lighting idea
56.82,60.38,lighting idea scans scan
60.39,63.77,scans scan child touched
63.78,66.59,child touched hand god destined long
66.6,70.39,hand god destined long difficult life suffer
70.4,72.8,difficult life suffer suffering comes
72.81,75.92,suffering comes greatness man knows fucking
75.93,82.34,greatness man knows fucking score child born ginger
82.35,84.73,score child born ginger changes
84.74,87.1,changes wind brings news ginger birth
87.11,90.28,wind brings news ginger birth freckle blows stop
90.29,94.33,freckle blows stop drink scent joy
94.34,99.85,drink scent joy sadness hours hard road
99.86,100.83,sadness hours hard road
100.84,103.46,scattered citizenry
103.47,106.33,scattered citizenry trying capture world
106.34,110.83,trying capture world make secret sign
110.84,112.14,make secret sign toss ginger brother sister
112.15,116.53,toss ginger brother sister street stop talk
116.54,119.16,street stop talk outside official meetings
119.17,121.93,outside official meetings add ginger meetings roof echoes
121.94,124.02,add ginger meetings roof echoes gingers ancient tongue
124.03,126.79,gingers ancient tongue streets lil g nod
126.8,131.29,streets lil g nod long mission
131.3,136.44,long mission stop dye
136.45,139.45,stop dye hair
142.29,145.07,brunette mothers suspicious
145.07999999999996,148.31,brunette mothers suspicious fathers
148.32,154.82,fathers ginger
154.82999999999996,158.12,ginger carriers furthering cause
158.13,161.32999999999996,carriers furthering cause sweaty urgent rotting creating
161.34,166.13,sweaty urgent rotting creating ginger black pubic hair
166.14,167.39,ginger black pubic hair wipe
167.4,170.06,wipe recessive blondes
170.07,172.69,recessive blondes easily obscured browns
172.7,175.57,easily obscured browns mutants x men
175.57999999999996,179.0,mutants x men cockroaches genetic
179.01,181.88,cockroaches genetic universe skip generation
181.89,186.5,universe skip generation come twice gingers
186.51,188.81,come twice gingers room gee saw bun tactic
188.82,196.93,room gee saw bun tactic normal meaning rest
196.94,202.91,normal meaning rest escape embrace sign
202.92,205.9,escape embrace sign second beards remind
205.91,209.66,second beards remind ginger
209.67,215.2,ginger
215.21,218.4,applause
