start,end,text
5.18,11.1,starting shallots thin dice
12.02,29.08,courgette ends thin
22.81,31.02,slices lay flat little thin
29.08,34.51,dice cook fast
31.02,36.19,talking literally minutes
34.51,37.89,got got
36.19,40.78,assemble little oil
37.89,43.66,little oil make water
40.78,46.66,comes fast furious boil
43.66,48.97,courgettes shallot
46.66,50.94,saute medium heat
48.97,53.53,minutes till soften
50.94,56.59,courgette starts season getting
53.53,59.55,soft goes pasta fresh pasta
56.59,63.78,stir minutes goes
59.55,66.61,cream bring boil come
63.78,72.31,boil step baby
66.61,74.26,spinach lovely fresh rip
72.31,77.71000000000002,couple seconds wilt
74.26,79.93,overcook
77.71000000000002,81.96000000000002,thicken sauce using grated
79.93,85.24,parmesan cheese generous
81.96000000000002,87.61,bring best
85.24,90.49,dish lovely fresh milk
87.61,92.47,salmon tear
90.49,94.93,make end
92.47,98.35,overcook salmon
94.93,101.61,blast lovely fragrant herbs
98.35,106.72,nice tribes thin dice chives
101.61,111.04,fresh dill roughly chucked
106.72,116.35,go
111.04,120.7,assemble goes pasta black
116.35,123.79,pepper generous using
120.7,127.09,tongs stirred gorgeous
123.79,133.49,consistency literally ready
127.09,137.96,10 minutes served fresh delicious
133.49,137.96,tasty smoked salmon pasta
